ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
2916532,pay debt merger,債務承擔併購,,债务承担并购,財務管理組,2017-03-23
2916533,payables deferral period,應付帳款遞延期間,,,財務管理組,2017-03-23
2916534,paybck period method,回收期間法,,,財務管理組,2017-03-23
2916535,pay-later option,後付選擇權,,,財務管理組,2017-03-23
2916536,payment date,支付日,,,財務管理組,2017-03-23
2916537,pecking order theory,融資順位理論,,优序融资理论,財務管理組,2017-03-23
2916538,pension benefit guarantee corporation,退休金給付擔保公司,,养老金给付担保公司,財務管理組,2017-03-23
2916539,pension fund,退休基金,,养老基金,財務管理組,2017-03-23
2916540,percentage of sales method,銷售額百分比法,,,財務管理組,2017-03-23
2916541,perfect capital market hypothesis,完美資本市場假說,,完美资本市场假设,財務管理組,2017-03-23
2916542,perfect hedge,完全避險,,,財務管理組,2017-03-23
2916543,performance stock,績效股,,,財務管理組,2017-03-23
2916544,permanent current asset,永久性流動資產,,,財務管理組,2017-03-23
2916545,perpetuity,永續年金,,,財務管理組,2017-03-23
2916546,personal credit institution,個人信用機構,,个人信贷机构,財務管理組,2017-03-23
2916547,plain vanilla option,陽春型選擇權,,,財務管理組,2017-03-23
2916548,pledge,質押,,质押,財務管理組,2017-03-23
2916549,pledging of accounts receivable,應收帳款質押,,,財務管理組,2017-03-23
2916550,poison pill,毒藥丸,,,財務管理組,2017-03-23
2916551,policy banking institution,政策銀行機構,,政策性银行,財務管理組,2017-03-23
2916552,policy of reserve requirement,存款準備政策,,存款准备金政策,財務管理組,2017-03-23
2916553,political risk,政治風險,,,財務管理組,2017-03-23
2916554,portfolio,投資組合,,投资组合,財務管理組,2017-03-23
2916555,portfolio insurance,投資組合保險,,资产组合保险,財務管理組,2017-03-23
2916556,portfolio management,投資組合管理,,资产组合管理,財務管理組,2017-03-23
2916557,portfolio theory,投資組合理論,,,財務管理組,2017-03-23
2916558,portfolio value-at-risk {=portfolio VaR},投資組合風險值,,投资组合在险价值,財務管理組,2020-03-31
2916560,position limit,持倉限額,,头寸限额,財務管理組,2017-03-23
2916561,positive feedback,正向回饋,,正反馈交易,財務管理組,2017-03-23
2916562,postal savings bank,郵政儲蓄銀行,,邮政储蓄银行,財務管理組,2017-03-23
2916563,post-audit,事後稽核,,,財務管理組,2017-03-23
2916564,predetermined criteria,預定準則,,预定标准,財務管理組,2017-03-23
2916565,preemptive right,優先認股權,,优先认股权,財務管理組,2017-03-23
2916567,premium,溢價；溢酬,,,財務管理組,2017-03-23
2916569,premium bond,溢價債券,,溢价债券,財務管理組,2017-03-23
2916570,prepayment rate,提前償還率,,提前偿付率,財務管理組,2017-03-23
2916571,present discounted value {=PDV},折現值,,折现值,財務管理組,2020-03-31
2916573,present value model,現值模型,,现值模型,財務管理組,2017-03-23
2916574,present value of growth opportunities {=PVGO},成長機會現值,,增长机会现值,財務管理組,2020-03-26
2916575,price discovery,價格發現,,价格发现,財務管理組,2017-03-23
2916576,price earnings ratio model,本益比模型,,市价收入比率模型,財務管理組,2017-03-23
2916577,price limit,漲跌停限制,,涨跌幅限制,財務管理組,2017-03-23
2916578,price per book value,股價淨值比,,市净率,財務管理組,2017-03-23
2916579,price reversal,價格反轉,,价格反转,財務管理組,2017-03-23
2916580,price/cash flow ratio,市價/現金流量比,,,財務管理組,2017-03-23
2916581,price/earnings ratio valuation method,本益比評價法,,市盈率估值法,財務管理組,2017-03-23
2916582,"price-earning ratio, P/E ratio",本益比,,,財務管理組,2017-03-23
2916583,price-earnings multiple,本益倍數,,价格-收益乘数,財務管理組,2017-03-23
2916584,pricing operator,定價運算子,,定价算子,財務管理組,2017-03-23
2916585,primary market,初級市場,,一级市场,財務管理組,2017-03-23
2916586,prime rate,基本利率,,,財務管理組,2017-03-23
2916587,private equity fund,私募股權基金,,私募基金,財務管理組,2017-03-23
2916588,private markets,非公開市場,,,財務管理組,2017-03-23
2916590,pro forma (projected) financial statements,預測財務報表,,,財務管理組,2017-03-23
2916591,profit margin on sales,銷貨利潤率,,,財務管理組,2017-03-23
2916592,profitability ratios,獲利能力比率,,,財務管理組,2017-03-23
2916593,program trading,程式交易,,程序化交易,財務管理組,2017-03-23
2916594,promised yield to call {=YTC},承諾贖回收益率,,提前赎回承诺收益率,財務管理組,2020-04-10
2916595,promised yield to maturity,承諾到期收益率,,承诺到期收益率,財務管理組,2017-03-23
2916597,property insurance company,產物保險公司,,财产保险公司,財務管理組,2017-03-23
2916598,proprietorship,獨資,,,財務管理組,2017-03-23
2916600,protective call,保護性買權,,,財務管理組,2017-03-23
2916601,protective put,保護性賣權,,有担护的看跌期权,財務管理組,2017-03-23
2916602,proxy,委託書,,,財務管理組,2017-03-23
2916603,proxy fight,委託書爭奪戰,,,財務管理組,2017-03-23
2916604,public accumulation fund for housing saving,住房儲蓄公積基金,,住房公积金,財務管理組,2017-03-23
2916605,public markets,公開市場,,,財務管理組,2017-03-23
2916606,public placement fund,公募基金,,公募基金,財務管理組,2017-03-23
2916607,public shares,上市股票,,公众股,財務管理組,2017-03-23
2916608,publicly owned corporation,公開發行公司,,,財務管理組,2017-03-23
2916610,pure cash-matched dedicated portfolio,純現金流匹配專項投資組合,,纯现金流匹配专项投资组合,財務管理組,2017-03-23
2916611,pure discount bond,零息債券,,,財務管理組,2017-03-23
2916612,pure expectations theory,純粹預期理論,,纯粹预期理论,財務管理組,2017-03-23
2916613,Put and Call Dealer Association,賣權與買權自營商協會,,,財務管理組,2017-03-23
2916614,put option,賣權,,看跌期权,財務管理組,2017-03-23
2916615,put swaption,利率交換賣權,,,財務管理組,2017-03-23
2916616,putable bond,可賣回債券,,,財務管理組,2017-03-23
2916617,put-call parity,買權賣權平價關係,,,財務管理組,2017-03-23
2916618,puttable,可賣回,,,財務管理組,2017-03-23
2916619,puttable common stock,可賣回普通股,,,財務管理組,2017-03-23
2916620,quantity management,總量管理,,总量管理,財務管理組,2017-03-23
2916621,quanto option,quanto選擇權,,,財務管理組,2017-03-23
2916622,Quasi-American option,準美式選擇權,,,財務管理組,2017-03-23
2916623,quick ratio,速動比率,,,財務管理組,2017-03-23
2916624,quotation-driven market,報價驅動市場,,报价驱动市场,財務管理組,2017-03-23
2916625,quote-driven,報價驅動,,报价驱动,財務管理組,2017-03-23
2916626,rainbow option,彩虹選擇權,,彩虹期权,財務管理組,2017-03-23
2916627,ratchet option,棘輪選擇權,,棘轮期权,財務管理組,2017-03-23
2916628,ratcheting effect,棘輪效應,,棘轮效应,財務管理組,2017-03-23
2916630,"real bills doctrine, real bills theory",實質票據學說,,真实票据论,財務管理組,2017-03-23
2916631,real business cycle view,實質景氣循環觀點,,真实经济周期观点,財務管理組,2017-03-23
2916632,real estate trust investment,不動產信託投資,,不动产信托投资,財務管理組,2017-03-23
2916633,real interest rate,實質利率,,,財務管理組,2017-03-23
2916634,"real option , managerial option",實質權擇權,,实物期权,財務管理組,2017-03-23
2916635,real risk-free rate of interest,實質無風險利率,,,財務管理組,2017-03-23
2916636,realized rate of return,已實現報酬率,,,財務管理組,2017-03-23
2916637,realized spread,實現價差,,实现价差,財務管理組,2017-03-23
2916638,"realized yield, horizon yield",實現收益率,,已实现收益率,財務管理組,2017-03-23
2916639,receivable collection period,應收帳款收現期間,,,財務管理組,2017-03-23
2916640,record date,股權登記日,,股权登记日,財務管理組,2017-03-23
2916641,rediscount,重貼現,,再贴现,財務管理組,2017-03-23
2916642,redundant securities,多餘證券,,冗余证券,財務管理組,2017-03-23
2916643,reference date,參考日,,,財務管理組,2017-03-23
2916644,refunding operation,再融資操作,,,財務管理組,2017-03-23
2916645,regret aversion,後悔規避,,后悔厌恶,財務管理組,2017-03-23
2916646,regulation on provisions for bad debt,呆帳準備金管理規定,,呆账准备金制度,財務管理組,2017-03-23
2916648,reinvestment rate,再投資報酬率,,,財務管理組,2017-03-23
2916649,reinvestment risk,再投資風險,,,財務管理組,2017-03-23
2916650,relative value method,相對價值法,,相对价值法,財務管理組,2017-03-23
2916651,relevant risk,攸關風險,,,財務管理組,2017-03-23
2916652,remainderman,剩餘受益人,,余额收益人,財務管理組,2017-03-23
2916653,remittance,匯兌,,汇兑,財務管理組,2017-03-23
2916654,remortgage,再抵押,,再抵押,財務管理組,2017-03-23
2916655,replacement analysis,重置計畫分析,,,財務管理組,2017-03-23
2916656,replacement cost method,重置成本法,,重置成本法,財務管理組,2017-03-23
2916657,replacement project,重置型投資專案,,,財務管理組,2017-03-23
2916658,replication,複製,,复制,財務管理組,2017-03-23
2916659,representativeness heuristics,代表性經驗法則,,代表性偏誤,財務管理組,2017-03-23
2916660,required rate of return,必要報酬率,,,財務管理組,2017-03-23
2916661,reserve borrowing capacity,備用舉債能力,,,財務管理組,2017-03-23
2916662,reserve fund,準備基金,,储备基金,財務管理組,2017-03-23
2916663,residential mortgage,住宅抵押貸款,,住宅抵押贷款,財務管理組,2017-03-23
2916664,"residential mortgage-backed securities, RMBS",住宅房貸擔保證券,,住房抵押贷款支持证券,財務管理組,2017-03-23
2916665,residual dividend approach,剩餘股利模式,,剩余股利模型,財務管理組,2017-03-23
2916666,residual dividend policy,剩餘股利政策,,,財務管理組,2017-03-23
2916667,residual value,殘值,,,財務管理組,2017-03-23
2916668,restricted stock,限制性股票,,限制股,財務管理組,2017-03-23
2916669,retail bank,零售銀行,,零售银行,財務管理組,2017-03-23
2916670,retained earnings,保留盈餘,,,財務管理組,2017-03-23
2916671,return,報酬,,收益,財務管理組,2017-03-23
2916672,"return on equity, ROE",股权回报率,,股权收益率,財務管理組,2017-03-23
2916673,"return on total assets, ROA",總資產報酬率,,,財務管理組,2017-03-23
2916674,return volatility,報酬率變異,,,財務管理組,2017-03-23
2916675,reverse calendar spreads,反向水平價差策略,,,財務管理組,2017-03-23
2916676,reverse split,反向分割,,逆向拆分,財務管理組,2017-03-23
2916677,revolving credit,循環信用,,循环信贷额度,財務管理組,2017-03-23
2916679,reward-to-variability ratio; RVAR,報酬變異比率,,报酬与波动性比率,財務管理組,2017-03-23
2916680,"reward-to-volatility ratio, Sharpe's measure",報酬-波動度比率,,报酬-波动性比率,財務管理組,2017-03-23
2916681,riding the yield curve,駕馭殖利率曲線,,收益曲线追踪,財務管理組,2017-03-23
2916682,right of offset,抵銷權,,抵消权,財務管理組,2017-03-23
2916683,right offering with standby underwriting,餘額承銷購股權,,余额包销配股,財務管理組,2017-03-23
2916684,risk,風險,,[金融]风险,財務管理組,2017-03-23
2916685,risk adjusted discount rate,風險調整折現率,,风险调整贴现率,財務管理組,2017-03-23
2916686,risk adjusted return rate,風險調整報酬率,,风险调整回报率,財務管理組,2017-03-23
2916687,risk asset,風險資產,,风险资产,財務管理組,2017-03-23
2916688,risk aversion,風險規避,,[金融]风险厌恶,財務管理組,2017-03-23
2916689,risk control,風險控制,,风险控制,財務管理組,2017-03-23
2916690,risk management,風險管理,,[金融]风险管理,財務管理組,2017-03-23
2916691,risk neutral,風險中立,,风险中性,財務管理組,2017-03-23
2916693,risk sharing,風險分擔,,风险分担,財務管理組,2017-03-23
2916694,risk-adjusted costs of capital,風險調整資金成本,,,財務管理組,2017-03-23
2916695,risk-based audit,風險基礎稽核,,风险性稽核,財務管理組,2017-03-23
2916696,risk-free asset,無風險資產,,无风险资产,財務管理組,2017-03-23
2916697,risk-free interest rate、 RFR,無風險利率,,无风险利率,財務管理組,2017-03-23
2916698,risk-free rate of interest,無風險利率,,无风险利率,財務管理組,2017-03-23
2916699,riskless hedge,無風險避險,,,財務管理組,2017-03-23
2916700,risk-transferring innovation,風險移轉創新,,风险-转移型创新,財務管理組,2017-03-23
2916701,road show,法人說明會,,路演,財務管理組,2017-03-23
2916702,rolling hedging,滾動式避險,,滚动套期保值,財務管理組,2017-03-23
2916703,Rules Committee,法規委員會,,,財務管理組,2017-03-23
2916704,S&P 500 Index,標準普爾500指數,,,財務管理組,2017-03-23
2916705,sale and leaseback,售後租回,,售后回租型租赁,財務管理組,2017-03-23
2916706,sales finance institution,銷售融資機構,,销售融资机构,財務管理組,2017-03-23
2916707,samurai bond,武士債券,,武士债券,財務管理組,2017-03-23
2916708,saving,儲蓄,,储蓄存款,財務管理組,2017-03-23
2916709,savings bank,儲蓄銀行,,储蓄银行,財務管理組,2017-03-23
2916710,savings institutions,儲蓄機構,,储蓄机构,財務管理組,2017-03-23
2916711,scaling,尺度,,尺度,財務管理組,2017-03-23
2916713,seasoned equity offering,股票增資,,股权再融资,財務管理組,2017-03-23
2916714,second degree stochastic monotonic dominance,二階隨機單調優勢,,二阶单调随机占优,財務管理組,2017-03-23
2916715,second order stochastic dominance,二階隨機優勢,,二阶随机占优,財務管理組,2017-03-23
2916716,second tier capital,次級資本,,二级资本,財務管理組,2017-03-23
2916717,secondary market,次級市場,,二级市场,財務管理組,2017-03-23
2916719,secured loan,擔保貸款,,担保贷款,財務管理組,2017-03-23
2916720,securities,證券,,证券,財務管理組,2017-03-23
2916721,Securities and Exchange Commission {=SEC},美國證券管理委員會,,,財務管理組,2020-03-31
2916722,securities characteristic line、 SCL,證券特徵線,,证券特征线,財務管理組,2017-03-23
2916723,securities company,證券公司,,证券公司,財務管理組,2017-03-23
2916724,securities financing,證券融資,,证券信用交易,財務管理組,2017-03-23
2916725,securities index fund,證券指數基金,,证券指数基金,財務管理組,2017-03-23
2916726,securities portfolio,證券投資組合,,证券组合,財務管理組,2017-03-23
2916727,security market,證券市場,,证券市场,財務管理組,2017-03-23
2916728,security market line {=SML},證券市場線,,,財務管理組,2020-03-31
2916729,selective credit control,選擇性信用管制,,选择性信用控制,財務管理組,2017-03-23
2916730,self-attribution,自我歸因,,自我归因,財務管理組,2017-03-23
2916731,self-control,自我控制,,自我控制,財務管理組,2017-03-23
2916732,self-liquidating financing,自償性融資,,自偿性融资,財務管理組,2017-03-23
2916734,sell short,賣空,,卖空,財務管理組,2017-03-23
2916735,sell-off,出售,,分拆,財務管理組,2017-03-23
2916736,semiannual compounding,每半年複利,,,財務管理組,2017-03-23
2916737,semi-strong-form efficiency,半強式效率,,半强有效,財務管理組,2017-03-23
2916739,sequential trade model,序貫交易模型,,序贯交易模型,財務管理組,2017-03-23
2916740,serial bond,分次償還債券,,系列债券,財務管理組,2017-03-23
2916741,settlement,結算,,清算,財務管理組,2017-03-23
2916742,Shanghai Composite Index,上證綜合指數,,上证综合指数,財務管理組,2017-03-23
2916743,Shanghai Shenzhen 300 Index,滬深300指數,,沪深300指数,財務管理組,2017-03-23
2916744,shape of the yield curve,殖利率曲線形狀,,,財務管理組,2017-03-23
2916745,share holding banking system,控股銀行制度,,控股银行制度,財務管理組,2017-03-23
2916746,Sharpe ratio,Sharpe比率,,夏普比率,財務管理組,2017-03-23
2916747,Shenzhen stock exchange Component Index,深圳成分指數,,深圳成分指数,財務管理組,2017-03-23
2916748,short hedging,空頭避險,,空头套期保值,財務管理組,2017-03-23
2916749,short position,空頭部位,,空头,財務管理組,2017-03-23
2916751,short straddle,放空跨式部位,,,財務管理組,2017-03-23
2916752,shout option,喊價選擇權,,呼叫期权,財務管理組,2017-03-23
2916753,sight draft,見票即付匯票,,,財務管理組,2017-03-23
2916754,simple interest,單利,,,財務管理組,2017-03-23
2916755,sinking fund,償債基金,,,財務管理組,2017-03-23
2916756,sinking fund provision,償債基金條款,,,財務管理組,2017-03-23
2916757,small loan company,小額貸款公司,,小额贷款公司,財務管理組,2017-03-23
2916758,social learning,社會學習,,社会学习,財務管理組,2017-03-23
2916759,soft budget constraint,軟性預算約束,,软预算约束,財務管理組,2017-03-23
2916760,soft bullet structure,一次還本架構,,软债权结构,財務管理組,2017-03-23
2916761,soft commodity futures,軟性商品期貨,,,財務管理組,2017-03-23
2916762,sovereign risk,主權風險,,主权风险,財務管理組,2017-03-23
2916763,"sovereign wealth fund, SWF",主權基金,,主权财富基金,財務管理組,2017-03-23
2916764,specialist,特許經紀人,,特许经纪人,財務管理組,2017-03-23
2916765,specialized banking,專業銀行制,,专业银行制度,財務管理組,2017-03-23
2916766,specific risk,特定風險,,特殊风险,財務管理組,2017-03-23
2916767,speculation,投機,,投机,財務管理組,2017-03-23
2916768,speculators,投機者,,,財務管理組,2017-03-23
2916769,speed bumps,減速措施,,减速措施,財務管理組,2017-03-23
2916771,sponsor's system for issue of securities,證券發行推薦制,,证券发行上市保荐制,財務管理組,2017-03-23
2916772,spontaneous funds,即時性資金,,,財務管理組,2017-03-23
2916773,spot interest rate,即期利率,,即期利率,財務管理組,2017-03-23
2916774,spot markets,現貨市場,,,財務管理組,2017-03-23
2916775,spot price,現貨價格,,现货价格,財務管理組,2017-03-23
2916776,spot rate,即期匯率或即期利息,,,財務管理組,2017-03-23
2916777,spot-futures parity theorem or cost-of-carry relationship,現貨-期貨平價定理,,现货-期货平价定理,財務管理組,2017-03-23
2916778,spread,價差,,价差套利,財務管理組,2017-03-23
2916779,spread option,價差選擇權,,,財務管理組,2017-03-23
2916780,spread strategy,價差策略,,,財務管理組,2017-03-23
2916781,spread transaction,價差交易,,价差交易,財務管理組,2017-03-23
2916782,stabilization fund,平準基金,,平准基金,財務管理組,2017-03-23
2916783,stable dividend policy,穩定股利政策,,稳定股利政策,財務管理組,2017-03-23
2916784,stamp taxes,印花稅,,,財務管理組,2017-03-23
2916785,stand-alone risk,個別風險,,,財務管理組,2017-03-23
2916787,standard deviation,標準差,,,財務管理組,2017-03-23
2916788,Standard Portfolio Analysis of Risk,SPAN系統,,,財務管理組,2017-03-23
2916789,standby letter of credit,擔保信用狀,,备用信用证,財務管理組,2017-03-23
2916790,standby underwrite,餘額包銷,,余额包销,財務管理組,2017-03-23
2916791,state price,狀態價格,,,財務管理組,2017-03-23
2916792,statement of cash flows,現金流量表,,,財務管理組,2017-03-23
2916793,statement of retained earnings,保留盈餘表,,,財務管理組,2017-03-23
2916794,state-owned shares,國有股,,国有股,財務管理組,2017-03-23
2916795,static theory of capital structure,靜態資本結構理論,,静态资本结构理论,財務管理組,2017-03-23
2916796,stepped-up exercise price,逐步提高履約價,,,財務管理組,2017-03-23
2916797,stochastic volatility model,隨機波動模型,,随机波动率模型,財務管理組,2017-03-23
2916798,stock,股票,,股票,財務管理組,2017-03-23
2916799,stock dividend,股票股利,,股票股利,財務管理組,2017-03-23
2916800,stock fund,股票基金,,股票基金,財務管理組,2017-03-23
2916803,stock index futures market,股價指數期貨市場,,股票指数期货市场,財務管理組,2017-03-23
2916806,stock repurchase,買回庫藏股,,股票回购,財務管理組,2017-03-23
2916808,stock trade-off merger,股票交易併購,,股份交易并购,財務管理組,2017-03-23
2916809,stop-limit order,停損限價單,,限价止损,財務管理組,2017-03-23
2916810,stop-loss order,停損單,,止损指令,財務管理組,2017-03-23
2916811,straddle,跨式部位,,,財務管理組,2017-03-23
2916812,straddle strategy,跨式部位交易策略,,宽跨式期权,財務管理組,2017-03-23
2916813,strangle,勒式部位策略,,,財務管理組,2017-03-23
2916814,strap,偏多跨式部位,,,財務管理組,2017-03-23
2916815,strategic alliance,策略聯盟,,,財務管理組,2017-03-23
2916816,stress testing,壓力測試,,压力测试,財務管理組,2017-03-23
2916817,strike or exercise price,執行或履約價,,,財務管理組,2017-03-23
2916818,striking price,執行價格,,,財務管理組,2017-03-23
2916819,strip,偏空跨式部位,,,財務管理組,2017-03-23
2916820,strong-form efficiency,強式效率,,强有效,財務管理組,2017-03-23
2916821,structured note,結構型商品,,,財務管理組,2017-03-23
2916822,structured product,結構性金融商品,,结构化金融产品,財務管理組,2017-03-23
2916823,subordinated debenture,次順位債券,,次级债券,財務管理組,2017-03-23
2916824,subprime mortgage loan,次級房貸,,次级按揭贷款,財務管理組,2017-03-23
2916825,substitution swap,替代交換,,替代互换,財務管理組,2017-03-23
2916827,Super dividend,超級股利,,超级股利,財務管理組,2017-03-23
2916828,supernormal growth,超常成長,,,財務管理組,2017-03-23
2916829,supervision on asset quality,資產品質監管,,资产质量监管,財務管理組,2017-03-23
2916830,supervision on liquidity,流動性監管,,流动性监管,財務管理組,2017-03-23
2916831,supplementary pension,補充退休金,,补充养老保险,財務管理組,2017-03-23
2916832,swap,交換,,互换,財務管理組,2017-03-23
2916833,swap dealer,交換買賣商,,,財務管理組,2017-03-23
2916836,swaps contract,交換合約,,互换合约,財務管理組,2017-03-23
2916837,swaption,交換選擇權,,互换期权,財務管理組,2017-03-23
2916838,switch option,轉換選擇權,,转换期权,財務管理組,2017-03-23
2916839,symmetric information,對稱資訊,,,財務管理組,2017-03-23
2916841,"syndicated loan, joint loan",聯貸,,辛迪加贷款,財務管理組,2017-03-23
2916842,synergy,綜效,,,財務管理組,2017-03-23
2916843,synthetic call,合成式買權,,,財務管理組,2017-03-23
2916844,synthetic equity position,合成式權益部位,,,財務管理組,2017-03-23
2916845,synthetic portfolios,合成式投資組合,,,財務管理組,2017-03-23
2916846,synthetic T-bill,合成式短期債券,,,財務管理組,2017-03-23
2916847,systematic risk,系統風險,,,財務管理組,2017-03-23
2916848,systematic stress testing,系統化壓力測試,,系统化压力测试,財務管理組,2017-03-23
2916849,take a position,建倉,,建仓,財務管理組,2017-03-23
2916850,takeover,接管,,,財務管理組,2017-03-23
2916851,tangible assets,有形資產,,,財務管理組,2017-03-23
2916852,target capital structure,目標資本結構,,,財務管理組,2017-03-23
2916853,target company,標的公司,,,財務管理組,2017-03-23
2916854,tax differential theory,所得稅差異論,,,財務管理組,2017-03-23
2916855,tax dodge,稅負規避,,税收规避,財務管理組,2017-03-23
2916856,tax on capital,資本稅,,资本税,財務管理組,2017-03-23
2916857,tax swap,稅負交換,,税收互换,財務管理組,2017-03-23
2916858,technical analysis,技術分析,,,財務管理組,2017-03-23
2916859,temporary current asset,暫時性流動資產,,,財務管理組,2017-03-23
2916861,term,期限,,期限,財務管理組,2017-03-23
2916862,term loan,定期貸款,,,財務管理組,2017-03-23
2916863,term of investment return approach,投資報酬期限法,,投资回收期法,財務管理組,2017-03-23
2916864,term repo,定期再買回,,定期回购,財務管理組,2017-03-23
2916865,term structure of interest,利率期限結構,,利率期限结构,財務管理組,2017-03-23
2916866,terminal date (horizon date),結束日,,,財務管理組,2017-03-23
2916867,the base number,基數,,,財務管理組,2017-03-23
2916868,the probability of informed trading,知情交易機率,,知情交易概率,財務管理組,2017-03-23
2916869,the winner's curse hypothesis,贏家詛咒假說,,赢者诅咒假说,財務管理組,2017-03-23
2916870,tick size,最小升降單位,,最小报价单位,財務管理組,2017-03-23
2916871,time option,交割時點選擇權,,,財務管理組,2017-03-23
2916872,time preferences for consumption,消費的時間偏好,,,財務管理組,2017-03-23
2916873,time value,時間價值,,时间价值,財務管理組,2017-03-23
2916874,time-discount coefficient,時間折現係數,,时间折现系数,財務管理組,2017-03-23
2916875,times-interest-earned (TIE) ratio,利息涵蓋倍數比,,,財務管理組,2017-03-23
2916876,time-weighted rate of return,時間加權報酬率,,时间加权回报率,財務管理組,2017-03-23
2916877,Tobin's Q ratio,Tobin's Q比率,,,財務管理組,2017-03-23
2916878,Tokyo Topix stock Index,東京東證股票指數,,东京证券交易所股价指数,財務管理組,2017-03-23
2916879,top straddle,上跨式交易策略,,定顶式期权,財務管理組,2017-03-23
2916880,total assets turnover ratio,總資產周轉率,,,財務管理組,2017-03-23
2916881,tracking portfolio,追踨投資組合,,追踪证券组合,財務管理組,2017-03-23
2916882,trade acceptance,商業承兌匯票,,,財務管理組,2020-03-24
2916884,trade mechanisms,交易機制,,交易机制,財務管理組,2017-03-23
2916885,trade-off theory,抵換理論,,权衡理论,財務管理組,2017-03-23
2916886,trading halt,交易停止,,交易暂停,財務管理組,2017-03-23
2916887,trading suspension,交易暫停,,暂时停止交易,財務管理組,2017-03-23
2916889,transaction account,交易帳戶,,交易账户,財務管理組,2017-03-23
2916890,transferred account,轉移帳戶,,转移账户,財務管理組,2017-03-23
2916891,transitory volatility,短暫波動度,,临时波动性,財務管理組,2017-03-23
2916892,transnational combination system,跨國聯合制度,,跨国联合制,財務管理組,2017-03-23
2916893,transparency,透明度,,透明性,財務管理組,2017-03-23
2916894,treasurer,財務長,,,財務管理組,2017-03-23
2916895,treasury bill,國庫券,,,財務管理組,2017-03-23
2916896,treasury bill futures,國庫券期貨,,短期国库券期货,財務管理組,2017-03-23
2916897,treasury bills market,國庫券市場,,短期国债市场,財務管理組,2017-03-23
2916898,treasury bond,公債,,国债,財務管理組,2017-03-23
2916899,treasury note,美國中期公債,,,財務管理組,2017-03-23
2916900,treasury stock,庫藏股,,库存股,財務管理組,2017-03-23
2916902,Treynor's measure,Treynor式衡量,,特雷诺测度,財務管理組,2017-03-23
2916903,true sale,確實賣斷,,真实出售,財務管理組,2017-03-23
2916905,trust agreement,信託合約,,信托合同,財務管理組,2017-03-23
2916907,trust deposit,信託存款,,信托存款,財務管理組,2017-03-23
2916908,trust fund,信託基金,,信托基金,財務管理組,2017-03-23
2916909,trust institution,信託機構,,信托机构,財務管理組,2017-03-23
2916910,trust loan,信託貸款,,信托贷款,財務管理組,2017-03-23
2916911,trust receipt,信託存單,,,財務管理組,2017-03-23
2916912,trust settlor,信託委托人,,信托委托人,財務管理組,2017-03-23
2916913,trustee,受託人,,信托受托人,財務管理組,2017-03-23
2916914,two fund monetary separation,兩基金的貨幣分離,,两基金的货币分离,財務管理組,2017-03-23
2916915,two-stage dividend discount model,兩階段股利折現模型,,两阶段股利贴现模型,財務管理組,2017-03-23
2916916,unbalanced panel data,非平衡縱橫資料,,非平衡面板数据,財務管理組,2017-03-23
2916918,under reaction,反應不足,,反应不足,財務管理組,2017-03-23
2916919,underlying asset,標的資產,,标的物,財務管理組,2017-03-23
2916920,undiversifiable risk,不可分散風險,,,財務管理組,2017-03-23
2916921,uninformed trader,不知情交易者,,不知情交易者,財務管理組,2017-03-23
2916922,unit bank system,單一銀行制度,,单一银行制度,財務管理組,2017-03-23
2916923,unit central bank system,一元式中央銀行制度,,一元式中央银行制度,財務管理組,2017-03-23
2916924,universal banking,綜合銀行,,全能型银行,財務管理組,2017-03-23
2916925,unlevered beta,未舉債貝他,,,財務管理組,2017-03-23
2916926,unregistered stock,未登記股票,,未登记股票,財務管理組,2017-03-23
2916927,unsystematic risk,非系統風險,,,財務管理組,2017-03-23
2916928,valuation,評價,,估值,財務管理組,2017-03-23
2916929,value line index,價值線指數,,,財務管理組,2017-03-23
2916930,Value-at-Risk stress testing {=VaR stress testing},風險值壓力測試,,在险价值压力测试,財務管理組,2020-03-31
2916931,value-at-risk {=VaR},風險值,,在险价值,財務管理組,2020-03-31
2916932,variance,變異數,,,財務管理組,2017-03-23
2916933,variation margin,變動保證金,,价格变动保证金,財務管理組,2017-03-23
2916934,vector autoregressive model,向量自我迴歸模型,,向量自回归模型,財務管理組,2017-03-23
2916935,vector error correction model,向量誤差修正模型,,向量误差修正模型,財務管理組,2017-03-23
2916936,vega,vega,,维加值,財務管理組,2017-03-23
2916937,vendor financing,賣方融資,,供应商融资,財務管理組,2017-03-23
2916938,venture capital institution,創業投資機構,,风险投资机构,財務管理組,2017-03-23
2916941,vertical spread strategy,垂直價差策略,,,財務管理組,2017-03-23
2916942,vertically integrated investment,垂直型投資,,,財務管理組,2017-03-23
2916943,village bank,村鎮銀行,,村镇银行,財務管理組,2017-03-23
2916944,volatility,波動度,,波动性,財務管理組,2017-03-23
2916945,volatility risk,波動度風險,,波动性风险,財務管理組,2017-03-23
2916947,weak-form efficiency,弱式效率,,弱有效,財務管理組,2017-03-23
2916948,weighted average cost of capital {=WACC},加權平均資金成本,,加权平均资本成本,財務管理組,2020-03-25
2916949,weighted average total market value,加權平均總市值,,加权平均总市值,財務管理組,2017-03-23
2916950,well-diversified portfolio,充分分散風險的投資組合,,充分分散的资产组合,財務管理組,2017-03-23
2916951,white knight,白馬騎士,,,財務管理組,2017-03-23
2916952,white squire,白馬護衛,,,財務管理組,2017-03-23
