ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3541655,"Salonen, Esa-Pekka",薩洛能,,萨洛宁,芬蘭,作曲；指揮,1958-,2018-05-30
3541656,"Salter, Lionel",薩爾特,,索尔特,英國,鋼琴；作曲；指揮；著作,1914-2000,2018-05-30
3541657,"Salulini, Paolo",薩魯利尼,,萨鲁利尼,義大利,作曲,1709-1780,2018-05-30
3541658,"Salzédo, Carlos",薩爾采多,,萨尔泽多,美國,豎琴；作曲,1885-1961,2018-05-30
3541659,"Salzedo, Leonard",薩爾澤多,,萨尔泽多,英國,作曲,1921-2000,2018-05-30
3541660,"Samaroff, Olga",薩瑪洛芙,,萨马洛夫,美國,鋼琴,1882-1948,2018-05-30
3541661,"Sammartini, Giovanni Battista",薩瑪悌尼，喬望尼,,"萨马蒂尼,乔瓦尼",義大利,作曲,1700-1775,2018-05-30
3541662,"Sammartini, Giuseppe",薩瑪悌尼，朱塞佩,,"萨马蒂尼,朱塞佩",義大利,作曲,1695-1750,2018-05-30
3541663,"Sammons, Albert",薩蒙斯,,萨蒙斯,英國,小提琴；作曲,1886-1957,2018-05-30
3541664,"Samuel, Harold",薩繆爾,,塞缪尔,英國,鋼琴,1879-1937,2018-05-30
3541665,"Sanchez de Fuentes, Eduardo",桑傑斯·德·芬德斯,,桑切斯·德·芬德斯,古巴,作曲,1874-1944,2018-05-30
3541666,"Sandor, György",桑多爾,,尚多尔,美國,鋼琴,1912-2005,2018-05-30
3541667,"Sanromá, Jesús María",桑羅馬,,桑罗马,波多黎各,鋼琴,1902-1984,2018-05-30
3541668,"Santa Cruz, Domingo",桑塔克路斯,,桑塔克鲁斯,智利,作曲,1899-1987,2018-05-30
3541669,"Santoro, Cláudio",桑托洛,,桑托罗,巴西,作曲；小提琴,1919-1989,2018-05-30
3541670,"Sanz, Gaspar",桑斯,,桑斯,西班牙,作曲；吉他,1640-1710,2018-05-30
3541671,"Sapelnikov, Vassily",薩培尼科夫,,萨培尼科夫,俄國,鋼琴；小提琴,1867-1941,2018-05-30
3541672,"Sarasate, Pablo de",薩拉沙特,,萨拉萨蒂,西班牙,小提琴；作曲,1844-1908,2018-05-30
3541673,"Sargent, Malcolm",薩金特,,萨金特,英國,指揮,1895-1967,2018-05-30
3541674,"Satie, Erik",薩悌,,萨蒂,法國,作曲,1866-1925,2018-05-30
3541675,"Sauer, Emil von",邵爾，艾米爾,,"绍尔,艾米尔",德國,鋼琴,1862-1942,2018-05-30
3541676,"Sauguet, Henri",索蓋,,索盖,法國,作曲,1901-1989,2018-05-30
3541677,"Sauret, Emile",索列,,索雷,法國,小提琴；作曲,1852-1920,2018-05-30
3541678,"Sawallisch, Wolfgang",札瓦利許,,扎瓦利施,德國,指揮；鋼琴,1923-2013,2018-05-30
3541679,"Sax, Adolphe",薩克斯,,萨克斯,比利時,樂器製造,1814-1894,2018-05-30
3541680,"Saygun, Ahmed Adnan",賽貢,,萨伊贡,土耳其,作曲；指揮；民族音樂學,1907-1991,2018-05-30
3541681,"Scarlatti, Alessandro",斯卡拉第，亞力山大,,"斯卡拉蒂,亚历山大",義大利,作曲,1660-1725,2018-05-30
3541682,"Scarlatti, Domenico",斯卡拉第，多門尼可,,"斯卡拉蒂,多门尼可",義大利,鋼琴；作曲,1685-1757,2018-05-30
3541683,"Scarlatti, Giuseppe",斯卡拉第，朱塞佩,,"斯卡拉蒂,朱塞佩",義大利,作曲,ca.1718-1777,2018-05-30
3541684,"Schaeffer, Pierre",薛費爾,,舍费尔,法國,作曲,1910-1995,2018-05-30
3541685,"Schafer, Dirk",謝弗，迪克,,"舍费尔,迪克",荷蘭,鋼琴；作曲,1873-1931,2018-05-30
3541686,"Schalk, Franz",夏爾克,,沙尔克,奧地利,指揮,1863-1931,2018-05-30
3541687,"Scharwenka, Xaver",夏溫卡，克撒維爾,,"沙尔文卡,克萨韦尔",波蘭,作曲；鋼琴,1850-1924,2018-05-30
3541688,"Schenk, Johann Baptist",申克,,申克,奧地利,作曲,1753-1836,2018-05-30
3541689,"Schenker, Friedrich",申克爾，弗里德利希,,"申克尔,弗里德利希",德國,作曲,1942-2013,2018-05-30
3541690,"Schenker, Heinrich",申克爾，海因利希,,"申克尔,海因利希",奧地利,音樂理論,1868-1935,2018-05-30
3541691,"Scherchen, Hermann",謝爾亨,,舍尔申,德國,指揮,1891-1966,2018-05-30
3541692,"Scherchen-Hsiao, Tona",謝爾亨-蕭桐,,舍尔申-萧桐,法國,作曲,1938-,2018-05-30
3541693,"Schickele, Peter",席克勒,,席克勒,美國,作曲,1935-,2018-05-30
3541694,"Schiff, Andras",席夫,,席夫,匈牙利,鋼琴,1953-,2018-05-30
3541695,"Schillinger, Joseph",席林格,,席林格,美國,音樂理論,1895-1943,2018-05-30
3541696,"Schillings, Maxvon",席林斯,,冯·施林斯,德國,作曲,1868-1933,2018-05-30
3541697,"Schindler, Anton Felix",辛德勒，安東,,申德勒,奧地利,小提琴；指揮；音樂學,1795-1864,2018-05-30
3541698,"Schipa, Tito",斯基帕,,斯基帕,義大利,男高音,1888-1965,2018-05-30
3541699,"Schippers, Thomas",席珀斯,,席珀斯,美國,指揮,1930-1977,2018-05-30
3541700,"Schirmer, Gustav",席爾默,,席尔默,美國,音樂出版,1829-1893,2018-05-30
3541701,"Schlusnus, Heinrich",施魯斯努斯,,施鲁斯努斯,德國,男中音,1888-1952,2018-05-30
3541702,"Schmidt, Franz",施密特，弗朗茲,,"施密特,弗朗茲",奧地利,作曲；指揮；鋼琴；大提琴,1874-1939,2018-05-30
3541703,"Schmidt, Ole",施密特，歐勒,,"施密特,欧勒",丹麥,指揮；作曲,1928-2010,2018-05-30
3541704,"Schmidt, William",施密特，威廉,,"施密特,威廉",美國,作曲,1926-2009,2018-05-30
3541705,"Schmidt-Isserstedt, Hans",施密特－易瑟斯泰特,,施密特-易瑟斯泰特,德國,指揮；作曲,1900-1973,2018-05-30
3541706,"Schmieder, Wolfgang",施密德爾,,施米德尔,德國,音樂目錄學,1901-1990,2018-05-30
3541707,"Schnabel, Artur",施納貝爾，阿圖,,施纳贝尔，阿图,奧地利,鋼琴；作曲,1882-1951,2018-05-30
3541708,"Schnabel, Karl Ulrich",施納貝爾，卡爾,,施纳贝尔，卡尔,美國,鋼琴,1909-2001,2018-05-30
3541709,"Schnebel, Dieter",施內貝爾,,施内贝尔,德國,作曲；音樂學,1930-,2018-05-30
3541710,Schneevoigt Georg,施內沃伊特,,施内福伊特,芬蘭,指揮,1872-1947,2018-05-30
3541711,"Schneider, Alexander",施奈德，亞力山大,,"施奈德,亚历山大",美國,小提琴；指揮,1908-1993,2018-05-30
3541712,"Schneider, Friedrich",施奈德，弗里德利希,,"施奈德,弗里德里希",德國,作曲；指揮；管風琴,1786-1853,2018-05-30
3541713,"Schneiderhan, Wolfgang",施奈德漢,,施奈德汉,奧地利,小提琴,1915-2002,2018-05-30
3541714,"Schnittke, Alfred",施尼特克,,施尼特克,俄國,作曲,1934-1998,2018-05-30
3541715,"Schobert, Johann",休貝特,,朔贝特,德國,作曲,ca.1735-1767,2018-05-30
3541716,"Schönberg(Schoenberg), Arnold",荀貝格,,勋伯格,奧地利,作曲,1874-1951,2018-05-30
3541717,"Schönzeler, Hans-Hubert",荀澤勒,,勋泽勒,德國,指揮；音樂學,1925-1997,2018-05-30
3541718,"Schorr, Friedrich",蕭爾,,肖尔,美國,男中音,1888-1953,2018-05-30
3541719,"Schradieck, Henry",施拉迪克,,施拉迪克,德國,小提琴,1846-1918,2018-05-30
3541720,"Schreier, Peter",施萊爾,,施莱尔,德國,男高音；指揮,1935-,2018-05-30
3541721,"Schreker, Franz",施雷克爾,,施雷克,奧地利,指揮；作曲,1878-1934,2018-05-30
3541722,"Schröder, Hermann",施略德,,施略德,德國,作曲,1904-1984,2018-05-30
3541723,"Schubert, Franz",舒伯特,,舒伯特,奧地利,作曲,1797-1828,2018-05-30
3541724,"Schulhoff, Erwin(Ervin)",舒霍夫，厄文,,"舒尔霍夫,埃尔文",捷克,鋼琴；作曲,1894-1942,2018-05-30
3541725,"Schulhoff, Julius",舒霍夫，尤流斯,,"舒尔霍夫,尤利乌斯",捷克,鋼琴；作曲,1825-1898,2018-05-30
3541726,"Schuller, Gunther",舒勒,,舒勒,美國,作曲；指揮,1925-,2018-05-30
3541727,"Schultz, Wolfgang-Andreas",舒爾次，沃夫岡－安德雷阿斯,,舒尔茨，沃尔夫冈-安德烈亚斯,德國,作曲,1948-,2018-05-30
3541728,"Schulz, Johann Abraham Peter",舒爾茲,,舒尔茨，约翰,德國,作曲,1747-1800,2018-05-30
3541729,"Schulz-Evler, Andrei",舒爾茲－艾弗勒,,舒尔茨-艾弗勒,波蘭,作曲,1852-1905,2018-05-30
3541730,"Schuman, William",舒曼，威廉,,舒曼，威廉,美國,作曲,1910-1992,2018-05-30
3541731,"Schumann, Clara",舒曼，克拉拉,,"舒曼,克拉拉",德國,鋼琴；作曲,1819-1896,2018-05-30
3541732,"Schumann, Elizabeth",舒曼，伊莉莎白,,"舒曼,伊莉莎白",德國,,1888-1952,2018-05-30
3541733,"Schumann, Robert",舒曼，羅伯特,,"舒曼,罗伯特",德國,作曲,1810-1856,2018-05-30
3541734,Schumann-Heink Ernestine,舒曼－海茵克,,舒曼-海茵克,美國,女低中音,1861-1936,2018-05-30
3541735,"Schuppanzigh, Ignaz",舒潘齊格,,舒潘齐格,奧地利,小提琴；指揮,1776-1830,2018-05-30
3541736,"Schuricht, Carl",舒里希特,,舒里希特,德國,指揮,1880-1967,2018-05-30
3541737,"Schurmann, Gerard",舒爾曼，蓋拉格,,舒尔曼,荷蘭,作曲；指揮,1924-,2018-05-30
3541738,"Schütz, Heinrich",許茲,,许茨,德國,作曲,1585-1672,2018-05-30
3541739,"Schwarz, Rudolf",施瓦茲,,施瓦茨，鲁道夫,英國,指揮,1905-1994,2018-05-30
3541740,"Schwarzkopf, Elisabeth",施瓦茲科芙,,施瓦茨科普夫,德國,女高音,1915-2006,2018-05-30
3541741,"Schweitzer, Albert",史懷哲,,施魏策尔,法國,管風琴；音樂學,1875-1965,2018-05-30
3541742,"Scontrino, Antonio",斯孔特利諾,,斯孔特里诺,義大利,作曲；低音提琴,1850-1922,2018-05-30
3541743,"Scott, Anthony",斯考特，安東尼,,"斯考特,安东尼",英國,作曲；管風琴,1911-2012,2018-05-30
3541744,"Scott, Cyril",斯考特，西利爾,,"斯科特,西利尔",英國,作曲；鋼琴,1879-1970,2018-05-30
3541745,"Scotti, Antonio",斯柯悌,,斯科蒂,義大利,男中音,1866-1936,2018-05-30
3541746,"Scotto, Renata",斯柯朵,,斯科托,義大利,女高音,1934-,2018-05-30
3541747,"Scriabin(Skriabin), Alexander",斯克里亞賓,,斯克里亚宾,俄國,作曲,1872-1915,2018-05-30
3541748,"Sculthorpe, Peter",斯克爾索普,,斯克尔索普,澳大利亞,鋼琴；作曲,1929-,2018-05-30
3541749,"Searle, Humphrey",瑟爾,,瑟尔,英國,作曲；音樂學,1915-1982,2018-05-30
3541750,"Seefried, Irmgard",澤芙莉德,,塞弗里德,奧地利,女高音,1919-1988,2018-05-30
3541751,"Seeger, Ruth",西格,,西格,美國,作曲,1901-1953,2018-05-30
3541752,"Segerstam, Leif",賽格斯坦,,塞格斯坦,芬蘭,指揮；作曲,1944-,2018-05-30
3541753,"Segovia, Andrés",賽歌維雅,,塞戈维亚,西班牙,吉他,1893-1987,2018-05-30
3541754,"Seidel, Toscha",賽德爾,,塞德尔,美國,小提琴,1899-1962,2018-05-30
3541755,"Seitz, Fritz (Friedrich)",翟茲,,赛茨,德國,作曲,1848-1918,2018-05-30
3541756,"Sembrich, Marcella",森布莉希,,申布莉赫,波蘭,女高音,1858-1935,2018-05-30
3541757,"Semkow, Jerzy",森科夫,,塞姆科夫,波蘭,指揮,1928-2014,2018-05-30
3541758,"Semyonow, Wjatseslaw",謝苗諾夫,,谢苗诺夫,俄國,作曲,1946-,2018-05-30
3541759,"Senofsky, Berl",塞諾夫斯基,,赛诺夫斯基,美國,小提琴,1925-2002,2018-05-30
3541760,"Serafin, Tullio",賽拉芬,,塞拉芬,義大利,指揮,1878-1968,2018-05-30
3541761,"Serebrier, José",賽雷布里耶爾,,赛雷布里耶,烏拉圭,作曲；鋼琴,1938-,2018-05-30
3541762,"Serkin, Rudolf",瑟金,,塞尔金,美國,鋼琴,1903-1991,2018-05-30
3541763,"Serocki, Kazimierz",謝洛茲基,,谢洛茲基,波蘭,作曲；鋼琴,1922-1981,2018-05-30
3541764,"Serov, Alexander",謝洛夫,,谢洛夫,俄國,作曲；樂評,1820-1871,2018-05-30
3541765,"Sessions, Roger",賽旬思,,塞申斯,美國,作曲,1896-1985,2018-05-30
3541766,"Séverac, Déodat de",賽維拉克,,塞维拉克,法國,作曲,1873-1921,2018-05-30
3541767,"Sevitzky, Fabien",瑟維茲基,,塞维茨基,俄國,低音提琴,1891-1967,2018-05-30
3541768,"Sgambati, Giovanni",斯甘巴悌,,斯甘巴蒂,義大利,鋼琴；作曲,1841-1914,2018-05-30
3541769,"Shaffer, Elaine",夏芙爾,,夏弗,美國,長笛,1925-1973,2018-05-30
3541770,"Shapiro, Alex",夏皮若，阿雷克斯,,"夏皮罗,亚历克斯",美國,作曲,1962-,2018-05-30
3541771,"Shapiro, Michael",夏皮若，麥可,,"夏皮罗,迈克尔",美國,作曲,1951-,2018-05-30
3541772,"Shaporin, Yury",夏波林,,夏波林,俄國,作曲,1887-1966,2018-05-30
3541773,"Sharp, Cecil",夏普，瑟西爾,,"夏普,塞西尔",英國,民歌編曲,1859-1924,2018-05-30
3541774,"Sharp, Elliott",夏普，艾略特,,"夏普,埃利奥特",美國,作曲,1951-,2018-05-30
3541775,"Shaw, (George) Bernard",蕭伯納,,萧伯纳,愛爾蘭,樂評,1856-1950,2018-05-30
3541776,"Shaw, Robert",蕭，羅伯特,,肖，罗伯特,美國,指揮；作曲,1916-1999,2018-05-30
3541777,"Shchedrin, Rodion",席且德林,,谢德林,俄國,作曲,1932-,2018-05-30
3541778,"Shcherbachev, Vladimir",席且巴齊夫,,谢尔巴乔夫,俄國,作曲,1889-1952,2018-05-30
3541779,"Shebalin, Vissarion",謝巴林,,舍巴林,俄國,作曲,1902-1963,2018-05-30
3541780,"Shimizu, Osamu",清水修,,清水修,日本,作曲,1911-1986,2018-05-30
3541781,"Shirley-Quirk, John",席爾利－奎克,,雪利-奎克,英國,男中音,1931-2014,2018-05-30
3541782,"Shostakovich, Dmitri(Dmitry)",蕭斯塔科維契，德米特里,,肖斯塔科维奇，德米特里,俄國,作曲,1906-1975,2018-05-30
3541783,"Shostakovich, Maxim",蕭斯塔科維契，馬克辛,,肖斯塔科维奇，马克辛,俄國,指揮；鋼琴,1938-,2018-05-30
3541784,"Sibelius, Jean",西貝流士,,西贝柳斯,芬蘭,作曲,1865-1957,2018-05-30
3541785,"Siepi, Cesare",謝皮,,谢皮,義大利,男低音,1923-2010,2018-05-30
3541786,"Siki, Bela",席基,,希基,瑞士,鋼琴,1923-,2018-05-30
3541787,"Sikorski, Kazimierz",席科爾斯基，卡濟米耶茲,,西科尔斯基，卡济米日,波蘭,作曲,1895-1986,2018-05-30
3541788,"Sikorski, Tomasz",席科爾斯基，托瑪斯,,西科尔斯基，托马什,波蘭,作曲,1939-1988,2018-05-30
3541789,"Sills, Beverly",席爾絲,,西尔斯,美國,女高音,1929-2007,2018-05-30
3541790,"Siloti(Ziloti), Alexander",席洛悌,,西洛蒂,俄國,鋼琴；指揮；作曲,1863-1945,2018-05-30
3541791,"Silveri, Paolo",席威利,,西尔韦里,義大利,男中音,1913-2008,2018-05-30
3541792,"Silverstein, Joseph",席威爾斯坦,,西尔弗斯坦,美國,小提琴；指揮,1932-,2018-05-30
3541793,"Silvestri, Constantin",席維斯特利,,西尔弗斯特里,英國（羅馬尼亞裔）,指揮；鋼琴；作曲,1913-1969,2018-05-30
3541794,"Silvestrov, Valentin",席威斯特洛夫,,西尔维斯特洛夫,烏克蘭,作曲,1937-,2018-05-30
3541795,"Simon, Abbey",賽門,,西蒙,美國,鋼琴,1922-2014,2018-05-30
3541796,"Simoneau, Léopold",席摩諾,,西莫努,加拿大,男高音,1918-2006,2018-05-30
3541797,"Simpson, Robert",辛普森，羅伯特,,"辛普森,罗伯特",英國,作曲；音樂學,1921-1997,2018-05-30
3541798,"Simpson, Thomas",辛普森，湯瑪斯,,"辛普森,托马斯",英國,作曲,1582-1628,2018-05-30
3541799,"Sinclair, George Robertson",辛克萊爾，喬治,,辛克莱,英國,管風琴；指揮,1863-1917,2018-05-30
3541800,"Sinding, Christian",辛定,,辛丁,挪威,作曲,1856-1941,2018-05-30
3541801,"Sjögren, Emil",薛格倫,,舍格伦,瑞典,作曲,1853-1918,2018-05-30
3541802,"Skalkottas, Nikos (Nikolas)",斯卡科塔斯,,斯卡尔科塔斯,希臘,作曲；小提琴,1904-1949,2018-05-30
3541803,"Skrowaczewski, Stanislaw",斯克羅瓦切夫斯基,,斯克罗瓦切夫斯基,美國,指揮；作曲,1923-2017,2018-05-30
3541804,"Slatkin, Leonard",斯拉特金,,斯拉特金,美國,指揮；鋼琴,1944-,2018-05-30
3541805,"Slavický, Milan",斯拉維奇,,斯拉维茨基,捷克,作曲,1947-,2018-05-30
3541806,"Slezak, Leo",斯雷札克,,斯莱察克,奧地利,男高音,1873-1946,2018-05-30
3541807,"Slobodskaya, Oda",斯洛波德絲卡亞,,斯罗波茨卡娅,俄國,女高音,1888-1970,2018-05-30
3541808,"Slonimsky, Nicolas",斯洛寧姆斯基，尼古拉斯,,"斯洛尼姆斯基,尼古拉",俄國,指揮；作曲；音樂學,1894-1995,2018-05-30
3541809,"Slonimsky, Sergei(y)",斯洛寧姆斯基，瑟蓋伊,,"斯洛尼姆斯基,谢尔盖伊",俄國,作曲,1932-,2018-05-30
3541810,"Smetana, Bedrich",斯梅塔納,,斯美塔那,捷克,作曲,1824-1884,2018-05-30
3541811,"Smeterlin, Jan",斯梅特林,,斯梅特林,英國,鋼琴,1892-1967,2018-05-30
3541812,"Smith, Carleton Sprague",史密斯，卡爾頓,,"史密斯,卡尔顿",美國,音樂學,1905-1994,2018-05-30
3541813,"Smith, Cyril",史密斯，希利爾,,"史密斯,西里尔",英國,鋼琴,1909-1974,2018-05-30
3541814,"Smith, John Stafford",斯密士，約翰,,"史密斯,约翰",英國,音樂學；作曲,1750-1836,2018-05-30
3541815,"Smith, William",史密斯，威廉,,史密斯，威廉,英國,音樂學,1881-1972,2018-05-30
3541816,"Smith-Brindle, Reginald",史密斯－布林朵,,史密斯-布林德尔,英國,作曲；吉他,1917-2003,2018-05-30
3541817,"Sobrino, Carlos",索布利諾,,索布里诺,義大利,鋼琴,1861-1927,2018-05-30
3541818,"Söderström, Elisabeth",佘德斯特蓉,,舍德斯特罗姆,瑞典,女高音,1927-2009,2018-05-30
3541819,"Sohal, Naresh",索哈爾,,索哈尔,印度,作曲,1939-,2018-05-30
3541820,"Sokoloff, Nikolay",索科洛夫，尼古拉,,索科洛夫，尼古拉,美國,指揮；小提琴,1886-1965,2018-05-30
3541821,"Sokolov, Nikolay Alexandrovich",索科洛夫，尼古拉·亞力山德羅維契,,"索科洛夫,尼古拉·亚历山德罗维奇",俄國,作曲,1859-1922,2018-05-30
3541822,"Sokolov,Grigory",索科洛夫，格利葛利,,索科洛夫，格里高利,俄國,鋼琴,1950-,2018-05-30
3541823,"Soldat, Marie",索妲特,,索尔达特,奧地利,小提琴,1963-1955,2018-05-30
3541824,"Soler, Antonio",索列爾,,索莱尔,西班牙,作曲；管風琴,1729-1783,2018-05-30
3541825,"Solov'yov-Sedoy, Vasily",索洛維耶夫－瑟多伊,,萨洛维约夫-塞多伊,俄國,作曲,1907-1979,2018-05-30
3541826,"Solti, Georg",蕭提,,肖尔蒂,英國,指揮；鋼琴,1912-1997,2018-05-30
3541827,"Sonneck, Oscar",桑內克,,索内克,美國,音樂學,1873-1928,2018-05-30
3541828,"Sor, Fernando",梭爾,,索尔,西班牙,吉他；作曲,1778-1839,2018-05-30
3541829,"Sorabji, Kaikhosru Shapurji",索拉布吉,,索拉布吉,英國,鋼琴；作曲；音樂學,1892-1988,2018-05-30
3541830,"Soriano, Gonzalo",索利阿諾,,索里亚诺,西班牙,鋼琴,1913-1972,2018-05-30
3541831,"Sousa, John Philip",蘇沙,,苏萨,美國,軍樂作曲；指揮,1854-1932,2018-05-30
3541832,"Souzay, Gerard",蘇宰,,苏才,法國,男中音,1918-2004,2018-05-30
3541833,"Sowerby, Leo",梭爾比,,索尔比,美國,作曲,1895-1968,2018-05-30
3541834,"Spalding, Albert",斯包定,,斯波尔丁,美國,小提琴；作曲,1888-1953,2018-05-30
3541835,"Speer, Georgy Daniel",許佩爾,,施佩尔,德國,作曲,1636-1707,2018-05-30
3541836,"Spies, Claudio",斯匹司,,斯皮斯,美國,作曲；指揮,1925-,2018-05-30
3541837,"Spitta, Philipp",許匹塔,,施皮塔,德國,音樂史學；著作,1841-1894,2018-05-30
3541838,"Spivakovsky, Tossy",斯匹瓦科夫斯基,,斯皮瓦科夫斯基,俄國,小提琴,1906-1998,2018-05-30
3541839,"Spohr, Ludwig (Louis)",許伯爾,,施波尔,德國,小提琴；作曲；指揮,1784-1859,2018-05-30
3541840,"Squire, William",斯奎爾,,斯夸尔,英國,音樂學；作曲,1855-1927,2018-05-30
3541841,"Stade, Fredericavon{Stade, Frederica von}",馮史塔德,,冯·史塔德,美國,次女高音,1945-,2018-05-30
3541842,"Stader, Maria",史塔黛,,斯塔黛,瑞士,女高音,1911-1999,2018-05-30
3541843,"Stainer, John",斯泰納,,斯坦纳,英國,音樂學；作曲,1840-1901,2018-05-30
3541844,"Stamic (Stamitz), Jan(Johann) Vaclav",史塔米茲，約翰,,"斯塔米茨,扬",捷克,小提琴；作曲,1717-1757,2018-05-30
3541845,"Stamic(Stamitz),Karel(Carl)",史塔米茲，卡爾,,"斯塔米茨,卡尔",捷克,作曲；小提琴,1745-1801,2018-05-30
3541846,"Stanford, Charles Villiers",史丹福特,,斯坦福,愛爾蘭,作曲；指揮,1852-1924,2018-05-30
3541847,"Starker, Janos",史塔克,,什塔克,美國,大提琴,1924-2013,2018-05-30
3541848,"Stefano, Giuseppe di",斯提法諾,,斯特凡诺,義大利,男高音,1921-2008,2018-05-30
3541849,"Steibelt, Daniel",許泰貝爾特,,施泰贝尔特,德國,作曲；鋼琴,1765-1823,2018-05-30
3541850,"Stein, Erwin",許坦，厄文,,施泰因，欧文,奧地利,音樂學；著作,1885-1958,2018-05-30
3541851,"Stein, Fritz William",許坦，弗利茲,,施泰因，弗利茲,德國,音樂學；指揮,1879-1961,2018-05-30
3541852,"Steinberg, Maximilian",史坦貝格,,施泰因贝格，马克西米连,俄國,作曲,1883-1946,2018-05-30
3541853,"Steinberg, William",斯坦貝格,,斯坦伯格，威廉,美國,指揮,1899-1978,2018-05-30
3541854,"Steinway, Heinrich",史坦威,,施坦威,德國,鋼琴製造,1797-1871,2018-05-30
3541855,"Stenhammar, Wilhelm Eugen",史登哈瑪,,斯滕哈马尔,瑞典,作曲；指揮,1871-1927,2018-05-30
3541856,"Sterling, Antoinette",斯特玲,,斯特林,美國,女低音,1850-1904,2018-05-30
3541857,"Stern, Isaac",斯特恩,,斯特恩,美國,小提琴,1920-2001,2018-05-30
3541858,"Steuermann, Eduard",斯托爾曼,,施托伊厄曼,美國,鋼琴；作曲,1892-1964,2018-05-30
3541859,"Stevens, Bernard",斯提文斯，貝納德,,"史蒂文斯,伯纳德",英國,作曲,1916-1983,2018-05-30
3541860,"Stevens, Richard",斯提文斯，理查,,"史蒂文斯,理查德",英國,作曲；管風琴,1757-1837,2018-05-30
3541861,"Stevens, Risë",斯提文斯，瑞瑟,,"史蒂文斯,里瑟",美國,次女高音,1913-2013,2018-05-30
3541862,"Stevenson, John",斯提文森，約翰,,"史蒂文森,约翰",愛爾蘭,作曲,1761-1833,2018-05-30
3541863,"Stevenson, Ronald",斯提文森，羅納德,,"史蒂文森,罗纳德",英國,作曲；鋼琴,1928-2015,2018-05-30
3541864,"Stich-Randall, Teresa",斯蒂琪－藍道,,斯蒂克-兰德尔,美國,女高音,1927-2007,2018-05-30
3541865,"Stiedry, Fritz",斯提德利,,斯蒂德里,美國,指揮,1883-1968,2018-05-30
3541866,"Stignani, Ebe",斯蒂尼雅尼,,斯蒂尼亚尼,義大利,次女高音,1904-1974,2018-05-30
3541867,"Stock, Frederick",史托克,,斯托克,美國,作曲；指揮,1872-1942,2018-05-30
3541868,"Stockhausen, Karlheinz",史托克豪森，卡爾海因茲,,施托克豪森,德國,作曲,1928-2007,2018-05-30
3541869,"Stojowski, Sigismund",史托霍夫斯基,,斯托约夫斯基，西格斯蒙德,美國,鋼琴；作曲,1870-1946,2018-05-30
3541870,"Stokowski, Leopold",史托科夫斯基,,斯托科夫斯基，利奥波德,美國,指揮,1882-1977,2018-05-30
3541871,"Stolze, Gerhard",史托澈,,施托尔策,德國,男高音,1926-1979,2018-05-30
3541872,"Stradella, Alessandro",斯特拉德拉,,斯特拉代拉,義大利,作曲,1639-1682,2018-05-30
3541873,"Stradivari, Antonio",斯特拉第瓦里,,斯特拉迪瓦里,義大利,小提琴製作,1644-1737,2018-05-30
3541874,"Straeten, Edmond van der",范德史特瑞登,,施特雷滕,比利時,音樂學,1826-1895,2018-05-30
3541875,"Strahan, Derek",斯特拉罕,,斯特拉恩,馬來西亞,作曲,1935-,2018-05-30
3541876,"Stransky, Josef",斯特朗斯基,,斯特兰斯基,捷克,指揮,1872-1936,2018-05-30
3541877,"Stratas, Teresa",斯特拉塔絲,,斯特拉塔丝,加拿大,女高音,1938-,2018-05-30
3541878,"Straus, Oscar",史特勞斯，奧斯卡,,施特劳斯，奥斯卡,奧地利,作曲家；指揮,1870-1954,2018-05-30
3541879,"Strauss Jr., Johann(II)",史特勞斯二世，約翰,,施特劳斯二世，约翰,奧地利,作曲；指揮；小提琴,1825-1899,2018-05-30
3541880,"Strauss Sr., Johann(I)",史特勞斯一世，約翰,,施特劳斯一世，约翰,奧地利,作曲；指揮；小提琴,1804-1849,2018-05-30
3541881,"Strauss, Eduard",史特勞斯，愛德華,,施特劳斯，爱德华,奧地利,作曲；指揮,1835-1916,2018-05-30
3541882,"Strauss, Josef",史特勞斯，約瑟夫,,施特劳斯，约瑟夫,奧地利,作曲,1827-1870,2018-05-30
3541883,"Strauss, Richard",史特勞斯，理查,,施特劳斯，理查,德國,作曲；指揮,1864-1949,2018-05-30
3541884,"Stravinsky, Igor",斯特拉溫斯基，伊果,,"斯特拉文斯基,伊果",俄國,作曲；指揮；鋼琴,1882-1971,2018-05-30
3541885,"Streich, Rita",史特萊希,,施特赖希,德國,女高音,1920-1987,2018-05-30
3541886,"Strungk, Nicolaus Adam",斯徒倫克,,施特隆克,德國,作曲,1640-1700,2018-05-30
3541887,"Stuckenschmidt, Hans Heine",史徒肯施密特,,施图肯施密特,德國,音樂學,1901-1988,2018-05-30
3541888,"Subotnick, Morton",薩伯特尼克,,萨伯特尼克,美國,作曲；豎琴,1933-,2018-05-30
3541889,"Sucher, Josef",蘇赫爾，約瑟夫,,苏赫尔,匈牙利,指揮；作曲,1843-1908,2018-05-30
3541890,"Suchon, Eugen",蘇雄,,苏宏,斯洛伐克,作曲,1908-1993,2018-05-30
3541891,"Sugár, Rezsö",蘇格,,舒加,匈牙利,作曲,1919-1988,2018-05-30
3541892,"Suk, Josef(I)",蘇克一世，約瑟夫,,苏克一世，约瑟夫,捷克,小提琴；作曲,1874-1935,2018-05-30
3541893,"Suk, Josef(II)",蘇克二世，約瑟夫,,苏克二世，约瑟夫,捷克,小提琴；指揮,1929-2011,2018-05-30
