ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
3178363,compensation point,補償點,,补偿点,104.11.09,2017-07-24
3178364,competitive exclusion principle,競爭排斥原理,,竞争排斥原理,104.11.09,2017-07-24
3178365,competitive plant,競爭植物,,竞争植物,104.11.09,2017-07-24
3178366,complementary DNA{=cDNA},互補,,互补,104.11.09,2017-07-24
3178367,complementary pollination,輔助授粉,,辅助授粉,104.11.09,2017-07-24
3178368,complementary tissue,補充組織,,补充组织,104.11.09,2017-07-24
3178369,filling tissue,補充組織,,补充组织,104.11.09,2017-07-24
3178370,complete flower,完全花,,完全花,104.11.09,2017-07-24
3178371,complete leaf,完全葉,,完全叶,104.11.09,2017-07-24
3178372,complex tissue,複合組織,,复合组织,104.11.09,2017-07-24
3178373,compound inflorescence,複[合]花序,,复[合]花序,104.11.09,2017-07-24
3178374,compound leaf,複葉,,复叶,104.11.09,2017-07-24
3178375,compound middle lamella,複核細胞層；複合中層,,复合胞间层；复合中层,104.11.09,2017-07-24
3178376,compound pistil,複雌蕊,,复雌蕊,104.11.09,2017-07-24
3178377,compound strobilus,複孢子囊穗；複毬果,,复孢子叶球,104.11.09,2017-07-24
3178378,compression wood,抗壓材,,应压木,104.11.09,2017-07-24
3178379,concave plasmolysis,凹形質離,,凹形质壁分离,104.11.09,2017-07-24
3178380,concentric vascular bundle,同心維管[束],,同心维管束,104.11.09,2017-07-24
3178381,concentrically lamellated pattern,環層型,,环层型,104.11.09,2017-07-24
3178382,conceptacle,生殖巢,,生殖窠,104.11.09,2017-07-24
3178383,conchospore,殼孢子,,壳孢子,104.11.09,2017-07-24
3178384,conducting tissue,輸導組織,,输导组织,104.11.09,2017-07-24
3178385,cone,毬果；孢子囊穗,,球果,104.11.09,2017-07-24
3178386,confluent parenchyma,聚翼薄壁組織,,聚翼薄壁组织,104.11.09,2017-07-24
3178387,conidia,分生孢子{複數},,分生孢子(复数),104.11.09,2017-07-24
3178388,conidiogenous cell,產胞細胞,,产孢细胞,104.11.09,2017-07-24
3178389,conidiole,小芬生孢子,,小分生孢子,104.11.09,2017-07-24
3178390,conidiome,分生孢子體,,分生孢子体,104.11.09,2017-07-24
3178391,conidiophore,分生孢子柄；分生孢子梗,,分生孢子梗,104.11.09,2017-07-24
3178392,conidiospore,分生孢子{單數},,分生孢子,104.11.09,2017-07-24
3178393,conidium,分生孢子{單數},,分生孢子(单数),104.11.09,2017-07-24
3178394,conidium initial,分生孢子原,,分生孢子原,104.11.09,2017-07-24
3178395,conifer,松柏類；針葉樹,,针叶树；松柏类；松杉类,104.11.09,2017-07-24
3178396,coniferous forest,針葉樹林；松柏林,,针叶林,104.11.09,2017-07-24
3178397,coniferous wood,針葉[樹]材,,针叶材；软材,104.11.09,2017-07-24
3178398,conjugation,接合[生殖],,接合[作用],104.11.09,2017-07-24
3178399,conjugation tube,接合管,,接合管,104.11.09,2017-07-24
3178400,connate stamens,合生雄蕊,,合生雄蕊,104.11.09,2017-07-24
3178401,connecting strand,聯絡索,,联络索,104.11.09,2017-07-24
3178402,connective,葯隔；胞間連絲,,药隔；孢间连丝,104.11.09,2017-07-24
3178403,constancy,恆有度,,恒有度,104.11.09,2017-07-24
3178404,constant species,恆有種,,恒有种,104.11.09,2017-07-24
3178405,consumer,消費者,,消费者,104.11.09,2017-07-24
3178406,contact community,接觸群落,,接触群落,104.11.09,2017-07-24
3178407,context,菌肉,,菌肉,104.11.09,2017-07-24
3178408,flesh,菌肉,,菌肉,104.11.09,2017-07-24
3178409,continental block,大陸塊,,大陆块,104.11.09,2017-07-24
3178410,continental bridge theory,陸橋學說,,陆桥学说,104.11.09,2017-07-24
3178411,continental displacement,大陸位移,,大陆位移,104.11.09,2017-07-24
3178412,continental drift theory,大陸漂移說,,大陆漂移说,104.11.09,2017-07-24
3178413,continental margin,大陸邊緣,,大陆边缘,104.11.09,2017-07-24
3178414,continental shelf,大陸架,,大陆架,104.11.09,2017-07-24
3178415,continental species,大陸種,,大陆种,104.11.09,2017-07-24
3178416,continuous areal,連續分佈區,,连续分布区,104.11.09,2017-07-24
3178417,continuous variation,連續變異,,连续变异,104.11.09,2017-07-24
3178418,continuum,[植被]連續體,,[植被]连续体,104.11.09,2017-07-24
3178419,contorted,旋轉,,旋转,104.11.09,2017-07-24
3178420,contractile root,收縮根,,收缩根,104.11.09,2017-07-24
3178421,contractile vacuole,伸縮胞,,收缩泡,104.11.09,2017-07-24
3178422,convallaria cardiac glycoside,鈴蘭類強心苷,,铃兰类强心苷,104.11.09,2017-07-24
3178423,convergent evolution,趨同演化,,趋同进化；趋同演化,104.11.09,2017-07-24
3178424,convex plasmolysis,凸形質離,,凸形质壁分离,104.11.09,2017-07-24
3178425,corbicula,冬孢堆護膜,,冬孢堆护膜,104.11.09,2017-07-24
3178426,core sheath,芯鞘,,芯鞘,104.11.09,2017-07-24
3178427,coremium,孢梗束,,孢梗束,104.11.09,2017-07-24
3178428,cork,木栓,,木栓,104.11.09,2017-07-24
3178429,cork cambium,木栓形成層,,木栓形成层,104.11.09,2017-07-24
3178430,phellogen,木栓形成層,,木栓形成层,104.11.09,2017-07-24
3178431,cork cell,木栓細胞；栓化細胞,,木栓细胞；栓化细胞,104.11.09,2017-07-24
3178432,cork meristem,木栓分生組織,,木栓分生组织,104.11.09,2017-07-24
3178433,cork tissue,木栓組織,,木栓组织,104.11.09,2017-07-24
3178434,cork,木栓,,木栓,104.11.09,2017-07-24
3178435,phellem,木栓,,木栓,104.11.09,2017-07-24
3178436,corm,球莖,,球茎,104.11.09,2017-07-24
3178437,cormlet,小球莖,,小球茎,104.11.09,2017-07-24
3178438,corolla,花冠,,花冠,104.11.09,2017-07-24
3178439,corolla lobe,花冠裂片,,花冠裂片,104.11.09,2017-07-24
3178440,corolla throat,花冠喉,,花冠喉,104.11.09,2017-07-24
3178441,corolla tube,花冠筒,,花冠筒,104.11.09,2017-07-24
3178442,corollifloral stamen,著生在花冠的雄蕊；花瓣上雄蕊,,冠生雄蕊,104.11.09,2017-07-24
3178443,corona,副花冠；根頸,,副花冠；根颈,104.11.09,2017-07-24
3178444,corpus,原體；本體,,原体；本体,104.11.09,2017-07-24
3178445,cortex,皮層,,皮层,104.11.09,2017-07-24
3178446,cortina,絲膜,,丝膜,104.11.09,2017-07-24
3178447,corymb,繖房花序,,伞房花序,104.11.09,2017-07-24
3178448,coscinoid,篩絲,,筛丝,104.11.09,2017-07-24
3178449,cosmopolitan (species),世界種；廣布種,,世界种；广布种,104.11.09,2017-07-24
3178450,cosmopolite species,世界種；廣布種,,世界种；广布种,104.11.09,2017-07-24
3178451,cosmopolitan distribution,世界分佈,,世界分布,104.11.09,2017-07-24
3178452,cosmopolitan genus,世界屬；廣布屬,,世界属；广布属,104.11.09,2017-07-24
3178453,cotransduction,共[同]轉導；共[同]傳導,,共传导,104.11.09,2017-07-24
3178454,cotransport,共運輸,,共运输,104.11.09,2017-07-24
3178455,cotyledon,子葉,,子叶,104.11.09,2017-07-24
3178456,cotyledon trace,子葉隙,,子叶迹,104.11.09,2017-07-24
3178457,cotyloid receptacle,盤狀花托,,盘状花托,104.11.09,2017-07-24
3178458,coumarin,香豆素,,香豆素,104.11.09,2017-07-24
3178459,coupled reaction,耦聯反應；耦合反應,,耦联反应,104.11.09,2017-07-24
3178460,coverage,蓋度,,盖度,104.11.09,2017-07-24
3178461,crassinucellate ovule,厚珠心胚珠,,厚珠心胚珠,104.11.09,2017-07-24
3178462,crassulacean acid metabolism{=CAM},景天酸代謝,,景天酸代谢,104.11.09,2017-07-24
3178463,crassulae,眉條,,眉条,104.11.09,2017-07-24
3178464,creationism,特創論,,特创论,104.11.09,2017-07-24
3178465,theory of special creation,特創論,,特创论,104.11.09,2017-07-24
3178466,creeper,匍匐莖；蔓生植物,,匍匐枝；匍匐植物,104.11.09,2017-07-24
3178467,creeping stem,匍匐莖,,匍匐茎,104.11.09,2017-07-24
3178468,cremocarp,雙懸果,,双悬果,104.11.09,2017-07-24
3178469,crevice plant,石隙植物,,石隙植物,104.11.09,2017-07-24
3178470,chasmophyte,石隙植物,,石隙植物,104.11.09,2017-07-24
3178471,chomophyte,石隙植物,,石隙植物,104.11.09,2017-07-24
3178472,crista,皺褶{單數},,鸡冠状突起(单数),104.11.09,2017-07-24
3178473,cristae,皺褶{複數},,鸡冠状突起(复数),104.11.09,2017-07-24
3178474,critical dark-period,臨界暗期,,临界暗期,104.11.09,2017-07-24
3178475,critical day-length,臨界日長,,临界日长,104.11.09,2017-07-24
3178476,critical period,臨界期,,临界期,104.11.09,2017-07-24
3178477,critical plasmolysis,臨界質[壁分]離,,临界质壁分离,104.11.09,2017-07-24
3178478,cross fertilization,異花受精,,异花受精,104.11.09,2017-07-24
3178479,cross pollination,異花授粉,,异花授粉,104.11.09,2017-07-24
3178480,cross section,橫切面,,横切面,104.11.09,2017-07-24
3178481,transverse section,橫切面,,横切面,104.11.09,2017-07-24
3178482,cross-field pitting,交叉場紋孔式,,交叉场纹孔式,104.11.09,2017-07-24
3178483,cross-pollination,異花授粉,,异花传粉,104.11.09,2017-07-24
3178484,crossed pit,十字紋孔,,十字纹孔,104.11.09,2017-07-24
3178485,crossing-over,{染色體}互換,,交换,104.11.09,2017-07-24
3178486,crown projection diagram,樹冠投影圖,,树冠投影图,104.11.09,2017-07-24
3178487,crown-gall nodule,冠癭瘤,,冠瘿瘤,104.11.09,2017-07-24
3178488,crozier,產囊絲鉤,,产囊丝钩,104.11.09,2017-07-24
3178489,hook,產囊絲鉤,,产囊丝钩,104.11.09,2017-07-24
3178490,cruciferous corolla,十字形花冠,,十字形花冠,104.11.09,2017-07-24
3178491,crustaceous thallus,殼狀地衣體,,壳状地衣体,104.11.09,2017-07-24
3178492,crustose lichen,殼狀地衣,,壳状地衣,104.11.09,2017-07-24
3178493,cryptogam,隱花植物,,隐花植物,104.11.09,2017-07-24
3178494,cryptogamia,隱花植物,,隐花植物,104.11.09,2017-07-24
3178495,cryptophyte,隱芽植物,,隐芽植物,104.11.09,2017-07-24
3178496,crystal cell,含晶細胞；結晶細胞,,含晶细胞；结晶细胞,104.11.09,2017-07-24
3178497,crystal fiber,含晶纖維,,含晶纤维,104.11.09,2017-07-24
3178498,crystal idioblast,含晶異細胞,,含晶异细胞,104.11.09,2017-07-24
3178499,crystal receptacle,藏晶體,,藏晶体,104.11.09,2017-07-24
3178500,crystal sac,晶囊,,晶囊,104.11.09,2017-07-24
3178501,crystalloid,擬晶體；類晶體,,拟晶体；类晶体,104.11.09,2017-07-24
3178502,culm,[空心]稈,,[空心]秆,104.11.09,2017-07-24
3178503,cultivar,栽培種；品種,,栽培种,104.11.09,2017-07-24
3178504,cultivated form,栽培類型,,栽培类型,104.11.09,2017-07-24
3178505,cultivated variety,栽培變種,,栽培变种,104.11.09,2017-07-24
3178506,cultivated vegetation,栽培植被,,栽培植被,104.11.09,2017-07-24
3178507,culture solution,培養液,,培养液,104.11.09,2017-07-24
3178508,cupule,殼斗,,壳斗,104.11.09,2017-07-24
3178509,current shoot,新枝條,,新枝条,104.11.09,2017-07-24
3178510,cushion plant,[座]墊狀植物,,[座]垫状植物,104.11.09,2017-07-24
3178511,cuticle,角質層,,角质膜；角质层,104.11.09,2017-07-24
3178512,cuticle analysis,角質層分析,,角质膜分析；角质层分析,104.11.09,2017-07-24
3178513,cuticle layer,角質層,,角质膜；角质层,104.11.09,2017-07-24
3178514,cuticula,膜皮,,膜皮,104.11.09,2017-07-24
3178515,cuticular transpiration,角質膜蒸騰,,角质膜蒸腾,104.11.09,2017-07-24
3178516,cuticularization,角質膜形成[作用],,角质膜形成[作用],104.11.09,2017-07-24
3178517,cutin,角質,,角质,104.11.09,2017-07-24
3178518,cutinization,角化[作用],,角化[作用],104.11.09,2017-07-24
3178519,cutinized layer,角化層,,角化层,104.11.09,2017-07-24
3178520,cutis,膜皮,,膜皮,104.11.09,2017-07-24
3178521,cyanelle,藍色小體,,蓝色小体,104.11.09,2017-07-24
3178522,cyanide-insensitive respiration,氰化物鈍感呼吸,,氰化物钝感呼吸,104.11.09,2017-07-24
3178523,cyanide-resistant respiration,抗氰呼吸,,抗氰呼吸,104.11.09,2017-07-24
3178524,cyanide-sensitive respiration,氰化物敏感呼吸,,氰化物敏感呼吸,104.11.09,2017-07-24
3178525,cyanogentic glycoside,含氰苷,,含氰苷,104.11.09,2017-07-24
3178526,cyanophage,噬藍藻體,,噬蓝藻体,104.11.09,2017-07-24
3178527,cyanophycin granule,藍藻素顆粒,,蓝藻素颗粒,104.11.09,2017-07-24
3178528,cyanoplast,藍質體,,蓝质体,104.11.09,2017-07-24
3178529,cyathium,杯狀聚繖花序；大戟花序,,杯状聚伞花序,104.11.09,2017-07-24
3178530,cyclic electron flow,循環[式]電子流,,循环电子传递,104.11.09,2017-07-24
3178531,cyclic flower,輪生花,,轮生花,104.11.09,2017-07-24
3178532,cyclic photophosphorylation,循環性光磷酸化作用,,循环光合磷酸化,104.11.09,2017-07-24
3178533,cyclic phyllotaxis,輪生葉序,,轮生叶序,104.11.09,2017-07-24
3178534,cyclogenic,發育週期的；生活週期的,,发育周期的,104.11.09,2017-07-24
3178535,cyclolignan,環木脂體,,环木脂体,104.11.09,2017-07-24
3178536,cyclolignolide,環木脂內酯,,环木脂内酯,104.11.09,2017-07-24
3178537,cyclopeptide alkaloid,環肽類生物鹼,,环肽类生物碱,104.11.09,2017-07-24
3178538,cyclosis,胞質循流,,胞质环流,104.11.09,2017-07-24
3178539,cyme,聚繖花序,,聚伞花序,104.11.09,2017-07-24
3178540,cymelet,小聚繖花序,,小聚伞花序,104.11.09,2017-07-24
3178541,cymose panicle,聚繖圓錐花序,,聚伞圆锥花序,104.11.09,2017-07-24
3178542,cymule,小聚繖花序,,小聚伞花序,104.11.09,2017-07-24
3178543,cynarrhodion,薔薇果,,蔷薇果,104.11.09,2017-07-24
3178544,cyphella,杯點,,杯点,104.11.09,2017-07-24
3178545,cypsela,連萼瘦果,,连萼瘦果,104.11.09,2017-07-24
3178546,cystidiole,小囊狀體,,小囊状体,104.11.09,2017-07-24
3178547,cystidium,囊狀體,,囊状体,104.11.09,2017-07-24
3178548,cystocarp,囊果,,囊果,104.11.09,2017-07-24
3178549,cystolith,鐘乳體,,钟乳体,104.11.09,2017-07-24
3178550,cystophore,休眠孢囊梗,,休眠孢囊梗,104.11.09,2017-07-24
3178551,cystosorus,休眠孢子堆,,休眠孢子堆,104.11.09,2017-07-24
3178552,cytochrome,細胞色素,,细胞色素,104.11.09,2017-07-24
3178553,cytogamy,質配；胞質交配,,质配；胞质配合,104.11.09,2017-07-24
3178554,cytokinesis,胞質分裂；質裂,,胞质分裂,104.11.09,2017-07-24
3178555,cytokinin,細胞分裂素,,细胞分裂素,104.11.09,2017-07-24
3178556,cytology,細胞學,,细胞学,104.11.09,2017-07-24
3178557,cytopharynx,[細]胞咽,,[细]胞咽,104.11.09,2017-07-24
3178558,cytophysiology,細胞生理學,,细胞生理学,104.11.09,2017-07-24
3178559,cytoplasm,細胞質,,胞质,104.11.09,2017-07-24
3178560,cytoplasmic filament,細胞質絲,,胞质丝,104.11.09,2017-07-24
3178561,cytoplasmic streaming,胞質循流,,胞质环流,104.11.09,2017-07-24
3178562,cytosine,胞嘧啶,,胞嘧啶,104.11.09,2017-07-24
3178563,cytoskeleton,細胞骨架,,细胞骨架,104.11.09,2017-07-24
3178564,cytosol,[細]胞質液,,细胞溶胶,104.11.09,2017-07-24
3178565,cytotaxonomy,細胞分類學,,细胞分类学,104.11.09,2017-07-24
3178566,dammarane type,達瑪烷型,,达玛烷型,104.11.09,2017-07-24
3178567,dark reaction,暗反應,,暗反应,104.11.09,2017-07-24
3178568,dark respiration,暗呼吸,,暗呼吸,104.11.09,2017-07-24
3178569,dark seed,需按種子,,需暗种子,104.11.09,2017-07-24
3178570,day-neutral plant,日中性植物,,日[照]中性植物,104.11.09,2017-07-24
3178571,de-etiolation,逆黃化,,脱黄化；去黄化,104.11.09,2017-07-24
3178572,deciduous broad-leaved forest,落葉闊葉林；脫落闊葉林,,落叶阔叶林；夏绿林,104.11.09,2017-07-24
3178573,decomposers,分解者,,分解者,104.11.09,2017-07-24
3178574,decussate phyllotaxis,十字對生葉序；交互對生葉序,,交互对生叶序,104.11.09,2017-07-24
3178575,dedifferentiation,逆分化,,脱分化,104.11.09,2017-07-24
3178576,definite inflorescence,有限花序,,有限花序,104.11.09,2017-07-24
3178577,deflected succession,偏途演替,,偏途演替,104.11.09,2017-07-24
3178578,defoliating agent,落葉劑,,脱叶剂,104.11.09,2017-07-24
3178579,defoliation,落葉,,脱叶,104.11.09,2017-07-24
3178580,degenerated synergid,退化助細胞,,退化助细胞,104.11.09,2017-07-24
3178581,degree of closing,疏密度,,疏密度,104.11.09,2017-07-24
3178582,dehiscence,開裂,,开裂；裂开,104.11.09,2017-07-24
3178583,dehiscent fruit,裂果,,裂果,104.11.09,2017-07-24
3178584,delignification,去木質化[作用],,脱木质化[作用],104.11.09,2017-07-24
3178585,dendroid hair,樹狀毛,,树状毛,104.11.09,2017-07-24
3178586,denitrification,脫氮作用,,脱氮作用,104.11.09,2017-07-24
3178587,density,密度,,密度,104.11.09,2017-07-24
3178588,denuded quadrat,刈除樣方；除光樣方,,芟除样方；除光样方,104.11.09,2017-07-24
3178589,deoxyribonucleic acid{=DNA},去氧核糖核酸,,脱氧核醣核酸,104.11.09,2017-07-24
3178590,dephosphorylation,脫磷酸作用,,去磷酸化,104.11.09,2017-07-24
3178591,deplasmolysis,反質離,,质壁分离复原,104.11.09,2017-07-24
3178592,depolarization,去極化,,脱极化；去极化,104.11.09,2017-07-24
3178593,dermal system,表皮系統,,皮系统,104.11.09,2017-07-24
3178594,dermal tissue system,表皮組織系統,,皮组织系统,104.11.09,2017-07-24
3178595,dermatogen,表皮原,,表皮原,104.11.09,2017-07-24
3178596,desert lichen,荒漠地衣,,荒漠地衣,104.11.09,2017-07-24
3178597,desmotubule,聯絡絲微管,,连丝微管,104.11.09,2017-07-24
3178598,determinate growth,有限生長,,有限生长,104.11.09,2017-07-24
3178599,development,發育,,发育,104.11.09,2017-07-24
3178600,developmental botany,發育植物學,,发育植物学,104.11.09,2017-07-24
3178601,developmental center,發育中心,,发育中心,104.11.09,2017-07-24
3178602,developmental malformation,發育畸形,,发育畸形,104.11.09,2017-07-24
3178603,developmental phase,發育期,,发育期,104.11.09,2017-07-24
3178604,developmental physiology,發育生理學,,发育生理学,104.11.09,2017-07-24
3178605,developmental rhythm,發育節律,,发育节律,104.11.09,2017-07-24
3178606,devernalization,去春化,,去春化；脱春化,104.11.09,2017-07-24
3178607,diadelphous stamen,二體雄蕊,,二体雄蕊,104.11.09,2017-07-24
3178608,diagnostic species,鑑別種,,鉴别种,104.11.09,2017-07-24
3178609,dialysepalous calyx,離生花萼,,离生花萼,104.11.09,2017-07-24
3178610,dialystele,離生中柱,,离生中柱,104.11.09,2017-07-24
3178611,diaphragmed pith,分隔髓,,分隔髓,104.11.09,2017-07-24
3178612,diarch,二原型,,二原型,104.11.09,2017-07-24
3178613,diatom analysis,矽藻分析,,硅藻分析,104.11.09,2017-07-24
3178614,diatomaceous earth,矽藻土,,硅藻土,104.11.09,2017-07-24
3178615,diatoms,矽藻,,硅藻,104.11.09,2017-07-24
3178616,dichasium,二歧聚繖花序,,二歧聚伞花序,104.11.09,2017-07-24
3178617,dichogamy,雌雄[蕊]異熟,,雌雄[蕊]异熟,104.11.09,2017-07-24
3178618,dichotomous branching,二叉分枝,,二歧分枝式,104.11.09,2017-07-24
3178619,dichotomous sympodium,二叉合軸,,二歧合轴,104.11.09,2017-07-24
3178620,dichotomous venation,二叉脈序,,二叉脉序,104.11.09,2017-07-24
3178621,dichotomy,二叉分枝；二歧分枝,,二叉分枝；二歧分枝,104.11.09,2017-07-24
3178622,dicotyledon,雙子葉植物,,双子叶植物,104.11.09,2017-07-24
3178623,dicotyledonous wood,闊葉樹材；雙子葉樹材,,阔叶材；硬材,104.11.09,2017-07-24
3178624,dictyosome,高爾基體,,[分散]高尔基体,104.11.09,2017-07-24
3178625,dictyosporangium,磚格孢子,,砖格孢子,104.11.09,2017-07-24
3178626,dictyospore,磚格孢子,,砖格孢子,104.11.09,2017-07-24
3178627,dictyostele,網狀中柱,,网状中柱,104.11.09,2017-07-24
3178628,dicyclic dictyostele,二環網狀中柱,,二环网状中柱,104.11.09,2017-07-24
3178629,dicyclic stele,二環中柱,,二环中柱,104.11.09,2017-07-24
3178630,didymospore,單隔孢子；雙胞孢子,,单隔孢子；双胞孢子,104.11.09,2017-07-24
3178631,didynamia stamen,二強雄蕊,,二强雄蕊,104.11.09,2017-07-24
3178632,didynamous stamen,二強雄蕊,,二强雄蕊,104.11.09,2017-07-24
3178633,differential permeability,選擇透性,,选择透性,104.11.09,2017-07-24
3178634,differential species,識別種；區別種,,区别种；识别种,104.11.09,2017-07-24
3178635,differentially permeable membrane,差別透性膜,,选择透性膜,104.11.09,2017-07-24
3178636,differentiation,分化,,分化,104.11.09,2017-07-24
3178637,differentiation phase,分化期,,分化期,104.11.09,2017-07-24
3178638,diffractive ring,裂環,,裂环,104.11.09,2017-07-24
3178639,diffuse parenchyma,散生薄壁組織,,星散薄壁组织；散生薄壁组织,104.11.09,2017-07-24
3178640,diffuse-porous wood,散孔材,,散孔材,104.11.09,2017-07-24
3178641,diffusion,擴散[作用],,扩散[作用],104.11.09,2017-07-24
3178642,digestion,消化[作用],,消化[作用],104.11.09,2017-07-24
3178643,dikaryon,雙核,,双核体,104.11.09,2017-07-24
3178644,dimitic,雙系菌絲的,,二系菌丝的,104.11.09,2017-07-24
3178645,dimorphism,二型性,,二态性,104.11.09,2017-07-24
3178646,dioecious,雌雄異株的,,雌雄异株的,104.11.09,2017-07-24
3178647,dioecism,雌雄異株,,雌雄异株,104.11.09,2017-07-24
3178648,dioecy,雌雄異株,,雌雄异株,104.11.09,2017-07-24
3178649,dipeptide,雙肽,,二肽,104.11.09,2017-07-24
3178650,dipericlinal chimaera,二層周緣嵌合體,,二层周缘嵌合体,104.11.09,2017-07-24
3178651,dipericlinal chimera,二層周緣嵌合體,,二层周缘嵌合体,104.11.09,2017-07-24
3178652,diplecolobal embryo,子葉回折胚,,子叶回折胚,104.11.09,2017-07-24
3178653,diploid,二倍體,,二倍体,104.11.09,2017-07-24
3178654,diplostemonous stamen,外輪對萼雄蕊,,外轮对萼雄蕊,104.11.09,2017-07-24
3178655,disaccharide,雙醣,,二醣,104.11.09,2017-07-24
3178656,disc,[花]盤,,花盘,104.11.09,2017-07-24
3178657,disc flower,[菊科的]管狀花；心花,,心花；管状花,104.11.09,2017-07-24
3178658,disclimax,偏途頂級,,偏途顶极,104.11.09,2017-07-24
3178659,discocarp,盤狀子囊果,,盘[状子]囊果,104.11.09,2017-07-24
3178660,discontinuous areal,間斷分佈區,,间断分布区,104.11.09,2017-07-24
3178661,discontinuous zone,間斷分布帶,,间断分布带,104.11.09,2017-07-24
3178662,discothecium,囊盤狀子囊座,,囊盘状子囊座,104.11.09,2017-07-24
3178663,disepalous,具二萼片的,,具二萼片的,104.11.09,2017-07-24
3178664,disjunction,間斷分布,,间断分布,104.11.09,2017-07-24
3178665,disjunctive tracheid,分離的管胞,,分离的管胞,104.11.09,2017-07-24
3178666,disjunctor,胞間連絲,,孢间连丝,104.11.09,2017-07-24
3178667,disk flower,[菊科的]管狀花；心花,,心花；管状花,104.11.09,2017-07-24
3178668,dispermy,異源雙重授精,,双精入卵；二精入卵,104.11.09,2017-07-24
3178669,dispersion,散布,,散布,104.11.09,2017-07-24
3178670,dissepiment,管壁,,管壁,104.11.09,2017-07-24
3178671,dissimilation,異化作用,,异化[作用],104.11.09,2017-07-24
3178672,distal face,遠軸面；遠極面,,远极面,104.11.09,2017-07-24
3178673,distal pole,遠極,,远极,104.11.09,2017-07-24
3178674,distance dispersal,遠距散布,,间断传播,104.11.09,2017-07-24
3178675,distance dispersion,遠距散布,,间断传播,104.11.09,2017-07-24
3178676,distance method,距離法,,距离法,104.11.09,2017-07-24
3178677,distorted segregation,失衡分離[率],,失衡分离[率],104.11.09,2017-07-24
3178678,distractile stamen,隔離雄蕊,,隔离雄蕊,104.11.09,2017-07-24
3178679,distribution center,分佈中心,,分布中心,104.11.09,2017-07-24
3178680,diurnal cycle,晝夜循環,,昼夜循环,104.11.09,2017-07-24
3178681,divaricate anther,廣歧花葯,,广歧花药,104.11.09,2017-07-24
3178682,divergent anther,介形花葯,,个字药；个着药,104.11.09,2017-07-24
3178683,diversity,多樣性,,多样性,104.11.09,2017-07-24
3178684,diversity center,多樣中心,,多样中心,104.11.09,2017-07-24
3178685,diversity index,多樣性指數,,多样性指数,104.11.09,2017-07-24
3178686,diverticule,小囊突,,小囊突,104.11.09,2017-07-24
3178687,diverticulum,小囊突,,小囊突,104.11.09,2017-07-24
3178688,Division,門,,门,104.11.09,2017-07-24
3178689,DNA,去氧核糖核酸,,脱氧核糖核酸,104.11.09,2017-07-24
3178690,DNA polymerase,DNA聚合酶,,DNA聚合酶,104.11.09,2017-07-24
3178691,DNA sequencing,DNA定序,,DNA测序,104.11.09,2017-07-24
3178692,dolipore septum,桶孔隔膜,,桶孔隔膜,104.11.09,2017-07-24
3178693,domain,域,,域,104.11.09,2017-07-24
3178694,dome cell,圓頂細胞,,圆顶细胞,104.11.09,2017-07-24
3178695,dominance,優勢度,,优势度,104.11.09,2017-07-24
3178696,dominance index,優勢度指數,,优势度指数,104.11.09,2017-07-24
3178697,dominant allele,顯性等位基因,,显性等位基因,104.11.09,2017-07-24
3178698,dominant species,優勢種,,优势种,104.11.09,2017-07-24
3178699,dormancy,休眠,,休眠,104.11.09,2017-07-24
3178700,dormancy stage,休眠期,,休眠期,104.11.09,2017-07-24
3178701,dormant bud,休眠芽,,休眠芽,104.11.09,2017-07-24
3178702,dorsal lamina,背翅,,背翅,104.11.09,2017-07-24
3178703,dorsal lobe,背瓣,,背瓣,104.11.09,2017-07-24
3178704,dorsal suture,背縫線,,背缝线,104.11.09,2017-07-24
3178705,dorsifixed anther,背著[花]葯,,背着药,104.11.09,2017-07-24
3178706,dorsiventral leaf,背腹葉,,背腹叶,104.11.09,2017-07-24
3178707,dothithecium,座囊腔,,座囊腔,104.11.09,2017-07-24
3178708,double crossing over,[染色體]雙點互換,,双交换,104.11.09,2017-07-24
3178709,double fertilization,雙重受精,,双受精,104.11.09,2017-07-24
3178710,double flower,重瓣花,,重瓣花,104.11.09,2017-07-24
3178711,double pollination,重複授粉,,重复授粉,104.11.09,2017-07-24
3178712,drepanium,鐮狀聚繖花序,,镰状聚伞花序,104.11.09,2017-07-24
3178713,drill seeding,條播,,条播,104.11.09,2017-07-24
3178714,drupe,核果,,核果,104.11.09,2017-07-24
3178715,drupelet,小核果,,小核果,104.11.09,2017-07-24
3178716,druse,晶簇,,晶簇,104.11.09,2017-07-24
3178717,dry fruit,乾果,,干果,104.11.09,2017-07-24
3178718,dry stigma,乾性柱頭,,干性柱头,104.11.09,2017-07-24
3178719,dune succession,沙丘演替,,沙丘演替,104.11.09,2017-07-24
3178720,durisilvae,常綠硬葉林,,硬叶林,104.11.09,2017-07-24
3178721,dwarf plant,矮生植物,,矮生植物,104.11.09,2017-07-24
3178722,dwarf shoot,短枝,,短枝,104.11.09,2017-07-24
3178723,dyad,二分體,,二分体；二合花粉,104.11.09,2017-07-24
3178724,early variety,早熟品種,,早熟品种,104.11.09,2017-07-24
3178725,early wood,早材,,早材,104.11.09,2017-07-24
3178726,ecobiomorphism,生態生物型,,生长型；生态生物型,104.11.09,2017-07-24
3178727,ecocline,生態梯度變異,,生态梯度变异,104.11.09,2017-07-24
