ID,英文名稱,中文名稱,圖片,場所標示類別,備註,更新日期
1502869,Natural Gas Distribution Center,供氣服務中心,,服務諮詢申訴,,2012-11-26
1502870,Counseling Room,協談室 (法務部各監、院、所、校),,服務諮詢申訴,,2012-11-26
1502871,Appeals Reception,受理陳情,,服務諮詢申訴,,2012-11-26
1502872,Home Care Support Center,居家服務支援中心,,服務諮詢申訴,,2012-11-26
1502873,Services:,承辦業務,,服務諮詢申訴,,2012-11-26
1502874,Service Staff Processing,服務人員處理,,服務諮詢申訴,,2012-11-26
1502875,Service Center,服務中心(台),,服務諮詢申訴,,2012-11-26
1502876,Service Area,服務區,,服務諮詢申訴,,2012-11-26
1502877,Information,服務答詢台,,服務諮詢申訴,,2012-11-26
1502878,Services:,服務項目：,,服務諮詢申訴,,2012-11-26
1502879,Services Flow Chart,服務項目流程,,服務諮詢申訴,,2012-11-26
1502880,East (West) Information (Counter),東(西)服務台,,服務諮詢申訴,,2012-11-26
1502881,Legal Service,法令諮詢服務,,服務諮詢申訴,,2012-11-26
1502882,Legal Counseling,法律詢問,,服務諮詢申訴,,2012-11-26
1502883,Legal Counseling Room,法律諮詢室,,服務諮詢申訴,,2012-11-26
1502884,Social Work Services,社工服務室,,服務諮詢申訴,,2012-11-26
1502885,Social Welfare Center,社福中心,,服務諮詢申訴,,2012-11-26
1502886,Senior Veterans’ Counseling Room,長青服務室,,服務諮詢申訴,,2012-11-26
1502887,One-stop Window / Customer Service,便民服務窗口,,服務諮詢申訴,,2012-11-26
1502888,Southern Region Service Center,南區服務中心,,服務諮詢申訴,,2012-11-26
1502889,Legal Counseling,律師諮詢處,,服務諮詢申訴,,2012-11-26
1502890,Service Suspension and Restoration Information,查詢停/復話,,服務諮詢申訴,,2012-11-26
1502891,Citizen Services,為民服務,,服務諮詢申訴,,2012-11-26
1502892,Citizen Services Handbook,為民服務手冊,,服務諮詢申訴,,2012-11-26
1502893,Director (Director-general) Mailbox,首長信箱,,服務諮詢申訴,,2012-11-26
1502894,Family Counseling Room,家族諮商室,,服務諮詢申訴,,2012-11-26
1502895,Passenger Services,旅客服務所,,服務諮詢申訴,,2012-11-26
1502896,Visitor Center,旅遊(客)服務中心,,服務諮詢申訴,,2012-11-26
1502897,Traveling Information,旅遊資訊,,服務諮詢申訴,,2012-11-26
1502898,Customs Service Center,海關旅客服務台,,服務諮詢申訴,,2012-11-26
1502899,Express Services Center,馬上辦服務中心,,服務諮詢申訴,,2012-11-26
1502900,International Services,國際電信業務服務,,服務諮詢申訴,,2012-11-26
1502901,Patent and Trademark Information Service,專利商標諮詢,,服務諮詢申訴,,2012-11-26
1502902,Drive-through Service,得來速便捷服務,,服務諮詢申訴,,2012-11-26
1502903,Complaints Submission Room,陳述室,,服務諮詢申訴,,2012-11-26
1502904,One-stop Window / Customer Service (Desk),單一窗口,,服務諮詢申訴,,2012-11-26
1502905,Facility Rental Services,場地借用服務,,服務諮詢申訴,,2012-11-26
1502906,Employment Counseling,就業諮詢,,服務諮詢申訴,,2012-11-26
1502907,Toll-free Services,智慧型網路免費服務電話,,服務諮詢申訴,,2012-11-26
1502908,Funeral Services Office,善後服務室,,服務諮詢申訴,,2012-11-26
1502909,UMS (Unified Message Services),超級語音信箱,,服務諮詢申訴,,2012-11-26
1502910,Suggestions,意見箱,,服務諮詢申訴,,2012-11-26
1502911,Special Service Bell,愛心服務鈴/愛心鈴,,服務諮詢申訴,,2012-11-26
1502912,Accounting Services,會計師服務台(諮詢服務),,服務諮詢申訴,,2012-11-26
1502913,Information,解說資訊服務台,,服務諮詢申訴,,2012-11-26
1502914,Resource Station,資源服務站,,服務諮詢申訴,,2012-11-26
1502915,Call Center,電話服務中心,,服務諮詢申訴,,2012-11-26
1502916,Telephone Consultation Room,電話諮商室,,服務諮詢申訴,,2012-11-26
1502917,Application,預查名稱,,服務諮詢申訴,,2012-11-26
1502918,Group Counseling Room,團體輔導室,,服務諮詢申訴,,2012-11-26
1502919,Joint Service Center for Entry / Exit of Fishing Vessels,漁船進出港聯合服務中心,,服務諮詢申訴,,2012-11-26
1502920,Internet Service,網路查詢區,,服務諮詢申訴,,2012-11-26
1502921,Counseling Center,輔導中心,,服務諮詢申訴,,2012-11-26
1502922,Deep Sea Fisheries Service Center,遠洋漁業服務中心,,服務諮詢申訴,,2012-11-26
1502923,Meteorological Instrument Calibration Services,儀器校驗收件處,,服務諮詢申訴,,2012-11-26
1502924,Broadcasting Service,廣播服務,,服務諮詢申訴,,2012-11-26
1502925,Data Communication Services,數據通信業務服務,,服務諮詢申訴,,2012-11-26
1502926,Copy Service,複印文件服務,,服務諮詢申訴,,2012-11-26
1502927,Mediation Room,調解室,,服務諮詢申訴,,2012-11-26
1502928,Trainee's Service Center,學員服務中心,,服務諮詢申訴,,2012-11-26
1502929,Information,諮詢服務,,服務諮詢申訴,,2012-11-26
1502930,Catering Service Department,餐旅總所,,服務諮詢申訴,,2012-11-26
1502931,Complaints Line,檢舉電話,,服務諮詢申訴,,2012-11-26
1502932,Service Hours,營業時間,,服務諮詢申訴,,2012-11-26
1502933,Services:,營業項目：,,服務諮詢申訴,,2012-11-26
1502934,Joint Services Center,聯合服務中心,,服務諮詢申訴,,2012-11-26
1502935,Instructor Service,講座服務中心,,服務諮詢申訴,,2012-11-26
1502936,Information,櫃台,,服務諮詢申訴,,2012-11-26
1502937,Service Hours,櫃台收件時間,,服務諮詢申訴,,2012-11-26
1502938,Customer Service Center,顧客服務中心,,服務諮詢申訴,,2012-11-26
1502939,Suggestions,顧客意見箱,,服務諮詢申訴,,2012-11-26
1502940,Temporarily Closed,暫停服務,,服務諮詢申訴,,2012-11-26
1502941,Courtesy Service,愛心服務窗口,,服務諮詢申訴,,2012-11-26
1502942,Required Documentation,應附證件,,申請登記報名,,2012-11-26
1502943,Application Form,申請案件表,,申請登記報名,,2012-11-26
1502944,Registration Card,登記卡,,申請登記報名,,2012-11-26
1502945,Application by Post or Email,書面申請,,申請登記報名,,2012-11-26
1502946,Please go to One-stop Customer Service Window/Desk.,所有申請案件均由單一窗口受理,,申請登記報名,,2012-11-26
1502947,VIP Pass,貴賓證,,申請登記報名,,2012-11-26
1502948,Processing Fee,規費,,申請登記報名,,2012-11-26
1502949,Staff ID,教職員工證,,申請登記報名,,2012-11-26
1502950,Veteran Certificate,榮民證,,申請登記報名,,2012-11-26
1502951,Certificate of Entry and Exit Dates,出入境證明文件,,申請登記報名,,2012-11-26
1502952,Proof of Taiwan Residency,在台設定居所證明文件,,申請登記報名,,2012-11-26
1502953,Veteran's ID,榮民證,,申請登記報名,,2012-11-26
1502954,Visitor's Pass,臨時識別證,,申請登記報名,,2012-11-26
1502955,Mountain Permit,入山申請處,,申請登記報名,,2012-11-26
1502956,Agent,代收處,,申請登記報名,,2012-11-26
1502957,"Installation, Re-installation, Lease Termination, Change of Telephone, Installation of Extensions",市話申裝、復裝、退租、換機、裝副機,,申請登記報名,,2012-11-26
1502958,Application Preparation Area,申請人作業區,,申請登記報名,,2012-11-26
1502959,Payment Confirmation,申請繳費證明,,申請登記報名,,2012-11-26
1502960,Application Filing,收文掛號,,申請登記報名,,2012-11-26
1502961,Cashier,收款處,,申請登記報名,,2012-11-26
1502962,Payment without Bills,免持單繳費櫃台,,申請登記報名,,2012-11-26
1502963,Cultivated Seed Room,育苗室,,申請登記報名,,2012-11-26
1502964,Please Take a Number,抽取號碼牌,,申請登記報名,,2012-11-26
1502965,Please Contact:,洽辦：,,申請登記報名,,2012-11-26
1502966,Duplicated Payment and Overpayment Refunds,重、溢繳退費,,申請登記報名,,2012-11-26
1502967,Travel Agency Applications,旅行業送件處,,申請登記報名,,2012-11-26
1502968,Deposit Refunds,退保證金,,申請登記報名,,2012-11-26
1502969,National Treasury Collections,國庫代收處,,申請登記報名,,2012-11-26
1502970,New Patent Application,專利新案收件,,申請登記報名,,2012-11-26
1502971,Registration,報名處,,申請登記報名,,2012-11-26
1502972,Pick-up,發件/發照/領件,,申請登記報名,,2012-11-26
1502973,Application Review,著作權文件核驗,,申請登記報名,,2012-11-26
1502974,Invoice Issuing,開立規費單,,申請登記報名,,2012-11-26
1502975,Bill Reprinting,補發帳單,,申請登記報名,,2012-11-26
1502976,Discovery Room,遊學廳,,申請登記報名,,2012-11-26
1502977,Registration,預備臺,,申請登記報名,,2012-11-26
1502978,Group Applications,團體送件,,申請登記報名,,2012-11-26
1502979,Fine Collection,罰鍰繳納處,,申請登記報名,,2012-11-26
1502980,Trainee Registration,學員報到處,,申請登記報名,,2012-11-26
1502981,Number Selection Area,選號區,,申請登記報名,,2012-11-26
1502982,Fees,費用,,申請登記報名,,2012-11-26
1502983,Application Procedure Flow Chart,申請案件流程表,,申請登記報名,,2012-11-26
1502984,Visitor's Pass,洽公證,,申請登記報名,,2012-11-26
1502985,Express Vehicle Registration Renewal,快速換照窗口,,申請登記報名,,2012-11-26
1502986,Evaluation Form,審查表,,申請登記報名,,2012-11-26
1502987,Staff ID,識別證,,申請登記報名,,2012-11-26
1502988,Seal Registration,印鑑登記,,申請登記報名,,2012-11-26
1502989,Fire Disaster Certificate,火災證明,,申請登記報名,,2012-11-26
1502990,Proof of Building Title,房屋證明,,申請登記報名,,2012-11-26
1502991,Fee Reimbursement,費用核退申請,,申請登記報名,,2012-11-26
1502992,Disability Card,身心障礙手冊/殘障手冊,,申請登記報名,,2012-11-26
1502993,Service Honor Card,志願服務榮譽卡,,申請登記報名,,2012-11-26
1502994,Application and Pick-up,受領申報及領件,,申請登記報名,,2012-11-26
1502995,Working Permit,工作證,,申請登記報名,,2012-11-26
1502996,Telephone Sets for Lease,出租電話機,,申請登記報名,,2012-11-26
1502997,Applicant,申請人,,申請登記報名,,2012-11-26
1502998,Application Forms,申請書(表格),,申請登記報名,,2012-11-26
1502999,Payment Forms Printing,列印繳款單,,申請登記報名,,2012-11-26
1503000,Applications,收件處,,申請登記報名,,2012-11-26
1503001,Payments,收費,,申請登記報名,,2012-11-26
1503002,Free Forms,免費書表,,申請登記報名,,2012-11-26
1503003,Extension,延期,,申請登記報名,,2012-11-26
1503004,People Waiting,待辦人數,,申請登記報名,,2012-11-26
1503005,Taxi Business Running Registration Area,計程車執業登記區,,申請登記報名,,2012-11-26
1503006,Individual Applications,個人送件,,申請登記報名,,2012-11-26
1503007,Case Status Inquiries,案件辦理情形查詢,,申請登記報名,,2012-11-26
1503008,Trademark Application,商標收件,,申請登記報名,,2012-11-26
1503009,Patent Application,專利收件,,申請登記報名,,2012-11-26
1503010,Visitor Registration,訪客登記,,申請登記報名,,2012-11-26
1503011,Checking Counter / Registration,報到處,,申請登記報名,,2012-11-26
1503012,Certificates,發證(一般證件),,申請登記報名,,2012-11-26
1503013,Copyright Application Information,著作權收件諮詢,,申請登記報名,,2012-11-26
1503014,Please Take a Number,號碼機,,申請登記報名,,2012-11-26
1503015,Cases Involving Other Jurisdictions,跨所、縣市謄本收件核發,,申請登記報名,,2012-11-26
1503016,Phone Bill Information,電信費查詢,,申請登記報名,,2012-11-26
1503017,Pre-order Receipts,預購收據,,申請登記報名,,2012-11-26
1503018,Applications,綜合受理,,申請登記報名,,2012-11-26
1503019,Sample(s),範例,,申請登記報名,,2012-11-26
1503020,Official Inquiries,機關查詢,,申請登記報名,,2012-11-26
1503021,ID Applications,證件製發,,申請登記報名,,2012-11-26
1503022,1” x 2” photograph,１吋照片,,申請登記報名,,2012-11-26
1503023,Passport-sized Photograph / 2-inch Photograph,二吋照片,,申請登記報名,,2012-11-26
1503024,Take good care of the books and return them on time,愛惜圖書並準時歸還,,圖書資料閱覽,,2012-11-26
1503025,Loan Registration,借閱登記,,圖書資料閱覽,,2012-11-26
1503026,Books Not in Circulation,不准外借的書,,圖書資料閱覽,,2012-11-26
1503027,New Arrivals,新書介紹,,圖書資料閱覽,,2012-11-26
1503028,Audio Books / Talking Books ,有聲書,,圖書資料閱覽,,2012-11-26
1503029,Periodicals,期刊,,圖書資料閱覽,,2012-11-26
1503030,Geography and History,史地,,圖書資料閱覽,,2012-11-26
1503031,World History,世界歷史,,圖書資料閱覽,,2012-11-26
1503032,Applied Sciences and Technology,運用科學,,圖書資料閱覽,,2012-11-26
1503033,Religion,宗教類,,圖書資料閱覽,,2012-11-26
1503034,Natural Sciences,自然科學類,,圖書資料閱覽,,2012-11-26
1503035,New Arrivals,新書展示區,,圖書資料閱覽,,2012-11-26
1503036,Group A/V,團體視聽區,,圖書資料閱覽,,2012-11-26
1503037,Bound Periodicals,合訂期刊區,,圖書資料閱覽,,2012-11-26
1503038,Administration Zone Map,行政區域圖,,圖書資料閱覽,,2012-11-26
1503039,Tribal Outreach Computer Center,部落圖書資訊站,,圖書資料閱覽,,2012-11-26
1503040,Data Updates,資料更新室,,圖書資料閱覽,,2012-11-26
1503041,Study Center,K書中心,,圖書資料閱覽,,2012-11-26
1503042,Special Collection of 921 Earthquake Materials,九二一地震資料專櫃,,圖書資料閱覽,,2012-11-26
1503043,PRC Publications,大陸圖書區,,圖書資料閱覽,,2012-11-26
1503044,Women's Study Room,女自習室,,圖書資料閱覽,,2012-11-26
1503045,East Asian Publications,中日韓文圖書區,,圖書資料閱覽,,2012-11-26
1503046,Civil Servant Assets Declaration Reading Room,公職人員財產申報資料查閱室,,圖書資料閱覽,,2012-11-26
1503047,1. Circulation Desk            2. Check Out,出納台(圖書館),,圖書資料閱覽,,2012-11-26
1503048,Please do not remove books from this area.,本區圖書不外借,,圖書資料閱覽,,2012-11-26
1503049,Ecology Library,生態圖書閱覽室,,圖書資料閱覽,,2012-11-26
1503050,Optical Disc Library,光碟資料室,,圖書資料閱覽,,2012-11-26
1503051,Map Room,地圖室,,圖書資料閱覽,,2012-11-26
1503052,Multimedia Room,多媒體視聽室,,圖書資料閱覽,,2012-11-26
1503053,Study Room,自修室,,圖書資料閱覽,,2012-11-26
1503054,Technical Library,技術圖書室,,圖書資料閱覽,,2012-11-26
1503055,Children's Library,兒童圖書室,,圖書資料閱覽,,2012-11-26
1503056,Sister Cities Materials,姐妹市資料室,,圖書資料閱覽,,2012-11-26
1503057,House Tax Statement Information,房屋稅課稅資料或稅籍查詢,,圖書資料閱覽,,2012-11-26
1503058,Law Reference Room,法律資訊室,,圖書資料閱覽,,2012-11-26
1503059,Braille Collection,盲人資料室,,圖書資料閱覽,,2012-11-26
1503060,Youth Library,青少年圖書館,,圖書資料閱覽,,2012-11-26
1503061,Hakka Library / Collection,客家文獻室,,圖書資料閱覽,,2012-11-26
1503062,Music Library ,音樂圖書室,,圖書資料閱覽,,2012-11-26
1503063,Open Stacks,書庫﹝開架式﹞,,圖書資料閱覽,,2012-11-26
1503064,Meteorological Data Room,氣象資料管理室,,圖書資料閱覽,,2012-11-26
1503065,Study Abroad Information,留學資料參考室,,圖書資料閱覽,,2012-11-26
1503066,Property Records Room,財產資料室,,圖書資料閱覽,,2012-11-26
1503067,Reference Collection,參考資料區,,圖書資料閱覽,,2012-11-26
1503068,Reference Counter,參考櫃台,,圖書資料閱覽,,2012-11-26
1503069,National Archives Reading and Information Center,國家檔案及圖書閱覽中心,,圖書資料閱覽,,2012-11-26
1503070,Patent Gazette,專利公報,,圖書資料閱覽,,2012-11-26
1503071,Newspaper Room,報紙室,,圖書資料閱覽,,2012-11-26
1503072,Bound Periodicals,期刊合訂本區,,圖書資料閱覽,,2012-11-26
1503073,Bound Periodicals,期刊區（裝訂）,,圖書資料閱覽,,2012-11-26
1503074,Bids Reading Room,發包閱覽室,,圖書資料閱覽,,2012-11-26
1503075,Audiovisual Room,視聽資料室,,圖書資料閱覽,,2012-11-26
1503076,Import Information Center,進口救濟圖書資料中心,,圖書資料閱覽,,2012-11-26
1503077,Photo Exhibition Room,照片資料室,,圖書資料閱覽,,2012-11-26
1503078,Information Center,資料中心,,圖書資料閱覽,,2012-11-26
1503079,Data Storage,資料倉庫,,圖書資料閱覽,,2012-11-26
1503080,Document Reading Room,資訊公開室,,圖書資料閱覽,,2012-11-26
1503081,Agricultural Archives,農業資料(檔案)室,,圖書資料閱覽,,2012-11-26
1503082,Library,圖書室(館),,圖書資料閱覽,,2012-11-26
1503083,Opening Hours,圖書館開放時間,,圖書資料閱覽,,2012-11-26
1503084,Comics Reading Area,漫畫圖書區,,圖書資料閱覽,,2012-11-26
1503085,Opera Information Room,劇藝資料室,,圖書資料閱覽,,2012-11-26
1503086,Standards Data Room,標準資料室,,圖書資料閱覽,,2012-11-26
1503087,Online Public Access Catalog,線上公用目錄查詢區,,圖書資料閱覽,,2012-11-26
1503088,Tax Records Room,課稅資料室,,圖書資料閱覽,,2012-11-26
1503089,Circulation and Collections Section,閱典課,,圖書資料閱覽,,2012-11-26
1503090,Newspaper Room,閱報室/閱報區,,圖書資料閱覽,,2012-11-26
1503091,Driver Records Room,駕駛人(駕籍)資料室,,圖書資料閱覽,,2012-11-26
1503092,Family Reading Area,親子圖書共讀區,,圖書資料閱覽,,2012-11-26
1503093,Library Card Application / Library Cards,辦證處(圖書館),,圖書資料閱覽,,2012-11-26
1503094,Reading Room,檔案借閱室,,圖書資料閱覽,,2012-11-26
1503095,Archives Classification Room,檔案整理室,,圖書資料閱覽,,2012-11-26
1503096,General Books Room,總類圖書室,,圖書資料閱覽,,2012-11-26
1503097,Rare Books Reading Room,善本閱覽室,,圖書資料閱覽,,2012-11-26
1503098,Pets Registration Database,寵物登記資料庫,,圖書資料閱覽,,2012-11-26
1503099,Library Rules,圖書室使用規定,,圖書資料閱覽,,2012-11-26
1503100,Books in Circulation,可外借的書,,圖書資料閱覽,,2012-11-26
1503101,Books for Teachers,教師參考用書,,圖書資料閱覽,,2012-11-26
1503102,Recommended Books,好書介紹,,圖書資料閱覽,,2012-11-26
1503103,e-Books,電子書,,圖書資料閱覽,,2012-11-26
1503104,Catalog,目錄,,圖書資料閱覽,,2012-11-26
1503105,Language and Stories,語文 / 故事,,圖書資料閱覽,,2012-11-26
1503106,Social Sciences,社會科學,,圖書資料閱覽,,2012-11-26
1503107,Philosophy,哲學類,,圖書資料閱覽,,2012-11-26
1503108,General Works and References,總類,,圖書資料閱覽,,2012-11-26
1503109,The Arts,藝能總類,,圖書資料閱覽,,2012-11-26
1503110,Information Search,資訊檢索區,,圖書資料閱覽,,2012-11-26
1503111,Periodicals,期刊區,,圖書資料閱覽,,2012-11-26
1503112,Reading Room,圖書閱覽室,,圖書資料閱覽,,2012-11-26
1503113,Rules for File Access,檔案閱覽須知,,圖書資料閱覽,,2012-11-26
1503114,Scenic Map,實地景點路線圖,,圖書資料閱覽,,2012-11-26
1503115,Reading Room,讀者席,,圖書資料閱覽,,2012-11-26
1503116,General Collection,一般書庫區,,圖書資料閱覽,,2012-11-26
1503117,1. PRC Publications     2. Mainland China Collection ,大陸資料室,,圖書資料閱覽,,2012-11-26
1503118,University Books,大學部書庫,,圖書資料閱覽,,2012-11-26
1503119,Herstory Library,女性史料圖書室,,圖書資料閱覽,,2012-11-26
1503120,Engineering Project Reading Room,公共工程閱覽室,,圖書資料閱覽,,2012-11-26
1503121,Japan Patent Gazette,日本專利公報,,圖書資料閱覽,,2012-11-26
1503122,Taiwan Materials Room,台灣資料室,,圖書資料閱覽,,2012-11-26
1503123,Public Books,民眾部書庫,,圖書資料閱覽,,2012-11-26
1503124,Catalog(s),目錄檢索區,,圖書資料閱覽,,2012-11-26
1503125,Free Tax Materials,各稅宣傳資料簡介,,圖書資料閱覽,,2012-11-26
1503126,Land Value Tax Inquiries,地價稅開徵期課稅資料查詢,,圖書資料閱覽,,2012-11-26
1503127,Audio Books Listening Room,有聲圖書室,,圖書資料閱覽,,2012-11-26
1503128,Western Publications,西文圖書區,,圖書資料閱覽,,2012-11-26
1503129,Men's Study Room,男自習室,,圖書資料閱覽,,2012-11-26
1503130,Children's Reading Room,兒童閱覽區,,圖書資料閱覽,,2012-11-26
1503131,Core Laboratory,岩心資料館,,圖書資料閱覽,,2012-11-26
1503132,Public Tender Viewing,招標文件公開閱覽室,,圖書資料閱覽,,2012-11-26
1503133,Law Library,法律圖書室,,圖書資料閱覽,,2012-11-26
1503134,Performing Arts Library,表演藝術圖書室,,圖書資料閱覽,,2012-11-26
1503135,Non-printed Materials,非書資料室,,圖書資料閱覽,,2012-11-26
1503136,Government Publications,政府出版品室,,圖書資料閱覽,,2012-11-26
1503137,Circulation Desk / Check Out,借書處,,圖書資料閱覽,,2012-11-26
1503138,Closed Stacks,核心書庫,,圖書資料閱覽,,2012-11-26
1503139,Multimedia Materials Storage,媒體資料室,,圖書資料閱覽,,2012-11-26
1503140,Assets Declaration Investigation Room,財產申報查閱室,,圖書資料閱覽,,2012-11-26
1503141,Kaohsiung Documents,高雄文獻資料室,,圖書資料閱覽,,2012-11-26
1503142,Reference Room (Area),參考圖書室(區),,圖書資料閱覽,,2012-11-26
1503143,Trademark Gazette,商標公報,,圖書資料閱覽,,2012-11-26
1503144,International Database Search,國際資料庫檢索服務,,圖書資料閱覽,,2012-11-26
1503145,Periodicals Area,報刊區,,圖書資料閱覽,,2012-11-26
1503146,Newspapers and Periodicals Room,報紙雜誌室,,圖書資料閱覽,,2012-11-26
1503147,Current Periodicals,期刊區（現期）,,圖書資料閱覽,,2012-11-26
1503148,Periodicals Reading Room,期刊閱覽室,,圖書資料閱覽,,2012-11-26
1503149,Copyright / Plate Right Information Center,著作權、製版權資料閱覽室,,圖書資料閱覽,,2012-11-26
1503150,Audiovisual Collection,視聽資料區,,圖書資料閱覽,,2012-11-26
1503151,Debtors’ Tax Information,債權人查調債務人課稅資料服務處,,圖書資料閱覽,,2012-11-26
1503152,Directory Assistance Area,號碼簿查閱區,,圖書資料閱覽,,2012-11-26
1503153,Data Office,資料室,,圖書資料閱覽,,2012-11-26
1503154,Data Storage (Storeroom),資料儲藏室,,圖書資料閱覽,,2012-11-26
1503155,Computer Security Room,資通安全資料室,,圖書資料閱覽,,2012-11-26
1503156,Bound Newspaper Collection,過期報紙室,,圖書資料閱覽,,2012-11-26
1503157,Stacks,圖書庫房,,圖書資料閱覽,,2012-11-26
1503158,Library,圖說室,,圖書資料閱覽,,2012-11-26
1503159,Typhoon Research Laboratory,颱風研究資料室,,圖書資料閱覽,,2012-11-26
1503160,Image Data Room,影像資料室,,圖書資料閱覽,,2012-11-26
1503161,Cataloging Room,編目室,,圖書資料閱覽,,2012-11-26
1503162,Thread-bound Collections Room,線裝書室,,圖書資料閱覽,,2012-11-26
1503163,File Room,調卷室,,圖書資料閱覽,,2012-11-26
1503164,Reading Room,閱卷室,,圖書資料閱覽,,2012-11-26
1503165,Reading Room,閱覽室,,圖書資料閱覽,,2012-11-26
1503166,Government Documents Center,縣政資料中心,,圖書資料閱覽,,2012-11-26
1503167,Family Reading Area,親子閱覽室,,圖書資料閱覽,,2012-11-26
1503168,Manuscripts Collection,戲劇文物典藏室,,圖書資料閱覽,,2012-11-26
1503169,Archives Conservation Room,檔案修護室,,圖書資料閱覽,,2012-11-26
1503170,Index Search,檢索區,,圖書資料閱覽,,2012-11-26
1503171,Book Return,還書處,,圖書資料閱覽,,2012-11-26
1503172,Blueprintings Room,藍圖室(曬圖),,圖書資料閱覽,,2012-11-26
1503173,Newspaper Rack,報架,,圖書資料閱覽,,2012-11-26
1503174,Schedule,演出時間,,展覽陳列區,,2012-11-26
1503175,Exhibition Room,展覽室,,展覽陳列區,,2012-11-26
1503176,Application Examples,申辦案件範例陳列處,,展覽陳列區,,2012-11-26
1503177,_____ Memorial Hall,____紀念館,,展覽陳列區,,2012-11-26
1503178,History of Household Registration in China,中國戶政史,,展覽陳列區,,2012-11-26
1503179,Culture Gallery,文化走廊,,展覽陳列區,,2012-11-26
1503180,Cultural Exhibition Room,文物展示室,,展覽陳列區,,2012-11-26
1503181,Cultural Artifacts Exhibition Hall,文物陳列館,,展覽陳列區,,2012-11-26
1503182,Aquatic Ecosystem Exhibition Room,水族生態展示室,,展覽陳列區,,2012-11-26
1503183,Aquatic Education Room,水族教育展示館,,展覽陳列區,,2012-11-26
1503184,Feature Exhibition Hall,主題展示館,,展覽陳列區,,2012-11-26
1503185,Folk Art Boulevard,民藝街坊,,展覽陳列區,,2012-11-26
1503186,Petroleum Museum,石油展示館,,展覽陳列區,,2012-11-26
1503187,Seismic Education Gallery,地震宣導走廊,,展覽陳列區,,2012-11-26
1503188,Multimedia Area,多媒體區,,展覽陳列區,,2012-11-26
1503189,Station Gallery,車站觀光藝廊,,展覽陳列區,,2012-11-26
1503190,Long-term Care Exhibition Center,長期照護器材展示中心,,展覽陳列區,,2012-11-26
1503191,Informational Materials Exhibition Room,宣導品展示室,,展覽陳列區,,2012-11-26
1503192,Technology Exhibition Room,科技展示室,,展覽陳列區,,2012-11-26
1503193,Memorial Hall,紀念館,,展覽陳列區,,2012-11-26
1503194,Gallery / Exhibition Room / Exhibition Hall (大型),展示室(廳),,展覽陳列區,,2012-11-26
1503195,"Open Hours Daily: 9:00 A.M. to 5:00 P.M., Including National Holidays. The Last Day of Exhibition: 9:00A.M. to 12:30P.M. .",展覽開放時間：每日上午9:00至下午5:00。展期最後一日開放至中午12:30止。例假日照常開放，非展覽期間不對外開放。,,展覽陳列區,,2012-11-26
1503196,Exhibition Building,展示館,,展覽陳列區,,2012-11-26
1503197,Exhibition Room,展覽室,,展覽陳列區,,2012-11-26
1503198,School History Room,校史室(館),,展覽陳列區,,2012-11-26
1503199,Special Exhibition Room,特展室,,展覽陳列區,,2012-11-26
1503200,Glass Gallery,琉璃畫廊,,展覽陳列區,,2012-11-26
1503201,Crafts Exhibition Hall,陳列館,,展覽陳列區,,2012-11-26
1503202,Barriers Free Route,無障礙參觀動線,,展覽陳列區,,2012-11-26
1503203,Inspection Corridor,視察走廊,,展覽陳列區,,2012-11-26
1503204,Snack Bar,傳統小吃坊,,展覽陳列區,,2012-11-26
1503205,Crafts Education Center,傳統工藝傳習所,,展覽陳列區,,2012-11-26
1503206,New Titles,新書陳列櫥,,展覽陳列區,,2012-11-26
1503207,Exhibition Room,資料展示室,,展覽陳列區,,2012-11-26
1503208,General Exhibition Room,綜合展示室,,展覽陳列區,,2012-11-26
1503209,Herbarium,標本館,,展覽陳列區,,2012-11-26
1503210,History Exhibit Room,歷史文物室,,展覽陳列區,,2012-11-26
1503211,Sculpture Park,雕塑公園,,展覽陳列區,,2012-11-26
1503212,Art and Culture Center,藝文中心,,展覽陳列區,,2012-11-26
1503213,Art and Culture Hall,藝文館,,展覽陳列區,,2012-11-26
1503214,Art Gallery,文化藝廊,,展覽陳列區,,2012-11-26
1503215,Assistive Devices Exhibition,輔具展示區,,展覽陳列區,,2012-11-26
1503216,Gallery,藝廊,,展覽陳列區,,2012-11-26
1503217,Handicrafts Room,工藝館 ,,展覽陳列區,,2012-11-26
1503218,Household Registration Exhibition,戶政文物展示,,展覽陳列區,,2012-11-26
1503219,Culture and History Exhibition   ,文史展示區,,展覽陳列區,,2012-11-26
1503220,Cultural Artifacts Exhibition Room,文物陳列室,,展覽陳列區,,2012-11-26
1503221,Wood Sculpture Exhibition Room,木雕展示室,,展覽陳列區,,2012-11-26
1503222,Marine Life Tanks,水族室,,展覽陳列區,,2012-11-26
1503223,Aquarium,水族館,,展覽陳列區,,2012-11-26
1503224,History Museum,史蹟館 / 隊史館,,展覽陳列區,,2012-11-26
1503225,Life Style Exhibition Hall,生活型態展示館 ,,展覽陳列區,,2012-11-26
1503226,Geological Museum,地質標本館,,展覽陳列區,,2012-11-26
1503227,Multimedia Exhibition Room,多媒體展示(覽)區,,展覽陳列區,,2012-11-26
1503228,Concert Hall,曲藝館,,展覽陳列區,,2012-11-26
1503229,Insect Museum,昆蟲館,,展覽陳列區,,2012-11-26
1503230,Service Center,便民服務中心,,展覽陳列區,,2012-11-26
1503231,Collections Room,珍藏室,,展覽陳列區,,2012-11-26
