ID,英文名稱,中文名稱,圖片,學門,更新時間,更新日期
5455771,chemosterilant,化學不育劑,,生態學,,2022-07-15
5455772,chemosynthesis,化合作用,,生態學,,2022-07-15
5455773,chemotaxis,趨化作用；趨化性,,生態學,,2022-07-15
5455774,chemotroph,化學營養[性]生物,,細胞生物,,2022-07-15
5455775,chemotrophic,化學營養的,,生態學,,2022-07-15
5455776,chersophyte,乾荒地植物,,生態學,,2022-07-15
5455777,chianophile,嗜雪植物,,生態學,,2022-07-15
5455778,chianophobe,厭雪植物,,生態學,,2022-07-15
5455779,chiasma {pl. chiasmata},交叉,,生命科學,,2022-07-15
5455780,chiasmata {sing. chiasma},交叉,,細胞生物,,2022-07-15
5455781,chicken pox,水痘,,高中生物,,2022-07-15
5455782,chikungunya fever,屈公病,,,,2022-07-15
5455783,chikungunya virus,屈公病毒,,,,2022-07-15
5455784,Chilopoda,唇足綱,,高中生物,,2022-07-15
5455785,chime,食糜,,動物生理,,2022-07-15
5455786,chimpanzee,黑猩猩,,高中生物,,2022-07-15
5455787,chinook wind,乾燥熱風,,生態學,,2022-07-15
5455788,ChIP {chromatin immunoprecipitation},染色質免疫沉澱[法],,細胞生物,,2022-07-15
5455789,chiral,掌性[的],,,,2022-07-15
5455790,chiral compound,掌性化合物,,<p>細胞生物</p>,,2022-07-15
5455791,chitin,幾丁質,,高中生物,,2022-07-15
5455792,Chlamydia,披衣菌屬,,高中生物,,2022-07-15
5455793,chlamydospore,厚壁孢子；厚膜孢子,,植物學,,2022-07-15
5455794,chloramphenicol,氯黴素,,高中生物,,2022-07-15
5455795,Chlorella,綠球藻屬,,高中生物,,2022-07-15
5455796,chlorenchyma,葉綠組織,,植物學,,2022-07-15
5455797,chloride cell,氯細胞,,生態學,,2022-07-15
5455798,chloride channel,氯離子通道,,細胞生物,,2022-07-15
5455799,chlorinity,氯度,,生態學,,2022-07-15
5455800,chlority,氯量,,生態學,,2022-07-15
5455801,chlorofluorocarbon {= CFC},氟氯碳化物,,高中生物,,2022-07-15
5455802,chlorophyll,葉綠素,,高中生物,,2022-07-15
5455803,chlorophyll-binding protein,葉綠素結合蛋白,,細胞生物,,2022-07-15
5455804,Chlorophyta,綠藻植物門,,高中生物,,2022-07-15
5455805,chloroplast,葉綠體,,高中生物,,2022-07-15
5455806,chloroplast DNA,葉綠體DNA,,,,2022-07-15
5455807,chlorosis,黃化,,生態學,,2022-07-15
5455808,choanocyte,襟細胞,,大一普生,,2022-07-15
5455809,cholecyst; gall bladder,膽囊,,高中生物,,2022-07-15
5455810,cholecystokinin {= CCK},膽囊收縮素,,高中生物,,2022-07-15
5455811,cholera,霍亂,,高中生物,,2022-07-15
5455812,cholesterol,膽固醇,,高中生物,,2022-07-15
5455813,cholinergic synapse,膽鹼素突觸,,細胞生物,,2022-07-15
5455814,chondrichthyan,軟骨魚,,大一普生,,2022-07-15
5455815,chondrocyte,軟骨細胞,,細胞生物,,2022-07-15
5455816,chondrodystrophy; achondroplasia,軟骨發育不全[症],,高中生物,,2022-07-15
5455817,chondroitin sulfate,硫酸軟骨素,,細胞生物,,2022-07-15
5455818,Chordata,脊索動物門,,高中生物,,2022-07-15
5455819,chorion,絨毛膜,,高中生物,,2022-07-15
5455820,chorionic villus sampling,絨毛膜取樣,,,20231012,
5455821,choripetalous flower,離瓣花,,植物學,,2022-07-15
5455822,chorisepalous calyx,離片萼,,植物學,,2022-07-15
5455823,choroid,脈絡膜,,高中生物,,2022-07-15
5455824,chorology,生物分布學,,生態學,,2022-07-15
5455825,chromaffin cell,嗜鉻細胞,,高中生物,,2022-07-15
5455826,chromalveolata,囊泡藻類,,大一普生,,2022-07-15
5455827,chromatic adaptation,色彩適應,,生態學,,2022-07-15
5455828,chromatid,染色分體,,高中生物,,2022-07-15
5455829,chromatin,染色質,,高中生物,,2022-07-15
5455830,chromatin assembly factor,染色質組裝因子,,細胞生物,,2022-07-15
5455831,chromatin fiber (30-nm),染色質絲,,細胞生物,,2022-07-15
5455832,chromatin immunoprecipitation {= ChIP},染色質免疫沉澱[法],,細胞生物,,2022-07-15
5455833,chromatin remodeling,染色質重塑,,細胞生物,,2022-07-15
5455834,chromatin remodeling complex,染色質重塑複合體,,細胞生物,,2022-07-15
5455835,chromatography,層析；色層分析,,細胞生物,,2022-07-15
5455836,chromatophore,色素細胞；色素粒,,細胞生物,,2022-07-15
5455837,chromogen,色素原；色原體,,生態學,,2022-07-15
5455838,chromophore,呈色基團,,細胞生物,,2022-07-15
5455839,chromoplast,雜色體,,生態學,,2022-07-15
5455841,chromosomal aberration; chromosomal abnormality,染色體異常,,生態學,,2022-07-15
5455842,chromosomal abnormality; chromosomal aberration,染色體異常,,生態學,,2022-07-15
5455843,chromosomal crossover; crossing over,[染色體]互換,,,,2022-07-15
5455844,chromosomal translocation,染色體易位,,細胞生物,,2022-07-15
5455845,chromosome,染色體,,高中生物,,2022-07-15
5455846,chromosome compaction; chromosome condensation,染色體緊縮,,細胞生物,,2022-07-15
5455847,chromosome condensation; chromosome compaction,染色體緊縮,,細胞生物,,2022-07-15
5455849,chromosome map,染色體圖,,高中生物,,2022-07-15
5455850,chromosome number,染色體數目,,,,2022-07-15
5455851,chromosome puff,染色體膨部,,高中生物,,2022-07-15
5455852,chromosome replication,染色體複製,,,,2022-07-15
5455853,chromosome theory of inheritance,遺傳的染色體學說,,高中生物,,2022-07-15
5455854,chronic toxicity,慢毒性,,生態學,,2022-07-15
5455855,chronological species,年代種；時序種,,生態學,,2022-07-15
5455856,chylomicron,乳糜微粒,,高中生物,,2022-07-15
5455857,chyme,食糜,,高中生物,,2022-07-15
5455858,chymotrypsin,胰凝乳蛋白酶,,高中生物,,2022-07-15
5455859,chytrid,壺菌類,,大一普生,,2022-07-15
5455860,cilia {sing. cilium},纖毛,,生命科學,,2022-07-15
5455861,ciliary body,睫狀體,,高中生物,,2022-07-15
5455862,ciliary dynein,纖毛動力蛋白,,細胞生物,,2022-07-15
5455863,ciliary muscle,睫狀肌,,高中生物,,2022-07-15
5455864,ciliate,纖毛蟲,,大一普生,,2022-07-15
5455865,ciliated cell,纖毛細胞,,高中生物,,2022-07-15
5455866,ciliated columnar epithelium,纖毛柱狀上皮,,高中生物,,2022-07-15
5455867,cilium {pl. cilia},纖毛,,高中生物,,2022-07-15
5455868,cingulate gyrus,扣帶迴,,高中生物,,2022-07-15
5455869,circadian clock; circadian rhythm,[近]日時鐘；[近]日節律,,細胞生物,,2022-07-15
5455870,circadian rhythm; circadian clock,[近]日節律；[近]日時鐘,,細胞生物,,2022-07-15
5455871,circulation,循環[作用],,高中生物,,2022-07-15
5455872,circulation of closed system,封閉式系統循環 {生態},,生態學,,2022-07-15
5455873,circulation of open system,開放式系統循環 {生態},,生態學,,2022-07-15
5455874,circulatory system,循環系統,,,,2022-07-15
5455875,circumboreal,環北帶的,,生態學,,2022-07-15
5455876,circumequatorial,環赤道的,,生態學,,2022-07-15
5455877,circumpolar,環極圈的,,生態學,,2022-07-15
5455878,circumtropical,環熱帶的,,生態學,,2022-07-15
5455879,cis cisternae,扁囊順面處 {高基氏體},,細胞生物,,2022-07-15
5455880,cis face,順面 {高基氏體},,細胞生物,,2022-07-15
5455881,cis-acting element,同側作用元件,,細胞生物,,2022-07-15
5455882,cis-Golgi network {= CGN},高基氏體順面網絡,,細胞生物,,2022-07-15
5455883,cisterna {pl. cisternae},扁囊；內腔,,高中生物,,2022-07-15
5455884,cisternae {sing. cisterna},扁囊；內腔,,高中生物,,2022-07-15
5455885,cisternal maturation model,扁囊成熟模式,,細胞生物,,2022-07-15
5455886,cistron,順反子,,細胞生物,,2022-07-15
5455887,CITES {Convention on International Trade in Endangered Species of Wild Fauna and Flora},瀕危野生動植物種國際貿易公約,,生態學,,2022-07-15
5455888,citric acid cycle; Krebs cycle; tricarboxylic acid cycle {= TCA cycle},檸檬酸循環；克氏循環；三羧酸循環,,高中生物,,2022-07-15
5455889,clade,支,,大一普生,,2022-07-15
5455890,cladistic species,支序種,,生態學,,2022-07-15
5455891,cladistics,支序學,,大一普生,,2022-07-15
5455892,cladode,葉狀枝,,植物學,,2022-07-15
5455893,cladogenesis,支序演化,,生態學,,2022-07-15
5455894,cladogenic adaptation; branching adaptation; divergent adaptation,支序適應；分支適應；趨異適應,,生態學,,2022-07-15
5455895,clan,單種生物小群,,生態學,,2022-07-15
5455896,class,綱 {生物分類階層},,,,2022-07-15
5455897,class switch,類型轉換,,細胞生物,,2022-07-15
5455898,classical conditioning,古典制約,,大一普生,,2022-07-15
5455899,classical genetics,古典遺傳學,,細胞生物,,2022-07-15
5455900,classification,分類,,高中生物,,2022-07-15
5455901,classification system,分類系統,,,,2022-07-15
5455902,clathrin,格形蛋白,,細胞生物,,2022-07-15
5455903,clathrin-dependent endocytosis,格形蛋白依賴性胞吞作用,,細胞生物,,2022-07-15
5455904,claudin,密連蛋白,,細胞生物,,2022-07-15
5455905,clay,黏土,,生態學,,2022-07-15
5455906,claypan,黏磐,,生態學,,2022-07-15
5455907,cleaning cutting; cleaning,除伐 {林業},,生態學,,2022-07-15
5455908,cleaning symbiosis,清除共生,,生態學,,2022-07-15
5455909,cleaning; cleaning cutting,除伐 {林業},,生態學,,2022-07-15
5455910,clear cutting; clearcutting; clear felling; clearfelling,皆伐 {林業},,生態學,,2022-07-15
5455911,clear felling; clearcutting; clear cutting; clearfelling,皆伐 {林業},,生態學,,2022-07-15
5455912,clearcutting; clear cutting; clear felling; clearfelling,皆伐 {林業},,生態學,,2022-07-15
5455913,clearfelling; clearcutting; clear cutting; clear felling,皆伐 {林業},,生態學,,2022-07-15
5455914,cleavage,分裂；卵裂,,高中生物,,2022-07-15
5455915,cleavage furrow,分裂溝,,高中生物,,2022-07-15
5455916,climasere,氣候演替系列,,生態學,,2022-07-15
5455917,climate change,氣候變遷,,生態學,,2022-07-15
5455918,climate diagram,[生態]氣候圖,,生態學,,2022-07-15
5455919,climate graph; climograph,氣候圖,,生態學,,2022-07-15
5455920,climate zone; climatic zone,氣候帶,,生態學,,2022-07-15
5455921,climatic climax,氣候極盛相,,生態學,,2022-07-15
5455922,climatic factor,氣候因子,,生態學,,2022-07-15
5455923,climatic succession,氣候性演替,,生態學,,2022-07-15
5455924,climatic zone; climate zone,氣候帶,,生態學,,2022-07-15
5455925,climatogenic,氣候產生的,,生態學,,2022-07-15
5455926,climatological sheath,氣候性覆蓋,,生態學,,2022-07-15
5455927,climax,[演替]極相；巔峰[群落],,生命科學,,2022-07-15
5455928,climax adaptation number,極相適應序數,,生態學,,2022-07-15
5455929,climax community,極相群集,,生態學,,2022-07-15
5455930,climax formation,極相群系,,生態學,,2022-07-15
5455931,climax pattern theory,極相樣式學說；極相格局學說,,生態學,,2022-07-15
5455932,climax species,極相[植物]種,,生態學,,2022-07-15
5455933,climber; climbing plant,攀緣植物,,生態學,,2022-07-15
5455934,climbing plan; climbert,攀緣植物,,生態學,,2022-07-15
5455935,climbing stem,攀緣莖,,生命科學,,2022-07-15
5455936,climograph; climate graph,氣候圖,,生態學,,2022-07-15
5455937,cline,梯度變異；漸變群,,大一普生,,2022-07-15
5455938,clinometer,斜度計,,生態學,,2022-07-15
5455939,clitochore,重力散布,,生態學,,2022-07-15
5455940,clitoris,陰蒂,,大一普生,,2022-07-15
5455941,cloaca,泄殖腔,,大一普生,,2022-07-15
5455942,clonal growth,株系生長,,生態學,,2022-07-15
5455943,clonal line,無性繁殖系,,生態學,,2022-07-15
5455944,clonal population,無性繁殖族群,,生態學,,2022-07-15
5455945,clonal selection,株系選擇,,高中生物,,2022-07-15
5455946,clonal selection theory,株系選擇說,,細胞生物,,2022-07-15
5455947,clone,殖株 {名詞}；選殖 {動詞}；無性繁殖系,,高中生物,,2022-07-15
5455948,cloned animal,複製動物,,高中生物,,2022-07-15
5455949,cloning,選殖,,高中生物,,2022-07-15
5455950,cloning vector,選殖載體,,細胞生物,,2022-07-15
5455951,closed canopy,鬱閉冠層,,生態學,,2022-07-15
5455952,closed circulation,封閉循環,,生態學,,2022-07-15
5455953,closed circulatory system,封閉[式]循環系統 {生理},,高中生物,,2022-07-15
5455954,closed community,封閉群集,,生態學,,2022-07-15
5455955,closed ecosystem,封閉生態系統,,生態學,,2022-07-15
5455956,closed forest,鬱閉林,,生態學,,2022-07-15
5455957,closed stand,鬱閉林分,,生態學,,2022-07-15
5455958,closed system,封閉系統,,生態學,,2022-07-15
5455959,closed vegetation,鬱閉植被,,生態學,,2022-07-15
5455960,Clostridium,梭菌屬,,高中生物,,2022-07-15
5455961,Clostridium botulinum,肉毒桿菌 {學名},,高中生物,,2022-07-15
5455962,cloud belt,雲霧帶,,生態學,,2022-07-15
5455963,cloud forest,雲霧林,,生態學,,2022-07-15
5455964,cloud forest belt,雲霧林帶,,生態學,,2022-07-15
5455965,cloud forest zone,雲霧林區,,生態學,,2022-07-15
5455966,club fungi {sing. club fungus}; basidiomycete,擔子菌,,生命科學,,2022-07-15
5455967,club fungus {pl. club fungi}; basidiomycete,擔子菌,,生命科學,,2022-07-15
5455968,clumped distribution; aggregated distribution,聚集分布,,生態學,,2022-07-15
5455969,clumping index,叢聚指標；群聚指標,,生態學,,2022-07-15
5455970,cluster,叢集,,生態學,,2022-07-15
5455971,cluster analysis,聚類分析,,生態學,,2022-07-15
5455972,cluster sampling,群集抽樣,,生態學,,2022-07-15
5455973,cluster distribution,群集分布；群聚分布,,生態學,,2022-07-15
5455974,clutch size,窩卵數；產卵數,,生態學,,2022-07-15
5455975,Cnidaria,刺[絲]胞動物門,,高中生物,,2022-07-15
5455976,cnidarian,刺絲胞動物,,高中生物,,2022-07-15
5455977,cnidocyte; cnidoblast,刺絲胞,,高中生物,,2022-07-15
5455978,CNS {central nervous system},中樞神經系統,,生命科學,,2022-07-15
5455979,CO2 compensation point,二氧化碳補償點,,生態學,,2022-07-15
5455980,CO2 fertilization,二氧化碳施肥,,生態學,,2022-07-15
5455981,CO2 missing sink,二氧化碳失匯,,生態學,,2022-07-15
5455982,coactee,受動者,,生態學,,2022-07-15
5455983,coaction,相互作用,,生態學,,2022-07-15
5455984,coactivator,輔[助]活化物,,細胞生物,,2022-07-15
5455985,coactor,相輔者,,生態學,,2022-07-15
5455986,coadaptation,相互適應,,生態學,,2022-07-15
5455987,coagulase,凝固酶,,高中生物,,2022-07-15
5455988,coagulating sedimentation,凝聚沈降法,,生態學,,2022-07-15
5455989,coalition,聯盟；結盟,,生態學,,2022-07-15
5455990,coarctate pupa,圍蛹,,生態學,,2022-07-15
5455991,coarse particulate organic matter,粗粒有機物,,生態學,,2022-07-15
5455992,coarse sand,粗砂,,生態學,,2022-07-15
5455993,coarse-grained,粗粒[的],,生態學,,2022-07-15
5455994,coarse-grained environment,粗粒環境,,生態學,,2022-07-15
5455995,coarse-grained landscape,粗粒地景,,生態學,,2022-07-15
5455996,coastal,海岸[的]；沿岸[的],,,,2022-07-15
5455997,coastal fishery,沿岸漁業,,生態學,,2022-07-15
5455998,coated pit,被覆小窪,,細胞生物,,2022-07-15
5455999,coated vesicle,被覆囊泡,,細胞生物,,2022-07-15
5456000,coatomer,外被體,,細胞生物,,2022-07-15
5456001,cocci {sing. coccus},球菌；分果瓣 {植物},,高中生物,,2022-07-15
5456002,coccus {pl. cocci},球菌；分果瓣 {植物},,高中生物,,2022-07-15
5456003,coccyx,尾[椎]骨,,,,2022-07-15
5456004,cochlea,耳蝸,,高中生物,,2022-07-15
5456005,cochlear nerve,耳蝸神經,,高中生物,,2022-07-15
5456006,cocoon,[卵]繭,,生態學,,2022-07-15
5456007,COD {chemical oxygen demand},化學需氧量,,生命科學,,2022-07-15
5456008,coding strand,編碼股,,細胞生物,,2022-07-15
5456009,codominance,等顯性；共顯性,,高中生物,,2022-07-15
5456010,codominant,共優勢的 {生態}；共顯性的 {遺傳},,生態學,,2022-07-15
5456011,codon,密碼子,,高中生物,,2022-07-15
5456012,coefficient of condition; condition factor; coefficient of fatness,肥滿度；肥滿度係數 {魚類學},,生態學,,2022-07-15
5456013,coefficient of fatness; condition factor,肥滿度；肥滿度係數 {魚類學},,生態學,,2022-07-15
5456014,coefficient of relatedness,親緣係數,,大一普生,,2022-07-15
5456015,Coelenterata,腔腸動物門 {舊名},,高中生物,,2022-07-15
5456016,coelom; body cavity,體腔,,<p>高中生物</p>,,2022-07-15
5456017,coelomate,體腔動物,,大一普生,,2022-07-15
5456018,coenobium,定形群體,,植物學,,2022-07-15
5456019,coenocytic,多核[的],,大一普生,,2022-07-15
5456020,coenzyme,輔酶,,高中生物,,2022-07-15
5456021,coenzyme Q {= CoQ}; ubiquinone,輔酶Q；泛醌,,細胞生物,,2022-07-15
5456022,coevolution,共[同]演化,,植物學,,2022-07-15
5456023,coexistence,共存,,生態學,,2022-07-15
5456024,cofactor,輔因子,,高中生物,,2022-07-15
5456025,cognate receptor,同族受體,,細胞生物,,2022-07-15
5456026,cognition,認知,,大一普生,,2022-07-15
5456027,cognitive map,認知圖,,大一普生,,2022-07-15
5456028,cohesin,黏著蛋白,,細胞生物,,2022-07-15
5456029,cohesion,內聚[性],,高中生物,,2022-07-15
5456030,cohesive end; sticky end,黏[性]端,,生命科學,,2022-07-15
5456031,cohesive force,內聚力,,高中生物,,2022-07-15
5456032,cohort,同齡群 {生態}；年級群 {水產}；定群 {醫},,大一普生,,2022-07-15
5456033,coiled coil,纏繞線圈 {蛋白質結構},,細胞生物,,2022-07-15
5456034,co-immunoprecipitation {= co-IP},共免疫沉澱[法],,細胞生物,,2022-07-15
5456035,co-IP {co-immunoprecipitation},共免疫沉澱[法],,細胞生物,,2022-07-15
5456036,sexual intercourse,性交,,<p>大一普生</p>,,2022-07-15
5456037,colchicine,秋水仙素,,細胞生物,,2022-07-15
5456038,cold receptor,冷[覺]受器,,高中生物,,2022-07-15
5456039,coleoptile,芽鞘,,高中生物,,2022-07-15
5456040,coleorhiza,胚根鞘,,植物學,,2022-07-15
5456041,coleorhizae,根鞘,,高中生物,,2022-07-15
5456042,collagen,膠原蛋白,,高中生物,,2022-07-15
5456043,collagen fiber,膠原[蛋白]纖維,,細生組,,2022-07-15
5456044,collagenase,膠原蛋白酶,,高中生物,,2022-07-15
5456045,collecting duct,集尿管；集合管,,高中生物,,2022-07-15
5456046,collecting tubule,集尿[小]管；集合[小]管,,高中生物,,2022-07-15
5456047,collection,採集,,生態學,,2022-07-15
5456048,collenchyma,厚角組織,,高中生物,,2022-07-15
5456049,collenchyma cell,厚角細胞,,高中生物,,2022-07-15
5456050,colloid,膠體,,高中生物,,2022-07-15
5456051,colon,結腸,,高中生物,,2022-07-15
5456052,colonial insect,聚落昆蟲,,生態學,,2022-07-15
5456053,colonization,拓殖,,生態學,,2022-07-15
5456054,colony,菌落；群落；群體,,高中生物,,2022-07-15
5456055,colony-stimulating factor,株落刺激因子,,細胞生物,,2022-07-15
5456056,color blindness,色盲,,高中生物,,2022-07-15
5456057,columnar epithelial cell,柱狀上皮細胞,,高中生物,,2022-07-15
5456058,commensalism,片利共生,,高中生物,,2022-07-15
5456059,community,群聚；群集；群落,,生命科學,,2022-07-15
5456060,community ecology,群集生態學,,生態學,,2022-07-15
5456061,community structure,群集結構；群聚結構,,高中生物,,2022-07-15
5456062,companion cell,伴細胞,,高中生物,,2022-07-15
5456063,compensation depth,補償強度,,生態學,,2022-07-15
5456064,competition,競爭,,高中生物,,2022-07-15
5456065,competition exclusion principle,競爭排斥原理,,生態學,,2022-07-15
5456066,competitive exclusion,競爭互斥,,大一普生,,2022-07-15
5456067,competitor,競爭者,,生態學,,2022-07-15
5456068,complement,補體,,高中生物,,2022-07-15
5456069,complement system,補體系統,,細胞生物,,2022-07-15
5456070,complementary base pairing,互補鹼基配對,,高中生物,,2022-07-15
5456071,complementary cell,輔細胞；填充細胞,,高中生物,,2022-07-15
5456072,complementary DNA {= cDNA},互補DNA,,大一普生,,2022-07-15
5456073,complementary strand,互補股,,細胞生物,,2022-07-15
5456074,complementation,互補[現象] {遺傳學},,細胞生物,,2022-07-15
5456075,complementation analysis,互補分析,,細胞生物,,2022-07-15
5456076,complete dominance,完全顯性,,高中生物,,2022-07-15
5456077,complete flower,完全花,,高中生物,,2022-07-15
5456078,complete leaf,完全葉,,高中生物,,2022-07-15
5456079,complete metamorphosis,完全變態,,大一普生,,2022-07-15
5456080,complex tissue,複合組織,,植物學,,2022-07-15
5456081,complex trait,複雜表徵,,細胞生物,,2022-07-15
5456082,composite transposon,複合轉位子,,細胞生物,,2022-07-15
5456083,compound eye,複眼,,大一普生,,2022-07-15
5456084,compound leaf,複葉,,高中生物,,2022-07-15
5456085,compound lipid,複合脂質,,高中生物,,2022-07-15
5456086,compound microscope,複式顯微鏡,,高中生物,,2022-07-15
5456087,concentration gradient,濃度梯度,,高中生物,,2022-07-15
5456088,concentration work,濃度功,,細胞生物,,2022-07-15
5456089,conception,受孕,,大一普生,,2022-07-15
5456090,condensation reaction,縮合反應,,大一普生,,2022-07-15
5456091,condenser,聚光鏡 {光學}；冷凝管 {化學},,高中生物,,2022-07-15
5456092,condenser lens,聚光鏡,,細胞生物,,2022-07-15
5456093,condensin,緊縮蛋白,,細胞生物,,2022-07-15
5456094,condition factor; coefficient of fatness,肥滿度；肥滿度係數 {魚類學},,生態學,,2022-07-15
5456095,conditional mutation,條件型突變,,細胞生物,,2022-07-15
5456096,conditional reflex,條件反射,,高中生物,,2022-07-15
5456097,conduction,傳導,,大一普生,,2022-07-15
5456098,conductive tissue,輸導組織,,高中生物,,2022-07-15
5456099,cone cell; cone,[視]錐細胞,,<p>動物生理</p>,,2022-07-15
5456100,cone; strobilus {pl. strobili},毬果；孢子囊穗,,植物學,,2022-07-15
5456101,configuration,組態；構型,,細胞生物,,2022-07-15
5456102,confocal microscope,共軛焦顯微鏡,,細胞生物,,2022-07-15
5456103,conformation,構形,,細胞生物,,2022-07-15
5456104,conformational change,構形改變,,細胞生物,,2022-07-15
5456105,conformer,順應者 {生態}；構形物 {生化},,大一普生,,2022-07-15
5456106,congenic line; congenic strain,同源異基因株,,細胞生物,,2022-07-15
5456107,congenic strain; congenic line,同源異基因株,,細胞生物,,2022-07-15
5456108,congestin; actinocongestin,海葵毒素,,細菌免疫,,2022-07-15
5456109,conidia {sing. conidium}; conidiospore,分生孢子,,大一普生,,2022-07-15
5456110,conidiophore,分生孢子柄；分生孢子梗,,植物學,,2022-07-15
5456111,conidiospore; conidium {pl. conidia},分生孢子,,植物學,,2022-07-15
5456112,conidium {pl. conidia}; conidiospore,分生孢子,,高中生物,,2022-07-15
5456113,conifer; acicular tree; needle-leaved tree,松柏類；針葉樹,,高中生物,,2022-07-15
5456114,coniferous forest,針葉林,,高中生物,,2022-07-15
5456115,coniferous wood,針葉[樹]材,,植物學,,2022-07-15
5456116,conilignosa {coniferous forest},針葉林,,植物組,,2022-07-15
5456117,Conjugatae; Zygophyceae,接合藻綱,,生命科學,,2022-07-15
5456118,conjugated protein,複合蛋白質,,細胞生物,,2022-07-15
5456119,conjugation,接合,,生命科學,,2022-07-15
5456120,conjunctiva,結膜,,高中生物,,2022-07-15
5456121,connective,葯隔,,植物學,,2022-07-15
5456122,connective tissue,結締組織,,高中生物,,2022-07-15
5456123,connectivity,連接度；連通性,,生態學,,2022-07-15
5456124,connexin,[隙型]連結蛋白,,細胞生物,,2022-07-15
5456125,connexon,[隙型]連結子,,細胞生物,,2022-07-15
5456126,conodont,有牙動物 {古生物}；牙形動物 {舊名},,大一普生,,2022-07-15
5456127,consensus sequence,共通序列,,細胞生物,,2022-07-15
5456128,conservation,保育,,高中生物,,2022-07-15
5456129,conservation biology,保育生物學,,大一普生,,2022-07-15
5456130,conservative replication,保留[式]複製,,細胞生物,,2022-07-15
5456131,conservative substitution,保留[式]取代,,細胞生物,,2022-07-15
5456132,conservative transposition,保留[式]轉位,,細胞生物,,2022-07-15
5456133,conserved sequence,保留序列,,細胞生物,,2022-07-15
5456134,constant region,恆定區,,高中生物,,2022-07-15
5456135,constitutive gene,持續[表現]型基因,,細生組,,2022-07-15
5456136,constitutive heterochromatin,持續型異染色質,,細生組,,2022-07-15
5456137,constitutive secretion,持續型分泌,,細生組,,2022-07-15
5456138,constitutive secretory pathway,持續型分泌路徑,,細生組,,2022-07-15
5456139,consumer,消費者,,高中生物,,2022-07-15
5456140,consumption,消耗量,,生態學,,2022-07-15
5456141,contamination,沾染,,生態學,,2022-07-15
5456142,contest competition,對抗競爭,,生態學,,2022-07-15
5456143,contig,片段重疊組,,細胞生物,,2022-07-15
5456144,continental drift,大陸漂移,,大一普生,,2022-07-15
5456145,continental drift hypothesis,大陸漂移假說,,生態學,,2022-07-15
5456146,continental drift theory,大陸漂移說,,植物學,,2022-07-15
5456147,continental shelf,大陸棚,,高中生物,,2022-07-15
5456148,continuous trait,連續型表徵,,細胞生物,,2022-07-15
5456149,contraception,避孕,,<p>高中生物</p>,,2022-07-15
5456150,contractile bundle,收縮束,,細胞生物,,2022-07-15
5456151,contractile ring,收縮環,,細胞生物,,2022-07-15
5456152,contractile vacuole,伸縮泡；伸縮胞,,細胞生物,,2022-07-15
5456153,contractility,收縮性,,細胞生物,,2022-07-15
5456154,contrast,對比,,高中生物,,2022-07-15
5456155,control element,調控元,,大一普生,,2022-07-15
5456156,control experiment,對照實驗,,高中生物,,2022-07-15
5456157,control threshold; action threshold,防治閾值,,生態學,,2022-07-15
5456158,convection,對流,,大一普生,,2022-07-15
5456159,Convention on Biological Diversity {= CBD},生物多樣性公約,,生態學,,2022-07-15
5456160,Convention on International Trade in Endangered Species of Wild Fauna and Flora {= CITES},瀕危野生動植物種國際貿易公約,,生態學,,2022-07-15
5456161,Convention on Wetlands of International Importance Especially as Waterfowl Habitat ; Ramsar Convention on Wetlands,國際重要水鳥棲地保護公約；拉姆薩濕地公約,,生態學,,2022-07-15
5456162,convergence,趨同 {演化}；會聚 {生理},,生命科學,,2022-07-15
5456163,convergent evolution,趨同演化,,高中生物,,2022-07-15
5456164,convergent extension,整合延伸,,,,2022-07-15
5456165,cooperation,互助；協同,,生態學,,2022-07-15
5456166,cooperativity,協同性,,大一普生,,2022-07-15
5456167,coordination,協調[作用],,高中生物,,2022-07-15
5456168,copepod,橈足類,,大一普生,,2022-07-15
5456169,copepodite,橈足類幼生,,生態學,,2022-07-15
5456170,Coptotermes formosanus,家白蟻,,高中生物,,2022-07-15
5456171,copulation,交尾；交合,,生態學,,2022-07-15
5456172,CoQ {coenzyme Q}; ubiquinone,輔酶Q；泛醌,,細胞生物,,2022-07-15
5456173,coral reef,珊瑚礁,,高中生物,,2022-07-15
5456174,core area,核心區,,生態學,,2022-07-15
5456176,core oligosaccharide,核心寡糖,,細胞生物,,2022-07-15
5456177,core promoter,核心啟動子,,細胞生物,,2022-07-15
5456178,core protein,核心蛋白,,細胞生物,,2022-07-15
5456179,co-receptor,輔受體,,細胞生物,,2022-07-15
5456180,corepressor; co-repressor,輔抑制物,,細生組,,2022-07-15
5456181,co-repressor; corepressor,輔抑制物,,細生組,,2022-07-15
5456182,cork,木栓；軟木[塞],,高中生物,,2022-07-15
5456183,cork cambium; phellogen,木栓形成層,,高中生物,,2022-07-15
5456184,cork layer,木栓層,,高中生物,,2022-07-15
5456185,corm,球莖,,生命科學,,2022-07-15
5456186,cornea,角膜,,高中生物,,2022-07-15
5456187,corolla {pl. corollas},花冠,,高中生物,,2022-07-15
5456188,corollas {sing. corolla},花冠,,高中生物,,2022-07-15
5456189,corona,副花冠,,植物學,,2022-07-15
5456190,coronary artery,冠狀動脈,,高中生物,,2022-07-15
5456191,coronary circulation,冠狀[動脈]循環,,動物生理,,2022-07-15
5456192,coronary vein,冠狀靜脈,,高中生物,,2022-07-15
5456193,coronavirus,冠狀病毒,,高中生物,,2022-07-15
