ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
2697203,cleaning symbiosis,清除共生,,"清除共生,清洁共生",104.11.09,2016-09-13
2697204,clear cutting,皆伐{林業},,皆伐,104.11.09,2016-09-13
2697205,clear felling,皆伐{林業},,皆伐,104.11.09,2016-09-13
2697206,clim(at)ograph,氣候圖,,气候图,104.11.09,2016-09-13
2697207,climate change,氣候變遷,,气候变化,104.11.09,2016-09-13
2697208,climate diagram,氣候特性圖,,生态气候图解,104.11.09,2016-09-13
2697209,climate zone,氣候帶,,气候带；气候代,104.11.09,2016-09-13
2697210,climatic climax,氣候極盛相,,气候顶极群落,104.11.09,2016-09-13
2697211,climatic cycle,氣候週期,,气候循环；气候周期,104.11.09,2016-09-13
2697212,climatic factor,氣候因數,,气候因子,104.11.09,2016-09-13
2697213,climatic race,氣候性品種,,气候宗,104.11.09,2016-09-13
2697214,climatic snowline,氣候雪線,,气候雪线,104.11.09,2016-09-13
2697215,climatic stability,氣候穩定性,,气候稳定性,104.11.09,2016-09-13
2697216,climatic stability theory,氣候穩定學說,,气候稳定学说,104.11.09,2016-09-13
2697217,climatic succession,氣候性演替,,气候性演替；气候性消长,104.11.09,2016-09-13
2697218,climatic zone,氣候帶,,气候带,104.11.09,2016-09-13
2697219,climatogenic,氣候產生的,,气候性的,104.11.09,2016-09-13
2697220,climax,[演替]極相；巔峰[群落],,"顶级(群落),演替顶级",104.11.09,2016-09-13
2697221,climax adaptation number,極盛相適應序數,,顶级适应数,104.11.09,2016-09-13
2697222,climax community,極相群集,,顶极群落,104.11.09,2016-09-13
2697223,climax complex,極盛相複合體,,[演替]顶级群落复合体,104.11.09,2016-09-13
2697224,climax formation,極相群系,,[演替]顶极群系；顶级群系,104.11.09,2016-09-13
2697225,climax pattern theory,極相樣式學說；極相格局學說,,顶级格局学说,104.11.09,2016-09-13
2697226,climax species,極相種,,[演替]顶级种,104.11.09,2016-09-13
2697227,climber,攀緣植物,,攀缘植物,104.11.09,2016-09-13
2697228,climbing plant,攀緣植物,,攀缘植物,104.11.09,2016-09-13
2697229,cline,漸變群,,"梯度变异,渐变群",104.11.09,2016-09-13
2697230,clinodeme,漸變亞族群,,渐变混交群,104.11.09,2016-09-13
2697231,clinometer,斜度計,,"测角器,倾斜仪",104.11.09,2016-09-13
2697232,clisere,氣候性演替,,气候演替系列,104.11.09,2016-09-13
2697233,clonal growth,株系生長；複製生長,,克隆生长,104.11.09,2016-09-13
2697234,clonal population,無性繁殖族群,,无性系种群,104.11.09,2016-09-13
2697235,clone,殖株 {名詞}；選殖 {動詞}；無性繁殖系,,"无性系,无性繁殖；克隆",104.11.09,2016-09-13
2697236,clone plant,殖株植物,,克隆植物,104.11.09,2016-09-13
2697237,close planting,密植,,密植,104.11.09,2016-09-13
2697238,closed canopy,鬱閉冠層,,郁闭林冠,104.11.09,2016-09-13
2697239,closed circulation,封閉循環,,封闭循环,104.11.09,2016-09-13
2697240,closed community,封閉群集,,"郁闭群落,密闭群落",104.11.09,2016-09-13
2697241,closed ecosystem,封閉生態系統,,封闭生态系统,104.11.09,2016-09-13
2697242,closed forest,鬱閉林,,"密(闭森)林,郁闭(森)林",104.11.09,2016-09-13
2697243,closed stand,鬱閉林分,,密闭林分,104.11.09,2016-09-13
2697244,closed system,封閉系統,,封闭系统,104.11.09,2016-09-13
2697245,closed vegetation,鬱閉植被,,郁闭植被,104.11.09,2016-09-13
2697246,cloud belt,雲霧帶,,云带,104.11.09,2016-09-13
2697247,cloud forest,雲霧林,,云雾林,104.11.09,2016-09-13
2697248,cloud forest belt,雲霧林帶,,云雾林带,104.11.09,2016-09-13
2697249,cloud forest zone,雲霧林區,,云雾林带,104.11.09,2016-09-13
2697250,clumped distribution,聚集分佈,,成群分布.集团分布; 集群分布,104.11.09,2016-09-13
2697251,clumping index,叢聚指標,,丛生指标,104.11.09,2016-09-13
2697252,cluster,簇團；群,,簇,104.11.09,2016-09-13
2697253,cluster analysis,聚類分析,,聚类分析,104.11.09,2016-09-13
2697254,cluster sampling,集體取樣,,整群抽样,104.11.09,2016-09-13
2697255,clustered distribution,聚集分佈,,集群分布,104.11.09,2016-09-13
2697256,clutch size,窩卵數；產卵數,,"窝卵数,窝仔数",104.11.09,2016-09-13
2697257,CO2 compensation point,二氧化碳補償點,,二氧化碳补偿点,104.11.09,2016-09-13
2697258,CO2 fertilization,二氧化碳施肥,,二氧化碳施肥效应,104.11.09,2016-09-13
2697259,CO2 missing sink,二氧化碳失匯,,二氧化碳失汇,104.11.09,2016-09-13
2697260,coactee,受動者,,受动者,104.11.09,2016-09-13
2697261,coaction,相輔作用,,相互作用,104.11.09,2016-09-13
2697262,coactor,相輔者,,相互作用者,104.11.09,2016-09-13
2697263,coadaptation,共適應,,"共适应,互适应",104.11.09,2016-09-13
2697264,coagulating sedimentation,凝聚沈澱法,,凝聚沉淀法,104.11.09,2016-09-13
2697265,coarse sand,粗砂,,粗砂土,104.11.09,2016-09-13
2697266,coarse-grained,粗粒的,,粗粒的,104.11.09,2016-09-13
2697267,coarse-grained environment,粗粒環境,,粗粒环境,104.11.09,2016-09-13
2697268,coarse-grained landscape,粗粒地景,,粗粒景观,104.11.09,2016-09-13
2697269,coastal community,沿岸群集,,海岸群落,104.11.09,2016-09-13
2697270,coastal desert,沿岸沙漠,,沿海沙漠,104.11.09,2016-09-13
2697271,coastal fishery,沿岸漁業,,沿海渔业,104.11.09,2016-09-13
2697272,coastal forest,海岸林,,海岸[森]林,104.11.09,2016-09-13
2697273,coastal plankton,沿岸浮游生物,,沿海浮游生物,104.11.09,2016-09-13
2697274,coastal swamp,沿岸林澤,,沿海沼泽地,104.11.09,2016-09-13
2697275,coconut palm grove,椰子林,,椰子林,104.11.09,2016-09-13
2697276,cocoon,繭,,壳茧，茧,104.11.09,2016-09-13
2697277,codominant,共優勢（種）；共顯性的,,共显性的,104.11.09,2016-09-13
2697278,codon,密碼子,,密码子,104.11.09,2016-09-13
2697279,coefficient of association,關連係數,,关联系数,104.11.09,2016-09-13
2697280,coefficient of community,群集係數,,群落系数,104.11.09,2016-09-13
2697281,coefficient of community similarity,群集相似係數,,群落相似系数,104.11.09,2016-09-13
2697282,coefficient of competition,競爭係數,,竞争系数,104.11.09,2016-09-13
2697283,coefficient of condition,肥滿度,,肥满度,104.11.09,2016-09-13
2697284,coefficient of correlation,相關係數,,相关系数,104.11.09,2016-09-13
2697285,coefficient of determination,決定係數,,决定系数,104.11.09,2016-09-13
2697286,coefficient of difference,差異係數,,相异系数,104.11.09,2016-09-13
2697287,coefficient of differentiation,分化係數,,"分化系数,变异系数",104.11.09,2016-09-13
2697288,coefficient of fatness,肥滿度係數,,肥满度系数,104.11.09,2016-09-13
2697289,coefficient of fittness,適合度係數；適應度係數,,适应系数,104.11.09,2016-09-13
2697290,coefficient of genetic distance,遺傳距離係數,,遗传距离系数,104.11.09,2016-09-13
2697291,coefficient of genetic similarity,遺傳相似係數,,遗传相似系数,104.11.09,2016-09-13
2697292,coefficient of growth,生長係數,,生长系数,104.11.09,2016-09-13
2697293,coefficient of heterogeneity,異質係數,,异质性系数,104.11.09,2016-09-13
2697294,coefficient of homogeneity,均質係數,,同构型系数,104.11.09,2016-09-13
2697295,coefficient of maturity,成熟度係數,,性腺成熟系数,104.11.09,2016-09-13
2697296,coefficient of relatedness,親緣係數,,亲缘系数,104.11.09,2016-09-13
2697297,coefficient of similarity,相似係數,,相似系数,104.11.09,2016-09-13
2697298,coefficient of variability,變異度,,变异度,104.11.09,2016-09-13
2697299,coefficient of variation{=CV},變異係數,,变异系数,104.11.09,2016-09-13
2697300,coenobiology,生物社會學,,"群落生物学,生物社会学",104.11.09,2016-09-13
2697301,coenobiosis,群集生活,,群落生活,104.11.09,2016-09-13
2697302,coenobium,定型群體,,定形群体,104.11.09,2016-09-13
2697303,coenocline,群集漸變群,,"群落生态序列,群落渐变群",104.11.09,2016-09-13
2697304,coenology,群集學,,群落学,104.11.09,2016-09-13
2697305,coenosis,生物群集,,生物群落,104.11.09,2016-09-13
2697306,coenosium,群集,,群落,104.11.09,2016-09-13
2697307,coenospecies,近群種,,"近群种,聚合种",104.11.09,2016-09-13
2697308,coevolution,共同演化；交互演化,,协同进化,104.11.09,2016-09-13
2697309,coexistence,共存,,共存,104.11.09,2016-09-13
2697310,cofficient of relationship{=γ},親緣系數,,亲缘系数,104.11.09,2016-09-13
2697311,cohesion theory,內聚力學說,,"内聚力学说,内聚力-张力学说(cohesion-tension theory)",104.11.09,2016-09-13
2697312,cohort,同齡群 {生態}；年級群 {水產}；定群 {醫},,"同生群,同龄群",104.11.09,2016-09-13
2697313,cohort analysis,年級群分析,,同龄群分析,104.11.09,2016-09-13
2697314,cohort generation time,同齡群世代期間,,同龄群世代期间,104.11.09,2016-09-13
2697315,cohort life table,同齡群生命表,,同龄群生命表，同生群生命表,104.11.09,2016-09-13
2697316,cold adaptation,冷適應,,冷适应,104.11.09,2016-09-13
2697317,cold current,寒流,,寒流,104.11.09,2016-09-13
2697318,cold desert,寒漠,,"冷荒漠,寒漠",104.11.09,2016-09-13
2697319,cold hardiness,耐寒性,,低温耐受性；耐寒性,104.11.09,2016-09-13
2697320,cold injury,寒害,,冷害,104.11.09,2016-09-13
2697321,cold pole,寒極,,寒极,104.11.09,2016-09-13
2697322,cold resistance,抗寒性；抗寒能力；耐寒性,,抗寒性,104.11.09,2016-09-13
2697323,cold water cosmopolitan,冷水性世界種,,冷水性世界种,104.11.09,2016-09-13
2697324,cold-induced thermogenesis,冷誘導產熱,,冷诱导产热,104.11.09,2016-09-13
2697325,coldness index{=CI},寒冷係數；冷度指數,,寒冷指数,104.11.09,2016-09-13
2697326,coliform group,大腸菌群；桿狀菌群,,大肠菌,104.11.09,2016-09-13
2697327,collection,採集,,采集,104.11.09,2016-09-13
2697328,collector,採集者；採集民族,,"采集者,食微粒生物",104.11.09,2016-09-13
2697329,colonial breeding,群體繁殖,,群体繁殖,104.11.09,2016-09-13
2697330,colonial insect,聚落昆蟲,,群居性昆虫,104.11.09,2016-09-13
2697331,colonization,拓殖,,"定居,建群",104.11.09,2016-09-13
2697332,colonization curve,拓殖曲線,,定殖曲线,104.11.09,2016-09-13
2697333,colonization rate,拓殖速率,,定居速率,104.11.09,2016-09-13
2697334,colonizing species,拓殖種,,开拓种；侵殖种,104.11.09,2016-09-13
2697335,colony,菌落；聚落,,群体；菌落；集落；殖民地；定殖群,104.11.09,2016-09-13
2697336,colony odor,聚落氣味,,蚁群气味,104.11.09,2016-09-13
2697337,combined water,結合水,,"束缚水,结合水",104.11.09,2016-09-13
2697338,cometabolism process,共代謝過程,,共代谢过程,104.11.09,2016-09-13
2697339,common feeding ground,共同攝食地,,共享摄食场所,104.11.09,2016-09-13
2697340,common garden experiment,共園實驗,,共园实验,104.11.09,2016-09-13
2697341,communal breeding,集體生殖,,集体生殖,104.11.09,2016-09-13
2697342,communal courtship,集體求偶,,集体求偶,104.11.09,2016-09-13
2697343,communal forest,社區林；村落林,,集群林,104.11.09,2016-09-13
2697344,community,群聚 {動物}；群集 {動、植物}；群落 {植物},,"群落,小区,社团",104.11.09,2016-09-13
2697345,community complex,群落複合體,,群落复合体,104.11.09,2016-09-13
2697346,community composition,群集組成,,群落组成,104.11.09,2016-09-13
2697347,community continuum,群集連續,,群落连续体,104.11.09,2016-09-13
2697348,community dynamics,群集動態〔學〕,,群落动态,104.11.09,2016-09-13
2697349,community ecology,群集生態學,,"群落生态学,群体生态学(synecology)",104.11.09,2016-09-13
2697350,community energetics,群集能量論,,群落能量学,104.11.09,2016-09-13
2697351,community equilibrium,群集平衡,,群落平衡,104.11.09,2016-09-13
2697352,community function,群集功能,,群落功能,104.11.09,2016-09-13
2697353,community gross production rate,群集總生產率,,群集总生产率,104.11.09,2016-09-13
2697354,community integration,群集整合性,,群落综合性,104.11.09,2016-09-13
2697355,community metabolism,群集代謝,,群落代谢,104.11.09,2016-09-13
2697356,community mosaic,嵌鑲型群集,,群落镶嵌,104.11.09,2016-09-13
2697357,community organization,群集組織,,"群落组织,群落结构",104.11.09,2016-09-13
2697358,community potamium,溪流群集,,河流群落,104.11.09,2016-09-13
2697359,community regulation,群集調節,,群落调节,104.11.09,2016-09-13
2697360,community respiration,群集呼吸,,群落呼吸,104.11.09,2016-09-13
2697361,community ring,群集環,,群落环,104.11.09,2016-09-13
2697362,community stability,群集穩定性,,群落稳定性,104.11.09,2016-09-13
2697363,community structure,群集結構；群聚結構,,群落结构,104.11.09,2016-09-13
2697364,community succession,群集消長；群集演替,,群落演替,104.11.09,2016-09-13
2697365,community surface,群集面,,群落表面,104.11.09,2016-09-13
2697366,community table,群集表,,群落表,104.11.09,2016-09-13
2697367,community type,群集型,,群落类型,104.11.09,2016-09-13
2697368,comospore,具冠毛種子,,具冠毛种子,104.11.09,2016-09-13
2697369,compactness,密實度,,密实度,104.11.09,2016-09-13
2697370,companion animal,伴生動物,,伴生动物,104.11.09,2016-09-13
2697371,companion cropping,伴作,,伴作,104.11.09,2016-09-13
2697372,companion planting,伴植,,伴植,104.11.09,2016-09-13
2697373,companion sowing,伴植播種,,伴植播种,104.11.09,2016-09-13
2697374,companion species,伴生種,,伴生种,104.11.09,2016-09-13
2697375,comparative ordination technique,比較排序法,,比较序列法,104.11.09,2016-09-13
2697376,comparium,能配群,,杂交界限群；能配群,104.11.09,2016-09-13
2697377,compartment,林班,,林班；区室；分室,104.11.09,2016-09-13
2697378,compartment model,分室模型；單位元模型,,分室模型,104.11.09,2016-09-13
2697379,compartment model of ecosystem,生態系分室模型；生態系單位元模型,,生态系区室模型,104.11.09,2016-09-13
2697380,compartmental system approach,分室系統方法；單位系統方法,,分室系统方法,104.11.09,2016-09-13
2697381,compartmentalization,分室化；單位化,,分室化[作用],104.11.09,2016-09-13
2697382,compartmentation,分室化；單位化,,分室化[作用],104.11.09,2016-09-13
2697383,compass plant,指向植物,,指向植物,104.11.09,2016-09-13
2697384,compensation,補償,,补偿作用,104.11.09,2016-09-13
2697385,compensation depth,補償強度,,补偿深度,104.11.09,2016-09-13
2697386,compensation factor,補償因數,,补偿因子,104.11.09,2016-09-13
2697387,compensation intensity,"補償光度, 平準強度；補償光照強度",,补偿强度,104.11.09,2016-09-13
2697388,compensation level,補償水準,,补偿层,104.11.09,2016-09-13
2697389,compensation light intensity,"補償光度, 平準強度；補償光照強度",,补偿强度,104.11.09,2016-09-13
2697390,compensation point,平準點；補償點,,补偿点,104.11.09,2016-09-13
2697391,compensatory mortality factor,補償性致死因數,,补偿性致死因子,104.11.09,2016-09-13
2697392,competition,競爭,,竞争,104.11.09,2016-09-13
2697393,competition coefficients,競爭係數,,竞争系数,104.11.09,2016-09-13
2697394,competition curve,競爭曲線,,竞争曲线,104.11.09,2016-09-13
2697395,competition density effect{=C-D effect},競爭密度效應,,竞争密度效应,104.11.09,2016-09-13
2697396,competition equilibrium,競爭平衡,,竞争平衡,104.11.09,2016-09-13
2697397,competition exclusion principle,競爭排斥原理,,竞争排斥原理,104.11.09,2016-09-13
2697398,competition hypothesis,競爭假說,,竞争假说,104.11.09,2016-09-13
2697399,competition order,競爭序,,竞争序,104.11.09,2016-09-13
2697400,competition pressure,競爭壓力,,竞争压力,104.11.09,2016-09-13
2697401,competition theory,競爭學說,,竞争学说,104.11.09,2016-09-13
2697402,competitive ability,競爭能力,,竞争(能)力,104.11.09,2016-09-13
2697403,competitive advantage,有利競爭,,竞争优势,104.11.09,2016-09-13
2697404,competitive association,競爭性結合,,竞争群丛,104.11.09,2016-09-13
2697405,competitive capacity,競爭能力,,竞争能力,104.11.09,2016-09-13
2697406,competitive coefficient,競爭係數,,竞争系数,104.11.09,2016-09-13
2697407,competitive coexistence,競爭共存,,竞争共存,104.11.09,2016-09-13
2697408,competitive displacement,競爭置換,,竞争替代,104.11.09,2016-09-13
2697409,competitive displacement principle,競爭置換原理,,竞争替代原理,104.11.09,2016-09-13
2697410,competitive dominance,競爭優勢，有利競爭,,竞争优势,104.11.09,2016-09-13
2697411,competitive exclusion principle,競爭排斥原理,,竞争排斥原理,104.11.09,2016-09-13
2697412,competitive interaction,競爭交互作用,,竞争相互作用,104.11.09,2016-09-13
2697413,competitive release,競爭釋放,,竞争释放,104.11.09,2016-09-13
2697414,competitor,競爭者,,竞争者,104.11.09,2016-09-13
2697415,complementary chromatic adaptation,互補色適應,,互补色适应,104.11.09,2016-09-13
2697416,complex loop,複合環 {城市生態學、生態工程學和產業生態學},,复合环,104.11.09,2016-09-13
2697417,complexity theory,複雜理論,,复杂性理论,104.11.09,2016-09-13
2697418,components of ecosystem,生態系組成因數,,生态系统组分,104.11.09,2016-09-13
2697419,composite volcano,複式火山,,复式火山,104.11.09,2016-09-13
2697420,compost,堆肥,,堆肥,104.11.09,2016-09-13
2697421,compression hypothesis,壓縮假說,,压缩假说,104.11.09,2016-09-13
2697422,compression of niche,生態席位壓縮,,生态位压缩,104.11.09,2016-09-13
2697423,compression wood,壓縮材；偏心材,,应压木,104.11.09,2016-09-13
2697424,concealing colo(u)r,隱匿色,,隐藏色,104.11.09,2016-09-13
2697425,concentration factor{=CF},濃縮係數,,浓缩系数; 富集系数,104.11.09,2016-09-13
2697426,conceptual model,概念模式,,概念模型,104.11.09,2016-09-13
2697427,concretion,結核,,"凝固,凝固物; [医]结石",104.11.09,2016-09-13
2697428,condition factor,肥滿度,,肥满度,104.11.09,2016-09-13
2697429,Conditional fishing mortality rate,[獨立存在的]漁獲死亡率,,渔获死亡率,104.11.09,2016-09-13
2697430,Conditional natural mortality rate,[獨立存在的]自然死亡率,,自然死亡率,104.11.09,2016-09-13
2697431,conditional reflex,條件反射,,条件反射,104.11.09,2016-09-13
2697432,conditional response,條件反應,,条件反应,104.11.09,2016-09-13
2697433,conditioning,制約,,制约,104.11.09,2016-09-13
2697434,conditioning process,制約過程,,制约过程,104.11.09,2016-09-13
2697435,confronting,對立,,对立,104.11.09,2016-09-13
2697436,congeneric species,同屬種,,同属种,104.11.09,2016-09-13
2697437,conifer,針葉樹；松柏類,,针叶树,104.11.09,2016-09-13
2697438,coniferous forest,針葉林,,针叶林,104.11.09,2016-09-13
2697439,coniferous tree,"針葉樹, 松柏類",,针叶树,104.11.09,2016-09-13
2697440,conifruticeta,針葉灌叢,,针叶灌木林,104.11.09,2016-09-13
2697441,conilignosa,針葉林,,针叶木本群落,104.11.09,2016-09-13
2697442,conisilvae,針葉喬木林,,针叶乔木林,104.11.09,2016-09-13
2697443,conjugate ecological planning,共軛生態規則,,共轭生态规划,104.11.09,2016-09-13
2697444,conjugate principle of risk and opportunity,最小風險原理,,最小风险原理,104.11.09,2016-09-13
2697445,conjugation,接合[生殖],,轭合作用,104.11.09,2016-09-13
2697446,connate water,原生水,,原有水,104.11.09,2016-09-13
2697447,connectedness food web,連通性食物網,,连通性食物炼,104.11.09,2016-09-13
2697448,connectivity,連接度；連通性,,连接度,104.11.09,2016-09-13
2697449,connectivity index,連接度指數,,连接度指数,104.11.09,2016-09-13
2697450,conservation,保育,,"保护,生物圈管理",104.11.09,2016-09-13
2697451,conservation biology,保育生物學,,保育生物学,104.11.09,2016-09-13
2697452,conservation ecology,保育生態學,,保护生态学,104.11.09,2016-09-13
2697453,conservation of nature,自然保育,,自然保护,104.11.09,2016-09-13
2697454,conservative endemism,遺存固有種,,遗存固有种,104.11.09,2016-09-13
2697455,consociation,單叢,,单优种群落,104.11.09,2016-09-13
2697456,consocies,演替系列單優種,,演替(系列)单优种群丛,104.11.09,2016-09-13
2697457,consociule,演替系列單優微生物,,小单优种群丛,104.11.09,2016-09-13
2697458,consort relationship,伴侶關係,,共生关系,104.11.09,2016-09-13
2697459,conspecific,同種的；同種個體,,同种的,104.11.09,2016-09-13
2697460,constance,恒存度,,恒有度,104.11.09,2016-09-13
2697461,constancy,恒存度；穩定性,,恒有度,104.11.09,2016-09-13
2697462,constant,常數,,常数,104.11.09,2016-09-13
2697463,constant species,恆存種；恆有種；常存種,,恒有种,104.11.09,2016-09-13
2697464,constitutive defense,固有防禦,,结构防御,104.11.09,2016-09-13
2697465,constitutive enzyme,組成酵素,,组成酶,104.11.09,2016-09-13
2697466,constraint equation,約束方程式,,约束方程,104.11.09,2016-09-13
2697467,constructed wetland system,構造溼地系統,,构造湿地系统,104.11.09,2016-09-13
2697468,constructive species,建群種,,建群种,104.11.09,2016-09-13
2697469,consumer,消費者,,消费者,104.11.09,2016-09-13
2697470,consumer chain,消費鏈,,消费链,104.11.09,2016-09-13
2697471,consumer-resource interaction,消費者-資源相互作用,,消费者-资源相互作用,104.11.09,2016-09-13
2697472,consummatory act,終結行動,,完了行为,104.11.09,2016-09-13
2697473,consummatory behavior,終結行為,,完成行为,104.11.09,2016-09-13
2697474,consumption,消耗量,,消耗量；摄食量(ingestion),104.11.09,2016-09-13
2697475,consumption efficiency{=CE},消費效率,,消费效率；利用效率(exploitation efficiency),104.11.09,2016-09-13
2697476,consumptive loop,損耗環,,损耗环,104.11.09,2016-09-13
2697477,contact chemicals,接觸性化學物質,,接触性化学物质,104.11.09,2016-09-13
2697478,contact insecticide,接觸性殺蟲劑,,触杀剂，接触杀虫剂,104.11.09,2016-09-13
2697479,contact poison,接觸毒,,接触性毒剂,104.11.09,2016-09-13
2697480,contact sex pheromone,接觸性性費洛蒙,,接触性信息素,104.11.09,2016-09-13
2697481,contagion,蔓延單位；傳染,,"蔓延度,聚集度",104.11.09,2016-09-13
2697482,contagious distribution,蔓延分佈，均勻分佈，叢生分佈,,"核心分布,蔓延分布",104.11.09,2016-09-13
2697483,contagious population,蔓延族群,,集群(分布)种群,104.11.09,2016-09-13
2697484,contagious process,蔓延過程,,蔓延过程,104.11.09,2016-09-13
2697485,contamination,沾染,,污染,104.11.09,2016-09-13
2697486,contest competition,對抗競爭,,对抗竞争,104.11.09,2016-09-13
2697487,contest-type competition,競賽競爭,,对抗竞争,104.11.09,2016-09-13
2697488,contiental drift hypothesis,大陸漂移假說,,大陆漂移假说,104.11.09,2016-09-13
2697489,continental,[大]陸性的,,"大陆的,大陆性的",104.11.09,2016-09-13
2697490,continental bridge hypothesis,陸橋假說,,陆桥假说,104.11.09,2016-09-13
2697491,continental drift,大陸漂移,,大陆漂移,104.11.09,2016-09-13
2697492,continental drift hypothesis,大陸漂移假說,,大陆漂移假说,104.11.09,2016-09-13
2697493,continental glacier,大陸性冰川,,大陆性冰川,104.11.09,2016-09-13
2697494,continental island,大陸性島嶼,,大陆岛,104.11.09,2016-09-13
2697495,continental margin,大陸邊緣,,大陆边缘,104.11.09,2016-09-13
2697496,continental rise,大陸隆起,,大陆隆,104.11.09,2016-09-13
2697497,continental shelf,大陸棚,,大陆架,104.11.09,2016-09-13
2697498,continental slope,大陸坡；大陸斜坡,,大陆坡,104.11.09,2016-09-13
2697499,continentality,陸性率,,陆性率,104.11.09,2016-09-13
2697500,continent-island model,大陸---島嶼模型,,大陆－岛屿模型,104.11.09,2016-09-13
2697501,contingency table,關連表,,列联表,104.11.09,2016-09-13
2697502,continuous community,連續性群集,,连续群落,104.11.09,2016-09-13
2697503,continuous cropping,連作,,连作,104.11.09,2016-09-13
2697504,continuous culture,連續培養,,连续培养,104.11.09,2016-09-13
2697505,continuous grazing,連續放牧；連續啃食,,"连续放牧,常年放牧",104.11.09,2016-09-13
2697506,continuous quadrat,連續樣區,,连续观察样方,104.11.09,2016-09-13
2697507,continuous random variable,連續性隨機變數,,连续随机变量,104.11.09,2016-09-13
2697508,continuous variation,連續變異,,连续变异,104.11.09,2016-09-13
2697509,continuously stable community,持續穩定性群集,,连续稳定性群落,104.11.09,2016-09-13
2697510,continuum,(群集)連續體,,"连续体,连续统",104.11.09,2016-09-13
2697511,continuum concept of vegetation,植被連續觀,,植被连续体概念,104.11.09,2016-09-13
2697512,continuum index,群集連續指數,,连续体指数,104.11.09,2016-09-13
2697513,contour cultivation,等高耕種,,等高耕作,104.11.09,2016-09-13
2697514,contour line,等高線,,等高线,104.11.09,2016-09-13
2697515,contour plowing,等高耕種,,等高耕作,104.11.09,2016-09-13
2697516,contour strip cropping,等高條作,,等高带状种植,104.11.09,2016-09-13
2697517,contrast,對比,,对比度,104.11.09,2016-09-13
2697518,control,對照,,"对照, 防治,管理,控制",104.11.09,2016-09-13
2697519,control point,對照點；控制點；三角點,,对照点,104.11.09,2016-09-13
2697520,control threshold,防治閾值；防治低限,,防治阈值；防治密度下限,104.11.09,2016-09-13
2697521,control threshold density,防止閾值密度,,防治阈值密度,104.11.09,2016-09-13
2697522,controlled burning,控制焚燒,,控制火烧,104.11.09,2016-09-13
2697523,convection,對流,,对流,104.11.09,2016-09-13
2697524,convectional current,對流性氣流；對流性水流,,对流性气流,104.11.09,2016-09-13
2697525,Convention on International Trade in Endangered Species of Wild Fauna and Flora{=CITES},瀕危野生動植物種國際貿易公約,,濒危野生动植物种国际贸易公约,104.11.09,2016-09-13
2697526,Convention on the Conservation of Migratory Species of Wild Animals{=CMS}{Bonn Convention},保護野生動物遷移物種公約；波昂公約,,保护野生动物迁徙物种公约；波恩公约(Bonn Convention),104.11.09,2016-09-13
2697527,Convention on Wetlands of International Importance Especially as Waterfowl Habitat; Ramsar Convention on Wetlands},國際重要水鳥棲地保護公約{溼地公約}；拉姆薩爾濕地公約,,关于特别是水禽栖息地的国际重要湿地公约；拉姆萨尔湿地公约(Ramsar Convention on Wetlands),104.11.09,2016-09-13
2697528,conventional competition,慣例性競爭,,通常竞争,104.11.09,2016-09-13
2697529,convergence,趨同,,"趋同,会聚,辐合,收敛",104.11.09,2016-09-13
2697530,convergent evolution,趨同演化,,趋同进化,104.11.09,2016-09-13
2697531,cooperation,互助；協同,,"合作,协作",104.11.09,2016-09-13
2697532,cooperative hunting,協同狩獵,,合作狩猎,104.11.09,2016-09-13
2697533,cooperative interaction,協同交互作用,,协同相互作用,104.11.09,2016-09-13
2697534,coordinates,座標,,坐标,104.11.09,2016-09-13
2697535,copepodite{copepodid larva},橈足類幼生,,桡足幼体,104.11.09,2016-09-13
2697536,Cope's rule,柯普法則,,科普法则,104.11.09,2016-09-13
2697537,coppice,矮林,,"矮林,萌生林,萌生树,萌生灌木,萌生林培育法",104.11.09,2016-09-13
2697538,coppice forest,矮林,,矮林,104.11.09,2016-09-13
2697539,coppice regeneration,萌芽更新,,萌芽更新,104.11.09,2016-09-13
2697540,coppicing,矮林作業,,"幼林萌生,萌生林培育法",104.11.09,2016-09-13
2697541,coprolite,糞化石,,粪化石,104.11.09,2016-09-13
2697542,coprometer,糞量測定器,,粪量测定器,104.11.09,2016-09-13
2697543,coprophagy,食糞性,,食粪性,104.11.09,2016-09-13
2697544,coprophilous vegetation,糞生植被,,粪生植被,104.11.09,2016-09-13
2697545,copse,矮樹叢,,"矮林,萌生林",104.11.09,2016-09-13
2697546,copse regeneration,萌芽更新,,萌芽更新,104.11.09,2016-09-13
2697547,copulation,交尾；交合,,"性交,交配,交尾",104.11.09,2016-09-13
2697548,copulatory behavio(u)r,交尾行為；交合行為,,交配行为,104.11.09,2016-09-13
2697549,coral,珊瑚,,珊瑚,104.11.09,2016-09-13
2697550,coral reef,珊瑚礁,,珊瑚礁,104.11.09,2016-09-13
2697551,coral reef ecosystem,珊瑚生態系,,珊瑚生态系统,104.11.09,2016-09-13
2697552,core area,核心區,,核域,104.11.09,2016-09-13
2697553,core habitat,核心漆地,,核心生境,104.11.09,2016-09-13
2697554,core temperature,體核溫度,,体核温度,104.11.09,2016-09-13
2697555,corm,球莖,,"球茎,球根",104.11.09,2016-09-13
2697556,cormlet,小球莖,,小球茎,104.11.09,2016-09-13
2697557,correlation,相關,,相关[性],104.11.09,2016-09-13
2697558,correlation coefficient,相關係數,,相关系数,104.11.09,2016-09-13
