ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3253722,"Rochberg, George",洛赫伯克,,1918-2005,美國,作曲,,2017-08-08
3253723,"Rockstro, William",洛克斯楚,,1823-1895,英國,鋼琴；作曲；音樂著作,,2017-08-08
3253724,"Rodas, Arturo",洛達斯,,1954-,厄瓜多爾,作曲,,2017-08-08
3253725,"Rode, (Jacques-) Pierre (Joseph)",羅德,,1774-1830,法國,小提琴；作曲,,2017-08-08
3253726,"Rodgers, Richard","羅傑斯,理查",,1902-1979,美國,作曲,,2017-08-08
3253727,"Rodrigo, Joaquín",羅德利哥,,1901-1999,西班牙,作曲,,2017-08-08
3253728,"Rodzinski, Artur",羅金斯基,,1892-1958,美國,指揮,波裔,2017-08-08
3253729,"Roemhildt, Johann Theodor",羅恩希爾特,,1684-1756,德國,作曲,,2017-08-08
3253730,"Rogé, Pascal",羅傑,,1951-,法國,鋼琴,,2017-08-08
3253731,"Roger-Ducasse, Jean-Jules (Aimable)",羅傑－狄卡斯,,1873-1954,法國,作曲,,2017-08-08
3253732,"Rogers, Bernard","羅傑斯,貝納德",,1893-1968,美國,作曲,,2017-08-08
3253733,"Rogers, James Hotchkiss","羅傑斯,詹姆士",,1857-1940,美國,作曲,,2017-08-08
3253734,"Rogers, Wayland","羅傑斯,魏蘭德",,1941-,美國,作曲,,2017-08-08
3253735,"Rogg, Lionel",洛格,,1936-,瑞士,管風琴,,2017-08-08
3253736,"Rogier, Philippe",羅希耶爾,,1561-1596,西班牙,作曲,,2017-08-08
3253737,"Roig, Gonzalo",羅伊,,1890-1970,古巴,作曲,,2017-08-08
3253738,"Roland-Manuel, Alexis",羅蘭－馬努埃,,1891-1966,法國,作曲,,2017-08-08
3253739,"Roldán, Amadeo",羅旦,,1900-1939,古巴,作曲；小提琴；指揮,,2017-08-08
3253740,"Rolfe, Johnson Anthony",羅菲,,1940-2010,英國,聲樂,男高音,2017-08-08
3253741,"Rolla, Alessandro",羅拉,,1757-1841,義大利,作曲,,2017-08-08
3253742,"Rolland, Romain",羅曼‧羅蘭,,1866-1944,法國,音樂學；樂評,,2017-08-08
3253743,"Rolón, José",羅隆,,1876-1945,墨西哥,作曲,,2017-08-08
3253744,"Roman, Johan Helmich",羅曼,,1694-1758,瑞典,作曲,,2017-08-08
3253745,"Romberg, Andreas Jakob","隆貝爾格,安德雷阿斯",,1767-1821,德國,小提琴,,2017-08-08
3253746,"Romberg, Bernhard Heinrich","隆貝爾格,伯恩哈德",,1767-1841,德國,大提琴；作曲,,2017-08-08
3253747,"Romberg, Sigmund","隆貝爾格,齊格蒙",,1887-1951,美國,作曲,匈裔,2017-08-08
3253748,"Romero, Celedonio",羅梅洛,,1913-1996,古巴,作曲,,2017-08-08
3253749,"Romig, James",羅米,,1971-,美國,作曲,,2017-08-08
3253750,"Ronald, Landon",羅納德,,1873-1938,英國,鋼琴；作曲；指揮,,2017-08-08
3253751,"Röntgen, Julius",倫特根,,1855-1932,德國,作曲；鋼琴；指揮,,2017-08-08
3253752,"Rootham, Cyril",盧塔姆,,1875-1938,英國,作曲,,2017-08-08
3253753,"Ropartz, Joseph Guy",羅帕茲,,1864-1955,法國,作曲；指揮,,2017-08-08
3253754,"Roper, Stanley",羅坡爾,,1878-1953,英國,管風琴；作曲,,2017-08-08
3253755,"Rorem, Ned",羅倫,,1923-,美國,作曲；鋼琴,,2017-08-08
3253756,"Rosa, Carl",羅撒,,1842-1889,德國,小提琴,,2017-08-08
3253757,"Rosas, Juventino",洛撒斯,,1868-1894,古巴,作曲,,2017-08-08
3253758,"Rosbaud, Hans",羅斯保德,,1895-1962,奧地利,指揮,,2017-08-08
3253759,"Roscigno, John",羅希紐,,1964-,美國,作曲,,2017-08-08
3253760,"Rose, Arnold",羅瑟,,1863-1946,奧地利,小提琴,,2017-08-08
3253761,"Rose, Bernard","羅斯,貝納德",,1916-1996,英國,管風琴；指揮；作曲,,2017-08-08
3253762,"Rose, Leonard","羅斯,雷歐納德",,1918-1984,美國,大提琴,,2017-08-08
3253763,"Roseingrave, Thomas",羅辛格瑞夫,,1688-1766,英國,管風琴；作曲,,2017-08-08
3253764,"Rosen, Charles","羅森,查爾斯",,1927-2012,美國,鋼琴；音樂著作,,2017-08-08
3253765,"Rosen, Max","羅森,馬克斯",,1900-1956,美國,小提琴,羅裔,2017-08-08
3253766,"Rosenberg, Hilding",羅森貝爾格,,1892-1985,瑞典,作曲；指揮,,2017-08-08
3253767,"Rosenmüller, Johann",羅森繆勒,,1619-1684,德國,作曲,,2017-08-08
3253768,"Rosenstock, Joseph",羅森斯托克,,1895-1985,美國,指揮；鋼琴,,2017-08-08
3253769,"Rosenthal, Manuel","羅森塔爾,馬努埃",,1904-2003,法國,指揮；作曲,,2017-08-08
3253770,"Rosenthal, Moriz","羅森塔爾,莫瑞茲",,1862-1946,奧地利,鋼琴,,2017-08-08
3253771,"Rosetti, Antonio",羅賽悌,,1750-1792,捷克,作曲,,2017-08-08
3253772,"Rosing, Vladimir",羅興,,1890-1963,美國,聲樂,俄裔男高音,2017-08-08
3253773,"Roslavetz(s), Nikolai",羅斯拉維茲,,1881-1944,俄國,作曲,,2017-08-08
3253774,"Rosner, Arnold",羅斯納,,1945-2013,美國,作曲,,2017-08-08
3253775,"Ross, Erik",羅斯，艾瑞克,,1972-,加拿大,作曲,,2017-08-08
3253776,"Ross, Susanna",羅絲,,1950-,英國,聲樂,女高音,2017-08-08
3253777,"Ross, Walter",羅斯˙華爾特,,1936-,美國,作曲,20121201修正,2017-08-08
3253778,"Rössel-Majdan, Hildegard",婁瑟－瑪伊丹,,1921-2010,奧地利,聲樂,女低音,2017-08-08
3253779,"Rossellini, Renzo",羅瑟利尼,,1908-1982,義大利,作曲,,2017-08-08
3253780,"Rossi, Lauro","羅西,勞羅",,1812-1885,義大利,作曲,,2017-08-08
3253781,"Rossi, Mario","羅西,馬里歐",,1902-1992,義大利,指揮,,2017-08-08
3253782,"Rossi, Salomone","羅西,沙羅莫內",,1570-1630,義大利,作曲,,2017-08-08
3253783,"Rossi-Lemeni, Nicola",羅西－雷梅尼,,1920-1991,義大利,聲樂,男低音,2017-08-08
3253784,"Rossini, Gioachino (Antonio)",羅西尼,,1792-1868,義大利,歌劇作曲,,2017-08-08
3253785,"Rostal, Max",羅斯托爾,,1905-1991,英國,小提琴,奧裔,2017-08-08
3253786,"Rostropovich, Mstislav",羅斯特羅波維契,,1927-2007,俄國,大提琴；指揮,,2017-08-08
3253787,"Rosvaenge, Helge",羅斯溫格,,1897-1972,丹麥,聲樂,男高音,2017-08-08
3253788,"Rota, Nino",羅塔,,1911-1979,義大利,作曲,,2017-08-08
3253789,"Roth, Daniel",羅特,,1942-,法國,管風琴,,2017-08-08
3253790,"Rothemüller, Marko",羅特繆勒,,1908-1993,南斯拉夫,聲樂,男中音,2017-08-08
3253791,"Rothenberger, Anneliese",羅藤貝格爾,,1924-2010,德國,聲樂,女高音,2017-08-08
3253792,"Rothman, Philip",羅斯曼,,1976-,美國,作曲,,2017-08-08
3253793,"Rothwell, Walter Henry",羅茲威爾,,1872-1927,美國,指揮；作曲；鋼琴,英裔,2017-08-08
3253794,"Rott, Hans",洛特,,1858-1884,澳大利亞,作曲,,2017-08-08
3253795,"Rouleau, Joseph Alfred",盧洛,,1929-,加拿大,聲樂,男低音,2017-08-08
3253796,"Rounseville, Robert",隆斯維爾,,1914-1974,美國,聲樂,男高音,2017-08-08
3253797,"Rouse, Christopher",盧瑟,,1949-,美國,作曲,,2017-08-08
3253798,"Rousseau, Jean-Jacques",羅梭,,1712-1778,法國,音樂著作；作曲,瑞士裔,2017-08-08
3253799,"Rousseau, Samuel-Alexandre",盧索,,1853-1904,法國,作曲；指揮,,2017-08-08
3253800,"Roussel, Albert",盧賽爾,,1869-1937,法國,作曲,,2017-08-08
3253801,"Routh, Francis",路斯,,1927-,英國,作曲；鋼琴；音樂著作,,2017-08-08
3253802,"Rovelli, Pietro",羅維里,,1793-1838,義大利,小提琴；作曲,,2017-08-08
3253803,"Rowicki, Witold",羅維茲基,,1914-1989,波蘭,指揮；作曲,,2017-08-08
3253804,"Rowley, Alec",羅利,,1892-1958,英國,作曲；鋼琴,,2017-08-08
3253805,"Roxburgh, Edwin",羅克斯堡,,1937-,英國,作曲；指揮,,2017-08-08
3253806,"Roy, Stéphane",羅瓦,,1959-,加拿大,作曲,,2017-08-08
3253807,"Rozé, Nicolas",羅澤,,1760-1823,法國,作曲,,2017-08-08
3253808,"Rozhdestvensky, Gennady",羅日傑斯特文斯基,,1931-,俄國,指揮,,2017-08-08
3253809,"Rozsa, Miklos",羅薩,,1907-1995,美國,作曲,匈裔,2017-08-08
3253810,"Rubbra, Edmund",盧布拉,,1901-1986,英國,作曲；鋼琴,,2017-08-08
3253811,"Rubens, Parl Alfred",魯本斯,,1875-1917,英國,作曲,,2017-08-08
3253812,"Rubini, Giovanni Battista",魯畢尼,,1794-1854,義大利,聲樂,男高音,2017-08-08
3253813,"Rubinstein, Anton","魯賓斯坦,安東",,1829-1894,俄國,鋼琴；作曲；指揮,,2017-08-08
3253814,"Rubinstein, Artur(Arthur)","魯賓斯坦,阿圖",,1887-1982,美國,鋼琴,波裔,2017-08-08
3253815,"Rubinstein, Beryl","魯賓斯坦,貝若",,1898-1952,美國,鋼琴；作曲,,2017-08-08
3253816,"Rubinstein, Nikolay","魯賓斯坦,尼古拉",,1835-1881,俄國,鋼琴；作曲,,2017-08-08
3253817,"Rudel, Julius",魯岱爾,,1921-2014,美國,指揮,奧裔,2017-08-08
3253818,"Ruders, Poul",魯德斯,,1949-,丹麥,作曲,,2017-08-08
3253819,"Rudersdorf, Hermine",魯德絲朵芙,,1822-1882,俄國,聲樂,女高音,2017-08-08
3253820,"Rudhyar, Dane",魯德哈爾,,1895-1985,美國,作曲,法裔,2017-08-08
3253821,"Rudin, Andrew",魯丁,,1939-,美國,作曲,,2017-08-08
3253822,"Rudolf, Jason",魯道夫,,1986-,美國,作曲,,2017-08-08
3253823,"Ruffo, Titta",魯佛,,1877-1953,義大利,聲樂,男中音,2017-08-08
3253824,"Ruggles, Carl",拉格斯,,1876-1971,美國,作曲,,2017-08-08
3253825,"Rumford, Kennerley",隆福特,,1870-1957,英國,聲樂,男中音,2017-08-08
3253826,"Rummel, Christian","隆梅爾,克里斯提安",,1787-1849,德國,鋼琴；作曲,,2017-08-08
3253827,"Rummel, Franz","隆梅爾,弗朗茲",,1853-1901,德國,鋼琴,,2017-08-08
3253828,"Rummel, Walter Morse","隆梅爾,瓦特",,1887-1953,德國,鋼琴；作曲,,2017-08-08
3253829,"Rupert, Chris",魯珀特,,1965-,加拿大,作曲,,2017-08-08
3253830,"Rusager, Knutage",盧薩格,,1897-1974,丹麥,作曲,,2017-08-08
3253831,"Rush, Tracey",拉許,,1955-,美國,作曲,,2017-08-08
3253832,"Russell, Henry","盧瑟爾,亨利",,1812-1900,英國,作曲；鋼琴,,2017-08-08
3253833,"Russell, Willian","盧瑟爾,威廉",,1777-1813,英國,管風琴；作曲,,2017-08-08
3253834,"Russo, William",拉梭,,1928-2003,美國,作曲,,2017-08-08
3253835,"Russolo, Luigi",盧梭洛,,1885-1947,義大利,作曲,,2017-08-08
3253836,"Rust, Friedrich Wilhelm","盧斯特,弗里德利希",,1739-1796,德國,作曲；小提琴,,2017-08-08
3253837,"Rust, Wilhelm","盧斯特,威翰",,1822-1892,德國,作曲；管風琴；鋼琴,,2017-08-08
3253838,"Rust, Wilhelm Karl","盧斯特,威翰‧卡爾",,1787-1855,德國,作曲；鋼琴,,2017-08-08
3253839,"Rutter, John",魯特,,1945-,英國,作曲；指揮,,2017-08-08
3253840,"Ruyneman, Daniël",路易內曼,,1886-1963,荷蘭,作曲,,2017-08-08
3253841,"Ryba, Jan Jakub",呂巴,,1765-1815,捷克,作曲,,2017-08-08
3253842,"Ryden, William",萊登,,1939-,美國,作曲,,2017-08-08
3253843,"Ryelandt, Joseph",呂蘭德特,,1870-1965,比利時,作曲,,2017-08-08
3253844,"Ryom, Peter",呂翁,,1937-,丹麥,音樂學,,2017-08-08
3253845,"Ryusuke, Numajiri",沼尻龍典,,1964-,日本,指揮,,2017-08-08
3253846,"Rzewski, Frederic",策夫斯基,,1938-,美國,作曲；鋼琴,,2017-08-08
3253847,"Saariaho, Kaija",薩里亞后,,1952-,芬蘭,作曲,,2017-08-08
3253848,"Sabata, Victor de",薩巴塔,,1892-1967,義大利,作曲,,2017-08-08
3253849,"Sabathil, Ferdinand",薩巴悌爾,,1852-1937,捷克,作曲,,2017-08-08
3253850,"Sabbatini, Galeazzo","薩巴悌尼,加雷阿佐",,1597-1662,義大利,作曲,,2017-08-08
3253851,"Sabbatini, Luigi Antonio","薩巴悌尼,路易吉",,1732-1809,義大利,音樂理論；作曲,,2017-08-08
3253852,"Sabicas (Castellón Campos), Agustin",薩比卡斯,,1912-1990,西班牙,作曲；弗拉門哥吉他,,2017-08-08
3253853,"Sabra , Wadih",薩布拉,,1876-1952,黎巴嫩,作曲；音樂理論,,2017-08-08
3253854,"Sacchini, Antonio (Maria Gasparo)",薩基尼,,1730-1786,義大利,作曲,,2017-08-08
3253855,"Sacher, Paul",札赫爾,,1906-1999,瑞士,指揮,,2017-08-08
3253856,"Sachs, Curt",札赫斯,,1881-1959,德國,音樂學,,2017-08-08
3253857,"Sachse, Ernst",札赫澤,,1810-1849,美國,作曲,德裔,2017-08-08
3253858,"Sackman, Nicholas",薩克曼,,1950-,英國,作曲,,2017-08-08
3253859,"Sadai, Yizhak",薩達伊,,1935-,以色列,作曲,保裔,2017-08-08
3253860,"Saegusa, Shigeaki",三枝成彰,,1942-,日本,作曲,,2017-08-08
3253861,"Safonov, Vasily",薩弗諾夫,,1852-1918,俄國,鋼琴；指揮,,2017-08-08
3253862,"Sager, Brian",薩黑爾,,1964-,阿根廷,作曲,,2017-08-08
3253863,"Sagreras, Julio Salvador",薩格雷拉斯,,1879-1942,阿根廷,作曲；吉他,,2017-08-08
3253864,"Saikkola, Lauri",賽科拉,,1906-1995,芬蘭,作曲,,2017-08-08
3253865,"Saint-Saëns, Camille",聖桑斯,,1835-1921,法國,作曲,,2017-08-08
3253866,"Saintis, Armand",桑提斯,,1822-1894,法國,作曲,,2017-08-08
3253867,"Sainton, Prosper",桑通,,1813-1890,法國,小提琴；作曲,,2017-08-08
3253868,"Sainton-Dolby, Charlotte",桑頓－多比,,1821-1885,英國,聲樂；作曲,女低音,2017-08-08
3253869,"Saito, Akiko",齋藤明子,,1968-,日本,吉他,,2017-08-08
3253870,"Saito, Hideo",齋藤秀雄,,1902-1974,日本,大提琴；指揮,,2017-08-08
3253871,"Sakamoto, Ryuichi",坂本龍一,,1952-,日本,作曲,,2017-08-08
3253872,"Sakellarides, Leonidas",薩克拉里德斯,,1978-,希臘,作曲,,2017-08-08
3253873,"Salazar, Adolfo","撒拉薩爾,阿多佛",,1890-1958,西班牙,音樂學；作曲,,2017-08-08
3253874,"Salazar, António de","撒拉薩爾,安東尼歐",,1650-1715,墨西哥,作曲,西裔,2017-08-08
3253875,"Sáles, Monica",薩莉絲,,1979-,美國,作曲,,2017-08-08
3253876,"Saléza, Albert",薩雷札,,1867-1916,法國,聲樂,男高音,2017-08-08
3253877,"Salieri, Antonio",薩里耶利,,1750-1825,義大利,作曲,,2017-08-08
3253878,"Salignac, Thomas",薩利尼亞克,,1867-1945,法國,聲樂,男高音,2017-08-08
3253879,"Saljic, Bojana",撒吉克,,1978-,斯洛維尼亞,作曲,,2017-08-08
3253880,"Sallinen, Aulis",薩利能,,1935-,芬蘭,作曲,,2017-08-08
3253881,"Salmenhaara, Erkki",薩門哈拉,,1941-2002,芬蘭,作曲；音樂學,,2017-08-08
3253882,"Salmhofer, Franz",薩姆賀佛,,1900-1975,奧地利,作曲；指揮,,2017-08-08
3253883,"Salmond, Felix",薩蒙德,,1888-1952,英國,大提琴,,2017-08-08
3253884,"Salomon, Johan Peter","薩洛蒙,約翰",,1745-1815,德國,小提琴；音樂經理；作曲,,2017-08-08
3253885,"Salomon, Karel","薩洛蒙,卡瑞爾",,1897-1974,以色列,作曲；指揮；聲樂,男中音,2017-08-08
3253886,"Salonen, Esa-Pekka",薩洛能,,1958-,芬蘭,作曲；指揮,,2017-08-08
3253887,"Salter, Lionel",薩爾特,,1914-2000,英國,鋼琴；作曲；指揮；著作,,2017-08-08
3253888,"Salulini, Paolo",薩魯利尼,,1709-1780,義大利,作曲,,2017-08-08
3253889,"Salviucci, Giovanni",薩維悟契,,1907-1937,義大利,作曲,,2017-08-08
3253890,"Salzédo, Carlos",薩爾采多,,1885-1961,美國,豎琴；作曲,法裔,2017-08-08
3253891,"Salzedo, Leonard",薩爾澤多,,1921-2000,英國,作曲,葡裔,2017-08-08
3253892,"Salzman, Eric",薩爾茲曼,,1933-,美國,作曲；音樂學,,2017-08-08
3253893,"Samama, Leo",薩馬瑪,,1951-,荷蘭,作曲,,2017-08-08
3253894,"Samaroff, Olga",薩瑪洛芙,,1882-1948,美國,鋼琴,,2017-08-08
3253895,"Samazeuilh, Gustave",薩瑪澤伊,,1877-1967,法國,作曲；音樂學,,2017-08-08
3253896,"Saminsky, Lazare",薩敏斯基,,1882-1959,美國,作曲；指揮；音樂學,俄裔,2017-08-08
3253897,"Sammarco, Mario",薩馬可,,1868-1930,義大利,聲樂,男中音,2017-08-08
3253898,"Sammartini, Giuseppe","薩瑪悌尼,朱塞佩",,1695-1750,義大利,作曲,,2017-08-08
3253899,"Sammell, Clara",薩梅爾,,1858-1920,英國,聲樂,女高音,2017-08-08
3253900,"Sammons, Albert",薩蒙斯,,1886-1957,英國,小提琴；作曲,,2017-08-08
3253901,"Samuel, Harold",薩繆爾,,1879-1937,英國,鋼琴,,2017-08-08
3253902,"Sanabria, Juan José Falcón",桑納布里雅,,1936-,西班牙,作曲,,2017-08-08
3253903,"Sanchez de Fuentes, Eduardo",桑傑斯‧德‧芬德斯,,1874-1944,古巴,作曲,,2017-08-08
3253904,"Sande, Jim",桑德,,1953-,美國,作曲,,2017-08-08
3253905,"Sanders, John (Derek)",桑德斯,,1933-2003,英國,作曲；管風琴；指揮,,2017-08-08
3253906,"Sanderson, Sibyl",桑德森,,1865-1903,美國,聲樂,女高音,2017-08-08
3253907,"Sandí Meneses, Luis",桑第‧梅內謝斯,,1905-1996,墨西哥,作曲,,2017-08-08
3253908,"Sandor, György",桑多爾,,1912-2005,美國,鋼琴,匈裔,2017-08-08
3253909,"Sandoval, Carlos",桑多瓦爾,,1956-,墨西哥,作曲,,2017-08-08
3253910,"Sandrin, Pierre",桑德然,,1490-1561,法國,作曲,,2017-08-08
3253911,"Sandroff, Howard",桑卓夫,,1949-,美國,作曲,,2017-08-08
3253912,"Sanromá, Jesús María",桑羅馬,,1902-1984,波多黎各,鋼琴,,2017-08-08
3253913,"Santa Cruz, Domingo",桑塔克路斯,,1899-1987,智利,作曲,,2017-08-08
3253914,"Santley, Charles",桑特利,,1834-1922,英國,聲樂,男中音,2017-08-08
3253915,"Santoliquido, Francesco",桑托利桂多,,1883-1971,義大利,作曲,,2017-08-08
3253916,"Santoro, Cláudio",桑托洛,,1919-1989,巴西,作曲；小提琴,,2017-08-08
3253917,"Sanz, Gaspar",桑斯,,1640-1710,西班牙,作曲；吉他,,2017-08-08
3253918,"Sanzogno, Nino",桑佐紐,,1911-1983,義大利,指揮,,2017-08-08
3253919,"Sapelnikov, Vassily",薩培尼科夫,,1867-1941,俄國,鋼琴；作曲,,2017-08-08
3253920,"Sapieyevski, Jerzy",薩匹耶夫斯基,,1945-,波蘭,作曲；指揮,,2017-08-08
3253921,"Sarasate, Pablo de",薩拉沙特,,1844-1908,西班牙,小提琴；作曲,,2017-08-08
3253922,"Sargent, Malcolm",薩金特,,1895-1967,英國,指揮,,2017-08-08
3253923,"Sarti, Giuseppe",薩爾悌,,1729-1802,義大利,作曲,,2017-08-08
3253924,"Sass, Sylvia",薩絲,,1951-,匈牙利,聲樂,女高音,2017-08-08
3253925,"Satie, Erik",薩悌,,1866-1925,法國,作曲,,2017-08-08
3253926,"Sato, Masahiko",佐藤允彥,,1931-,日本,作曲,,2017-08-08
3253927,"Sato, Shinobu",佐藤忍,,1952-,日本,女高音,,2017-08-08
3253928,"Sato, Somei",佐藤聰明,,1947-,日本,作曲,,2017-08-08
3253929,"Sato, Toshinao",佐藤敏直,,1936-,日本,作曲,,2017-08-08
3253930,"Sauer, Emil von","邵爾,艾米爾",,1862-1942,德國,鋼琴,,2017-08-08
3253931,"Sauer, Maud","邵爾,茂特",,1952-,德國,作曲,,2017-08-08
3253932,"Sauguet, Henri",索蓋,,1901-1989,法國,作曲,,2017-08-08
3253933,"Sauret, Emile",索列,,1852-1920,法國,小提琴；作曲,,2017-08-08
3253934,"Savaskan, Sinan Carter",薩瓦斯肯,,1954-,英國,作曲,,2017-08-08
3253935,"Savasta, Antonio",薩瓦斯塔,,1873-1959,義大利,作曲,,2017-08-08
3253936,"Savel'ev, Boris Vladimirovich",薩維列夫,,1896-1966,俄國,作曲,,2017-08-08
3253937,"Sawallisch, Wolfgang",札瓦利許,,1923-2013,德國,指揮；鋼琴,,2017-08-08
3253938,"Sax, Adolphe",薩克斯,,1814-1894,比利時,樂器製造,,2017-08-08
3253939,"Saygun, Ahmed Adnan",賽貢,,1907-1991,土耳其,作曲；指揮；民族音樂學,,2017-08-08
3253940,"Sbriglia, Giovanni",茲布里利亞,,1829-1916,義大利,聲樂,男高音,2017-08-08
3253941,"Scalero, Rosario",斯卡列羅,,1870-1954,義大利,小提琴；作曲,,2017-08-08
3253942,"Scandello, Antonio",斯坎代羅,,1517-1580,義大利,作曲,,2017-08-08
3253943,"Scarlatti, Alessandro","斯卡拉第,亞歷山大",,1660-1725,義大利,作曲,,2018-04-17
3253944,"Scarlatti, Domenico","斯卡拉第,多梅尼科",,1685-1757,義大利,鋼琴；作曲,,2017-08-08
3253945,"Scarlatti, Giuseppe","斯卡拉第,朱塞佩",,1718-1777,義大利,作曲,,2017-08-08
3253946,"Scartabello, Peter",斯卡它貝羅,,1972-,美國,作曲,,2017-08-08
3253947,"Scelsi, Giacinto",謝爾希,,1905-1988,義大利,作曲,,2017-08-08
3253948,"Schack, Benedikt",夏克,,1758-1826,奧地利,聲樂；作曲；長笛,男高音,2017-08-08
3253949,"Schaeffer, Pierre",薛費爾,,1910-1995,法國,作曲,,2017-08-08
3253950,"Schafer, Dirk","謝弗,迪克",,1873-1931,荷蘭,鋼琴；作曲,,2017-08-08
3253951,"Schafer, R. Murray","謝弗,莫瑞",,1933-,加拿大,作曲,,2017-08-08
3253952,"Schäffer, Boguslaw","謝弗,伯古斯勞",,1929-,波蘭,作曲,,2017-08-08
3253953,"Schaffrath, Christoph",夏弗拉特,,1709-1763,德國,作曲,,2017-08-08
3253954,"Schalk, Franz",夏爾克,,1863-1931,奧地利,指揮,,2017-08-08
3253955,"Scharrer, Irene",夏瑞爾,,1888-1971,英國,鋼琴,,2017-08-08
3253956,"Scharwenka, Philipp","夏溫卡,菲利普",,1847-1917,德國,作曲,波裔,2017-08-08
3253957,"Scharwenka, Xaver","夏溫卡,克撒維爾",,1850-1924,波蘭,作曲；鋼琴,,2017-08-08
3253958,"Schat, Peter",夏特,,1935-2003,荷蘭,作曲,,2017-08-08
3253959,"Scheibe, Johann Adolf",夏伊伯,,1708-1776,德國,作曲,,2017-08-08
3253960,"Scheidemann, Heinrich",夏伊德曼,,1595-1663,德國,管風琴；作曲,,2017-08-08
3253961,"Scheidt, Samuel",夏伊特,,1587-1654,德國,作曲,,2017-08-08
3253962,"Schein, Johann Hermann",夏伊恩,,1586-1630,德國,作曲,,2017-08-08
3253963,"Schelling, Ernest",謝林,,1876-1939,美國,鋼琴；作曲；指揮,,2017-08-08
3253964,"Schenk, Johann Baptist",申克,,1753-1836,奧地利,作曲,,2017-08-08
3253965,"Schenker, Friedrich","申克爾,弗里德利希",,1942-2013,德國,作曲,,2017-08-08
3253966,"Schenker, Heinrich","申克爾,海因利希",,1868-1935,奧地利,音樂理論,,2017-08-08
3253967,"Scherber, Martin",謝爾伯,,1907-1974,德國,作曲,,2017-08-08
3253968,"Scherchen, Hermann",謝爾亨,,1891-1966,德國,指揮,,2017-08-08
3253969,"Scherchen-Hsiao, Tona",謝爾亨－(蕭桐),,1938-,法國,作曲,德裔,2017-08-08
3253970,"Schibler, Armin",席伯勒,,1920-1986,瑞士,作曲,,2017-08-08
3253971,"Schickele, Peter",席克勒,,1935-,美國,作曲,,2017-08-08
3253972,"Schidlowsky, Leon",席德洛夫斯基,,1931-,以色列,作曲,智裔,2017-08-08
3253973,"Schidolf, Peter",席朵夫,,1922-,英國,中提琴；小提琴,奧裔,2017-08-08
3253974,"Schiff, Andras",席夫,,1953-,匈牙利,鋼琴,,2017-08-08
3253975,"Schifrin, Lalo",席夫凌,,1932-,阿根廷,作曲,,2017-08-08
3253976,"Schiller, Allan",席勒,,1943-,英國,鋼琴,,2017-08-08
3253977,"Schillinger, Joseph",席林格,,1895-1943,美國,音樂理論；作曲；指揮,俄裔,2017-08-08
3253978,"Schillings, Max von",席林斯,,1868-1933,德國,作曲；指揮,,2017-08-08
3253979,"Schindelmeisser, Louis",辛德麥瑟,,1811-1864,德國,作曲,,2017-08-08
3253980,"Schindler, Anton Felix","辛德勒,安東",,1795-1864,奧地利,小提琴；指揮；音樂學,,2017-08-08
3253981,"Schindler, Kurt","辛德勒,庫爾特",,1882-1935,美國,指揮；作曲,德裔,2017-08-08
3253982,"Schipa, Tito",斯基帕,,1888-1965,義大利,聲樂,男高音,2017-08-08
3253983,"Schippers, Thomas",席珀斯,,1930-1977,美國,指揮,,2017-08-08
3253984,"Schirmer, Gustav",席爾默,,1829-1893,美國,音樂出版,,2017-08-08
3253985,"Schiske, Karl",席斯克,,1916-1969,匈牙利,作曲,,2017-08-08
3253986,"Schiuma, Alfredo",秀瑪,,1885-1963,阿根廷,作曲,,2017-08-08
3253987,"Schjelderup, Gerhard",施德儒普,,1859-1933,挪威,作曲,,2017-08-08
3253988,"Schlesinger, Kathleen",施勒辛格,,1862-1953,愛爾蘭,音樂學,,2017-08-08
3253989,"Schlick, Arnolt","施利克,阿諾特",,1460-1521,德國,管風琴；作曲,,2017-08-08
3253990,"Schlick, Johann","施利克,約翰",,1759-1825,德國,大提琴；作曲,,2017-08-08
3253991,"Schlusnus, Heinrich",施魯斯努斯,,1888-1952,德國,聲樂,男中音,2017-08-08
3253992,"Schmedes, Erik",施梅德斯,,1866-1931,丹麥,聲樂,男高音,2017-08-08
3253993,"Schmelzer, Johann Heinrich",施梅爾哲,,1620-1680,奧地利,作曲；小提琴,,2017-08-08
3253994,"Schmid, Erich",施密德,,1907-2000,瑞士,作曲,,2017-08-08
3253995,"Schmidt, Franz","施密特,弗朗茲",,1874-1939,奧地利,作曲；指揮；鋼琴；大提琴,,2017-08-08
3253996,"Schmidt, Joseph","施密特,約瑟夫",,1904-1942,羅馬尼亞,聲樂,男高音,2017-08-08
3253997,"Schmidt, Ole","施密特,歐勒",,1928-2010,丹麥,指揮；作曲,,2017-08-08
3253998,"Schmidt, William","施密特,威廉",,1926-2009,美國,作曲,,2017-08-08
3253999,"Schmidt-Isserstedt, Hans",施密特－易瑟斯泰特,,1900-1973,德國,指揮；作曲,,2017-08-08
3254000,"Schmieder, Wolfgang",施密德爾,,1901-1990,德國,音樂目錄學,,2017-08-08
3254001,"Schmitt, Aloys","施米特,阿洛伊斯",,1788-1866,德國,鋼琴；作曲,,2017-08-08
3254002,"Schmitt, Florent","施米特,弗洛杭",,1870-1958,法國,作曲,,2017-08-08
3254003,"Schmitz, Élie",施密茲,,1889-1949,法國,鋼琴,,2017-08-08
