ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3238074,caprice {Fr.},隨想曲,,法˙英,,2017-08-08
3238075,caractéristique de tonalité {Fr.},調性特色,,法,,2017-08-08
3238076,caramba {Sp.},卡林巴樂弓,,西,,2017-08-08
3238077,caratteristica di chiave {It.},調性特色,,義,,2017-08-08
3238078,carcelera {Sp.},卡謝列拉歌,,西,,2017-08-08
3238079,carillon {Fr.},排鐘,,法,,2017-08-08
3238080,carimba {Sp.},卡林巴樂弓,,西,,2017-08-08
3238081,carmagnole {Fr.},卡馬紐爾歌曲 ｛法｝,,法,,2017-08-08
3238082,carmen {Lat.},歌；歌曲,,拉,,2017-08-08
3238083,Carmina burana {Lat.},布倫詩歌集,,拉,,2017-08-08
3238084,carnavalito {Sp.},卡納瓦利多舞曲｛西｝,,西,,2017-08-08
3238085,carol,耶誕頌歌；卡洛爾舞歌,,英,,2017-08-08
3238086,carola {It.},卡洛爾舞歌,,義,,2017-08-08
3238087,carole {Lat.},卡洛爾舞歌,,拉,,2017-08-08
3238088,carrée {Fr.},倍全音符,,法,,2017-08-08
3238089,cartonium,機械簧風琴,,英,,2017-08-08
3238090,cartridge,唱頭；唱機,,英,,2017-08-08
3238091,cascabeles {Sp.},串鈴（祕魯）,,西,,2017-08-08
3238092,cascarda {It.},卡斯卡爾達舞曲,,義,,2017-08-08
3238093,cassa dei bischeri {It.},弦軫斗（弦庫）,,義,,2017-08-08
3238094,cassa di legno {It.},木魚,,義,,2017-08-08
3238095,cassa rullante {It.},次中音鼓,,義,,2017-08-08
3238096,cassa {It.},鼓,,義,,2017-08-08
3238097,cassation {Fr.},輕組曲,,英˙法,,2017-08-08
3238098,cassazione {It.},輕組曲,,義,,2017-08-08
3238099,cassette {Fr.},卡式錄音帶,,法,,2017-08-08
3238100,castagnette {It.},響板,,義,,2017-08-08
3238101,castagnettes {Fr.},響板,,法,,2017-08-08
3238102,castañetas {Sp.},響板,,西,,2017-08-08
3238103,castanets,響板,,英,,2017-08-08
3238104,castrato {It.},閹歌手,,義,,2017-08-08
3238105,cat's Fugue,小貓復格,,英,,2017-08-08
3238106,catch,幽默輪唱曲,,英,,2017-08-08
3238107,catégorie des voix {Fr.},聲音類別,,法,,2017-08-08
3238108,catégories esthétiques {Fr.},美的範疇,,法,,2017-08-08
3238109,categories of voice,聲音類別,,英,,2017-08-08
3238110,catena {It.},低音樑,,義,,2017-08-08
3238111,cathedral music,天主教音樂,,英,,2017-08-08
3238112,cauda {Lat.},尾部；尾腔,,拉,,2017-08-08
3238113,cavalletta {It.},跑馬歌,,義,,2017-08-08
3238114,cavaquinho {Por.},四弦小型吉他,,葡,,2017-08-08
3238115,cavata {It.},小曲｛吟誦調結尾段｝,,義,,2017-08-08
3238116,cavatina {It.},抒情短歌；短曲,,義,,2017-08-08
3238117,cavatine {Fr.},抒情短歌；短曲,,法,,2017-08-08
3238118,cavité de résonance {Fr.},共鳴腔,,法,,2017-08-08
3238119,cebell,西貝爾曲式,,英,,2017-08-08
3238120,Cecilian movement,賽西莉亞運動,,英,,2017-08-08
3238121,cédez {Fr.},漸慢漸弱,,法,,2017-08-08
3238122,ceja {Sp.},複弦（絃）按法｛吉他｝,,西,,2017-08-08
3238123,celempung {Id.},賽隆潘琴（印尼）,,印尼,,2017-08-08
3238124,celere {It.},快速的；迅速的,,義,,2017-08-08
3238125,celesta,鋼片琴,,英,,2017-08-08
3238126,celestina stop,賽雷斯提那音栓,,英,,2017-08-08
3238127,cello,大提琴,,英,,2017-08-08
3238128,cellone {It.},切羅內提琴,,義,,2017-08-08
3238129,cembalo da arco {It.},有弓鍵盤樂器,,義,,2017-08-08
3238130,cembalo verticale {It.},直立式大鍵琴,,義,,2017-08-08
3238131,Cembalo {Ger.},大鍵琴,,德,,2017-08-08
3238132,cembalo {It.},大鍵琴,,義,,2017-08-08
3238133,cent,音分,,英,,2017-08-08
3238134,centitone,百分之一音(平均律),,英,,2017-08-08
3238135,cento {Lat.},選粹作品,,拉,,2017-08-08
3238136,centone {It.},選粹作品,,義,,2017-08-08
3238137,centonization,集句法,,英,,2017-08-08
3238138,cercar la nota {It.},搜索音,,義,,2017-08-08
3238139,cercle harmonique {Fr.},五度圈,,法,,2017-08-08
3238140,Ces {Ger.},降Ｃ,,德,,2017-08-08
3238141,Ceses {Ger.},重降Ｃ音,,德,,2017-08-08
3238142,cetera {It.},齊特拉琴（中世紀魯特琴）,,義,,2017-08-08
3238143,ceterone {It.},大魯特琴；大吉他,,義,,2017-08-08
3238144,cetra da tavola {It.},齊特拉琴,,義,,2017-08-08
3238145,cetula,古西特琴,,英,,2017-08-08
3238146,ch'in,琴；古琴,,英,,2017-08-08
3238147,cha cha chá {Spa.},恰恰舞曲,,西,,2017-08-08
3238148,chacarera {Sp.},恰卡雷拉舞曲,,西,,2017-08-08
3238149,chaconne {It.}{Fr.},夏康舞曲,,義˙法,,2017-08-08
3238150,chair organ,座位管風琴,,英,,2017-08-08
3238151,Chakhe,查克琴（泰國）,,泰國,,2017-08-08
3238152,chalemelle {Fr.},蕭姆管,,法,,2017-08-08
3238153,chalemie {Fr.},蕭姆管,,法,,2017-08-08
3238154,chaleureux {Fr.}{It.},熱切的；熱烈的；熱情的,,法,,2017-08-08
3238155,chalmeye,蕭姆管,,英,,2017-08-08
3238156,chalumeau {Fr.},古單簧管；單簧管低音區,,法,,2017-08-08
3238157,cham,假面劇（西藏）,,西藏,,2017-08-08
3238158,chamber cantata,室內康塔塔,,英,,2017-08-08
3238159,chamber concert,室內音樂會,,英,,2017-08-08
3238160,chamber concerto,室內協奏曲,,英,,2017-08-08
3238161,chamber music,室內樂,,英,,2017-08-08
3238162,chamber opera,室內歌劇,,英,,2017-08-08
3238163,chamber orchestra,室內管弦（絃）樂團；室內合奏團,,英,,2017-08-08
3238164,chamber pitch,室內音高,,英,,2017-08-08
3238165,chamber sonata,室內奏鳴曲,,英,,2017-08-08
3238166,chamber symphony,室內交響曲,,英,,2017-08-08
3238167,champ audible {Fr.},聽域,,法,,2017-08-08
3238168,champ sonore {Fr.},音場,,法,,2017-08-08
3238169,chan'go,杖鼓（韓）,,韓,,2017-08-08
3238170,chance chord,偶成和弦,,英,,2017-08-08
3238171,chance music,機遇音樂,,英,,2017-08-08
3238172,change ringing,鐘鳴變化,,英,,2017-08-08
3238173,change-ringing,鐘鳴變化,,英,,2017-08-08
3238174,changement enharmonique {Fr.},等音變換,,法,,2017-08-08
3238175,changing note,倚音,,英,,2017-08-08
3238176,changing tone,換音,,英,,2017-08-08
3238177,channel,頻道,,英,,2017-08-08
3238178,chanson à parties {Fr.},和聲歌曲,,法,,2017-08-08
3238179,chanson allemande {Fr.},德國歌曲,,法,,2017-08-08
3238180,chanson de geste {Fr.},英雄讚歌,,法,,2017-08-08
3238181,chanson de toile {Fr.},紡織歌,,法,,2017-08-08
3238182,chanson de troupier {Fr.},大兵歌曲,,法,,2017-08-08
3238183,chanson messe {Fr.},香頌彌撒,,法,,2017-08-08
3238184,chanson monologue {Fr.},獨白香頌,,法,,2017-08-08
3238185,Chanson populaire {Fr.},民歌；民謠,,法,,2017-08-08
3238186,chanson sans paroles {Fr.},無言歌,,法,,2017-08-08
3238187,chanson strophique {Fr.},反復歌；詩節式歌曲,,法,,2017-08-08
3238188,chanson {Fr.},歌曲；香頌,,法,,2017-08-08
3238189,chansonnier {Fr.},香頌歌集,,法,,2017-08-08
3238190,chant,聖歌｛素歌｝,,英,,2017-08-08
3238191,chant donnée {Fr.},指定旋律,,法,,2017-08-08
3238192,chant funèbre {Fr.},輓歌,,法,,2017-08-08
3238193,chant gallican {Fr.},高盧聖歌,,法,,2017-08-08
3238194,chant grégorien {Fr.},葛雷果聖歌,,法,,2017-08-08
3238195,chant mozarabe {Fr.},莫薩拉伯聖歌,,法,,2017-08-08
3238196,chant national {Fr.},民歌,,法,,2017-08-08
3238197,chant pastoral {Fr.},牧歌,,法,,2017-08-08
3238198,chant syrien {Fr.},敘利亞聖歌,,法,,2017-08-08
3238199,chant {Fr.},歌；歌唱；歌曲,,法,,2017-08-08
3238200,chanter,旋律管(風笛),,英,,2017-08-08
3238201,chanterelle {Fr.},最高音弦；旋律弦（班究琴）,,法,,2017-08-08
3238202,Chantilly codex,香替伊抄本,,英,,2017-08-08
3238203,chanty,水手歌；水手工作歌,,英,,2017-08-08
3238204,chāp,查普（泰國鈸）,,英,,2017-08-08
3238205,chapeau chinois {Fr.},塔架鈴；鈴仗｛土耳其｝,,法,,2017-08-08
3238206,chapel,小教堂；聖歌隊；宮廷音樂組合,,英,,2017-08-08
3238207,chapelle {Fr.},小教堂；聖歌隊；宮廷音樂組合,,法,,2017-08-08
3238208,character,音樂記號,,英,,2017-08-08
3238209,character piece,特性曲；特性作品,,英,,2017-08-08
3238210,characteristic piece,散曲,,英,,2017-08-08
3238211,Charakterstück {Ger.},特性曲；特性作品,,德,,2017-08-08
3238212,charamela {Por.},恰拉梅拉管,,葡,,2017-08-08
3238213,charango {Sp.},恰朗哥琴,,西,,2017-08-08
3238214,charivari {Fr.},玩笑音樂,,法,,2017-08-08
3238215,charleston,查斯頓舞,,英,,2017-08-08
3238216,charrd of the augmented fifth,增五和絃,,英,,2017-08-08
3238217,chartar,查塔琴,,英,,2017-08-08
3238218,chase,追奏｛爵士樂｝,,英,,2017-08-08
3238219,chasse {Fr.},獵歌,,法,,2017-08-08
3238220,chastushka {Rus.},查斯杜西卡,,俄,,2017-08-08
3238221,chef d'orchestre {Fr.},指揮,,<p>法</p>,,2017-08-08
3238222,chef de pupitre {Fr.},樂團首席,,法,,2017-08-08
3238223,chegança {Por.},戲劇舞蹈,,葡,,2017-08-08
3238224,cheironomie {Fr.},手勢音符,,法,,2017-08-08
3238225,Cheironomie {Ger.},手勢音符,,德,,2017-08-08
3238226,chekker,傑卡琴,,英,,2017-08-08
3238227,chest of viols,古提琴箱,,英,,2017-08-08
3238228,chest voice,胸聲,,英,,2017-08-08
3238229,chest-register,胸聲區,,英,,2017-08-08
3238230,chest-resonant,胸腔共鳴,,英,,2017-08-08
3238231,chest-tone,胸音,,英,,2017-08-08
3238232,cheute {Fr.},下行倚音,,法,,2017-08-08
3238233,chevalet {Fr.},琴橋；琴馬,,法,,2017-08-08
3238234,chevé system,舍威簡譜,,英,,2017-08-08
3238235,cheville {Fr.},弦軫,,法,,2017-08-08
3238236,chevillier {Fr.},弦軫斗（弦庫）,,法,,2017-08-08
3238237,chèvrotement {Fr.},羊颤音,,法,,2017-08-08
3238238,chianuri {Geo.},奇亞奴利琴,,喬治亞,,2017-08-08
3238239,chiarentana (chirinitana){It.},奇亞倫塔納舞曲,,義,,2017-08-08
3238240,chiarenzana (giaranzana) {It.},奇亞倫札納舞曲,,義,,2017-08-08
3238241,chiave di baritono {It.},上低音譜號,,義,,2017-08-08
3238242,chiave di basso profondo {It.},下低音譜號,,義,,2017-08-08
3238243,chiave di basso {It.},低音譜號,,義,,2017-08-08
3238244,chiave di do {It.},Ｃ譜號,,義,,2017-08-08
3238245,chiave di fa {It.},Ｆ譜號,,義,,2017-08-08
3238246,chiave di sol {Fr.},Ｇ譜號,,義,,2017-08-08
3238247,chiave di violino {It.},小提琴譜號,,義,,2017-08-08
3238248,chiave transportata {It.},移位譜號,,義,,2017-08-08
3238249,chiave {It.},譜號,,義,,2017-08-08
3238250,chiavette {It.},移位譜號,,義,,2017-08-08
3238251,chifonie {Fr.},搖弦琴,,法,,2017-08-08
3238252,chime,管鐘,,英,,2017-08-08
3238253,chime bells,小鐘,,英,,2017-08-08
3238254,chin rest,顎墊,,英,,2017-08-08
3238255,chinese crash cymbal,中國鈸,,英,,2017-08-08
3238256,chinese pavilion,鈴杖(土耳其),,英,,2017-08-08
3238257,chinese temple block,中國木魚,,英,,2017-08-08
3238258,Chinese wood block,盒梆,,英,,2017-08-08
3238259,chirimía {Sp.},蕭姆管,,西,,2017-08-08
3238260,chironomia {Lat.},手勢音符,,拉,,2017-08-08
3238261,chironomie {Fr.},手勢音符,,法,,2017-08-08
3238262,chironomy,手勢音符,,英,,2017-08-08
3238263,chiroplast,練琴輔具,,英,,2017-08-08
3238264,chitarra battente {It.},巴天特吉他,,義,,2017-08-08
3238265,chitarra {It.},吉他,,義,,2017-08-08
3238266,chitarrone {It.},大魯特琴；大吉他,,義,,2017-08-08
3238267,chiusa {It.},閉奏,,義,,2017-08-08
3238268,chiuso {It.},閉奏,,義,,2017-08-08
3238269,choeur d'église {Fr.},聖歌隊,,法,,2017-08-08
3238270,choeur d'hommes {Fr.},男聲合唱；男聲合唱團,,法,,2017-08-08
3238271,choeur de femmes {Fr.},女聲合唱；女生合唱團,,法,,2017-08-08
3238272,choeur {Fr.},合唱；合唱團,,法,,2017-08-08
3238273,choir,教堂的大廳；合唱團；唱詩班；樂器組,,英,,2017-08-08
3238274,choir organ,第三排鍵盤(管風琴),,英,,2017-08-08
3238275,choir pitch,歌隊音高；合唱團音高,,英,,2017-08-08
3238276,choirbook,合唱本,,英,,2017-08-08
3238277,choke cymbals,帽鈸,,英,,2017-08-08
3238278,chonguri {Geo.},芎古里琴（喬治亞）,,英,,2017-08-08
3238279,chopper,切奏,,英,,2017-08-08
3238280,chopsticks,筷子曲,,英,,2017-08-08
3238281,Chor {Ger.},合唱；合唱團,,德,,2017-08-08
3238282,choragus,合唱團長（古希臘）,,英,,2017-08-08
3238283,Choral,合唱；合唱團,,英,,2017-08-08
3238284,choral cantata,聖詠清唱劇；聖詠康塔塔,,英,,2017-08-08
3238285,choral d'orgue {Fr.},管風琴聖詠,,法,,2017-08-08
3238286,choral symphony,合唱交響曲,,英,,2017-08-08
3238287,choral {Fr.},聖詠（曲）,,法,,2017-08-08
3238288,Choral {Ger.},聖詠；聖詠曲,,德,,2017-08-08
3238289,Choralbearbeitung {Ger.},聖詠改編曲,,德,,2017-08-08
3238290,chorale,聖詠；合唱,,英,,2017-08-08
3238291,chorale cantata,聖詠清唱劇；聖詠康塔塔,,英,,2017-08-08
3238292,chorale fantasia,聖詠幻想曲,,英,,2017-08-08
3238293,chorale fugue,聖詠復格曲,,英,,2017-08-08
3238294,chorale motet,聖詠經文歌,,英,,2017-08-08
3238295,chorale partita,聖詠變奏曲,,英,,2017-08-08
3238296,chorale prelude,聖詠前奏曲,,英,,2017-08-08
3238297,chorale variations,聖詠變奏曲,,英,,2017-08-08
3238298,Choralfuge {Ger.},聖詠復格曲,,德,,2017-08-08
3238299,Choralis Contantinus {Lat.},康士坦丁聖詠集,,拉,,2017-08-08
3238300,Choralkantate {Ger.},聖詠清唱劇；聖詠康塔塔,,德,,2017-08-08
3238301,Choralmotette{Ger.},聖詠經文歌,,德,,2017-08-08
3238302,Choralnotation {Ger.},聖詠記譜法,,德,,2017-08-08
3238303,Choralrhythmus {Ger.},聖詠節奏,,德,,2017-08-08
3238304,Choralvariation {Ger.},聖詠變奏曲,,德,,2017-08-08
3238305,Choralvorspiel {Ger.},聖詠前奏曲,,德,,2017-08-08
3238306,Chorbuch {Ger.},合唱本,,德,,2017-08-08
3238307,chord,和弦（絃）,,英,,2017-08-08
3238308,chord construction,和絃構成,,英,,2017-08-08
3238309,chord form,和弦（絃）形式,,英,,2017-08-08
3238310,chord inversion,和弦轉位,,英,,2017-08-08
3238311,chord of added 6th,加六和弦,,英,,2017-08-08
3238312,chord of six,六和弦（絃）,,英,,2017-08-08
3238313,chord of six four,六四和弦（絃）,,英,,2017-08-08
3238314,chord of the added sixth,加六和弦（絃）,,英,,2017-08-08
3238315,chord of the augmented fifth,增五度和弦（絃）,,英,,2017-08-08
3238316,chord of the augmented sixth,增六和弦（絃）,,英,,2017-08-08
3238317,chord of the augmented sixth and fifth,增六五和弦（絃）,,英,,2017-08-08
3238318,chord of the augmented sixth and second,增二和絃,,英,,2017-08-08
3238319,chord of the augmented sixth fourth and third,增四三和弦（絃）,,英,,2017-08-08
3238320,chord of the eleventh,十一和弦（絃）,,英,,2017-08-08
3238321,chord of the four three,四三和弦（絃）,,英,,2017-08-08
3238322,chord of the ninth,九和弦（絃）,,英,,2017-08-08
3238323,chord of the second,二和弦（絃）,,英,,2017-08-08
3238324,chord of the seventh,七和弦（絃）,,英,,2017-08-08
3238325,chord of the six five,六五和弦（絃）,,英,,2017-08-08
3238326,chord of the sixth fifth and third,六五和絃，六五三和弦,,英,,2017-08-08
3238327,chord of the sixth fourth and second,四二和弦（絃）；二和弦（絃）,,英,,2017-08-08
3238328,chord of the sixth fourth and third,四三和弦，六四三和弦,,英,,2017-08-08
3238329,chord of the sugmented sixth fourth and third,增四三和弦,,英,,2017-08-08
3238330,chord of the thirteenth,十三和弦（絃）,,英,,2017-08-08
3238331,chord tone,和弦（絃）音,,英,,2017-08-08
3238332,chord-progression,和弦（絃）進行,,英,,2017-08-08
3238333,chord-repetition,同和弦（絃）反復,,英,,2017-08-08
3238334,chorda {Gr.} {Lat.},音；音高,,希˙拉,,2017-08-08
3238335,chordal style,和弦（絃）式風格,,英,,2017-08-08
3238336,Chordaulion {Ger.},自動管風琴,,德,,2017-08-08
3238337,Chordaulodion {Ger.},自動風琴,,德,,2017-08-08
3238338,chording,和弦配置；和弦唱準,,英,,2017-08-08
3238339,Chordirektor {Ger.},合唱指揮,,德,,2017-08-08
3238340,chordophone,弦（絃）鳴樂器,,英,,2017-08-08
3238341,chorea {Lat.},舞蹈歌,,拉,,2017-08-08
3238342,choreographic poem,芭蕾音詩,,英,,2017-08-08
3238343,chorist-fagott {Ger.},唱詩班低音管,,德,,2017-08-08
3238344,chorister,少年聖歌隊員,,英,,2017-08-08
3238345,chorkantate {Ger.},合唱清唱劇；合唱康塔塔,,德,,2017-08-08
3238346,Chorlied {Ger.},合唱歌曲,,德,,2017-08-08
3238347,chôro {Por.},秀羅曲,,葡,,2017-08-08
3238348,Chorton {Ger.},歌隊音高；合唱團音高,,德,,2017-08-08
3238349,Chorübungen,合唱練習曲集,,德,,2017-08-08
3238350,chorus,合唱；合唱團；副歌{通俗音樂},,英,,2017-08-08
3238351,chorus of equal voices,同聲合唱,,英,,2017-08-08
3238352,chorus of mixed voices,混聲合唱,,英,,2017-08-08
3238353,chorus reed,合奏音栓,,英,,2017-08-08
3238354,chorus {Lat.},中世紀風笛；古弦樂器(克魯特琴),,拉,,2017-08-08
3238355,chroai {Gr.},增減(修正),,希,,2017-08-08
3238356,chromatic,半音的；變化音的,,英,,2017-08-08
3238357,chromatic auxiliary note,變化助音,,英,,2017-08-08
3238358,chromatic chord,變化和弦（絃）,,英,,2017-08-08
3238359,chromatic concord,變化協和和弦（絃）,,英,,2017-08-08
3238360,chromatic discord,變化不協和和弦（絃）,,英,,2017-08-08
3238361,chromatic harp,半音豎琴,,英,,2017-08-08
3238362,chromatic interval,變化音程,,英,,2017-08-08
3238363,chromatic minor scale,變化小音階,,英,,2017-08-08
3238364,chromatic modulation,半音轉調,,英,,2017-08-08
3238365,chromatic passing note,半音經過音,,英,,2017-08-08
3238366,chromatic progression,半音進行,,英,,2017-08-08
3238367,chromatic scale,半音音階,,英,,2017-08-08
3238368,chromatic semitone,變化半音,,英,,2017-08-08
3238369,chromatic seventh,變化七和弦（絃）,,英,,2017-08-08
3238370,chromatic sign,變化記號,,英,,2017-08-08
3238371,chromatic triad,變化三和弦（絃）,,英,,2017-08-08
3238372,chromaticism,半音體系；半音風格；半音主義,,英,,2017-08-08
3238373,Chromatik {Ger.},半音體系；半音風格；半音主義,,德,,2017-08-08
3238374,chromatische Tonleiter {Ger.},半音音階,,德,,2017-08-08
3238375,chromatisches Intervall {Ger.},變化音程,,德,,2017-08-08
3238376,chromatisme {Fr.},半音體系；半音風格；半音主義,,法,,2017-08-08
3238377,chronos protos {Gr.},古希臘音樂中時間與節奏的最小單位,,希,,2017-08-08
3238378,chrotta {Lat.},克羅塔琴,,拉,,2017-08-08
3238379,church cantata,教會清唱劇；教會康塔塔,,英,,2017-08-08
3238380,church choir,聖歌隊,,英,,2017-08-08
3238381,church concerto,教會協奏曲,,英,,2017-08-08
3238382,church mode,教會調式,,英,,2017-08-08
3238383,church music,教會音樂,,英,,2017-08-08
3238384,church sonata,教會奏鳴曲,,英,,2017-08-08
3238385,chute {Fr.},下行倚音,,法,,2017-08-08
3238386,chûte {Fr.},下行倚音,,法,,2017-08-08
3238387,chyn,琴；古琴,,英,,2017-08-08
3238388,ciaccona {It.},夏康舞曲,,義,,2017-08-08
3238389,ciaramella {It.},蕭姆管,,義,,2017-08-08
3238390,cibalom,揚琴｛東歐｝,,英,,2017-08-08
3238391,cibell,西貝爾曲式,,英,,2017-08-08
3238392,ciclo di liriche {It.},聯篇歌曲,,義,,2017-08-08
3238393,ciclo {It.},連環；循環,,義,,2017-08-08
3238394,cilindro rotativo {It.},活塞,,義,,2017-08-08
3238395,cilindro {It.},活塞,,義,,2017-08-08
3238396,cimbal d'amour {Ger.},古鋼琴,,德,,2017-08-08
3238397,cimbaletto {It.},鈴鼓,,義,,2017-08-08
3238398,cimbalo,鈸,,英,,2017-08-08
3238399,cimbalom,揚琴｛東歐｝,,英,,2017-08-08
3238400,cimbasso {It.},有鍵低音長號,,義,,2017-08-08
3238401,cinema organ,電影院風琴,,英,,2017-08-08
3238402,cinque pace,五步舞,,英,,2017-08-08
3238403,cinque pas,五步舞,,英,,2017-08-08
3238404,cinque pass,五步舞,,英,,2017-08-08
3238405,cinquième octave {Fr.},小字三點音｛音域｝,,法,,2017-08-08
3238406,cipher,故障音（風琴）,,英,,2017-08-08
3238407,ciphering,故障音（風琴）,,英,,2017-08-08
3238408,circle canon,迴旋卡農,,英,,2017-08-08
3238409,circle of fifths,五度圈,,英,,2017-08-08
3238410,circle of fourths,四度圈,,英,,2017-08-08
3238411,circle of keys,調子圈,,英,,2017-08-08
3238412,circolo delle quinte {It.},五度圈,,義,,2017-08-08
3238413,circular canon,迴旋卡農,,英,,2017-08-08
3238414,Cis {Ger.},升Ｃ,,德,,2017-08-08
3238415,Cisis {Ger.},重升C,,德,,2017-08-08
3238416,Cister {Ger.},西特琴,,德,,2017-08-08
3238417,cistre {Fr.},西特琴,,法,,2017-08-08
3238418,Cithare {Ger.},西特琴,,德,,2017-08-08
3238419,Cither {Ger.},西特琴,,德,,2017-08-08
3238420,cithern,西特琴,,英,,2017-08-08
3238421,citole,西托爾琴（中世紀魯特琴）,,英,,2017-08-08
3238422,cittern,西特琴,,英,,2017-08-08
3238423,cittern pandora,班多拉琴,,英,,2017-08-08
3238424,civettando {It.},諂媚的；作態的,,義,,2017-08-08
3238425,clairon {Fr.},號角,,法,,2017-08-08
3238426,clappers,響板；拍板,,英,,2017-08-08
3238427,claquebois {Fr.},木琴,,法,,2017-08-08
3238428,claquette {Fr.},嘎嘎器；搖響器,,法,,2017-08-08
3238429,clarabel,柔笛聲音栓（管風琴）,,英,,2017-08-08
3238430,clarabella,柔笛聲音栓（管風琴）,,英,,2017-08-08
3238431,claribel flute,柔笛聲音栓（管風琴）,,英,,2017-08-08
3238432,clarinet,單簧管,,英,,2017-08-08
3238433,clarinet family,單簧管家族,,英,,2017-08-08
3238434,clarinet flute,單簧管長笛音栓（管風琴）,,英,,2017-08-08
3238435,clarinet stop,單簧管音栓（管風琴）,,英,,2017-08-08
3238436,clarinette alto {Fr.},中音單簧管,,法,,2017-08-08
3238437,clarinette basse {Fr.},低音單簧管,,法,,2017-08-08
3238438,clarinette contralto {It.},降E調低音單簧管,,義,,2017-08-08
3238439,clarinette contrebasse {Fr.},倍低音單簧管,,法,,2017-08-08
3238440,clarinette d'amour {Fr.},柔音單簧管,,法,,2017-08-08
3238441,clarinette {Fr.},單簧管,,法,,2017-08-08
3238442,clarinetto contrabbasso {It.},倍低音單簧管,,義,,2017-08-08
3238443,clarinetto contralto {It.},中音單簧管,,義,,2017-08-08
3238444,clarinetto piccolo {It.},小單簧管,,義,,2017-08-08
3238445,clarinetto {It.},單簧管,,義,,2017-08-08
3238446,clarino {It.},高音小號｛古名｝；小號高音區,,義,,2017-08-08
3238447,clarion,克拉里昂小號；克拉里昂音栓（管風琴）,,英,,2017-08-08
3238448,clarone {It.},低音單簧管；中音單簧管；單簧管｛早期｝；小號｛中世紀｝,,義,,2017-08-08
3238449,clàrsach,豎琴（蘇格蘭，愛爾蘭）,,英,,2017-08-08
3238450,classical,古典,,英,,2017-08-08
3238451,classical form,古典形式,,英,,2017-08-08
3238452,classicism,古典主義,,英,,2017-08-08
3238453,clausula,克勞蘇拉（中世紀複音音樂終止式）,,英,,2017-08-08
3238454,clausula {Lat.},克勞蘇拉（中世紀複音音樂終止式）,,拉,,2017-08-08
3238455,clave {Sp.},譜號,,西,,2017-08-08
3238456,clavecin à archet {Fr.},有弓鍵盤樂器,,法,,2017-08-08
3238457,clavecin de pédale {Fr.},踏瓣大鍵琴,,法,,2017-08-08
3238458,clavecin organisé {Fr.},複合鍵盤樂器,,法,,2017-08-08
3238459,clavecin vertical {Fr.},直立式大鍵琴,,法,,2017-08-08
3238460,clavecin {Fr.},大鍵琴,,法,,2017-08-08
3238461,clavemusicum omnitonum {Lat.},微分音大鍵琴,,拉,,2017-08-08
3238462,claves {Sp.},響棒,,西,,2017-08-08
3238463,Clavicembalo {Ger.},大鍵琴,,德,,2017-08-08
3238464,clavicembalo {It.},大鍵琴,,義,,2017-08-08
3238465,clavichord,古鋼琴,,英,,2017-08-08
3238466,Clavichord {Ger.},古鋼琴,,德,,2017-08-08
3238467,clavicor,克拉維號,,英,,2017-08-08
3238468,clavicorde {Fr.},古鋼琴,,法,,2017-08-08
3238469,clavicordium {Lat.},古鋼琴,,拉,,2017-08-08
3238470,clavicorno {It.},克拉維號,,義,,2017-08-08
3238471,clavicylinder,鍵盤玻璃琴,,英,,2017-08-08
3238472,clavicymbal,大鍵琴,,英,,2017-08-08
3238473,Clavicymbelpedal {Ger.},踏瓣大鍵琴,,德,,2017-08-08
3238474,clavicytherium {Lat.},直立式大鍵琴,,拉,,2017-08-08
3238475,clavier d'écho {Fr.},回聲風琴,,法,,2017-08-08
3238476,Clavier Übung {Ger.},鍵盤曲集,,德,,2017-08-08
3238477,clavier {Fr.},鍵盤樂器,,法,,2017-08-08
3238478,Clavier {Ger.},鋼琴；鍵盤樂器,,德,,2017-08-08
3238479,claviorgan,複合鍵盤樂器,,英,,2017-08-08
3238480,claviórgano {It.},複合鍵盤樂器,,義,,2017-08-08
3238481,claviorganum {It.},複合鍵盤樂器,,義,,2017-08-08
3238482,clé {Fr.},譜號,,法,,2017-08-08
3238483,clear flute,嘹亮笛音栓,,英,,2017-08-08
3238484,clef,譜號,,英,,2017-08-08
3238485,clef d'ut {Fr.},Ｃ譜號,,法,,2017-08-08
3238486,clef de baryton {Fr.},上低音譜號,,法,,2017-08-08
3238487,clef de basse profonde {Fr.},下低音譜號,,法,,2017-08-08
3238488,clef de basse {Fr.},低音譜號,,法,,2017-08-08
3238489,clef de fa {Fr.},Ｆ譜號,,法,,2017-08-08
3238490,clef de sol {Fr.},Ｇ譜號,,法,,2017-08-08
3238491,clef du violin {Fr.},小提琴譜號,,法,,2017-08-08
3238492,Clef G,G譜號,,法,,2017-08-08
3238493,clef {Fr.},譜號,,英˙法,,2017-08-08
3238494,cliquette {Fr.},響板；拍板,,法,,2017-08-08
3238495,cloche des tons {Fr.},音鐘,,法,,2017-08-08
3238496,cloche {Fr.},鐘,,法,,2017-08-08
3238497,cloches tubulaires {Fr.},管鐘,,法,,2017-08-08
3238498,clog box,木魚,,英,,2017-08-08
3238499,close,終止,,英,,2017-08-08
3238500,close cadence,大終止,,英,,2017-08-08
3238501,close canon,有終卡農,,英,,2017-08-08
3238502,close chord,密集和弦（絃）,,英,,2017-08-08
3238503,close fugue,緊湊復格,,英,,2017-08-08
