ID,英文名稱,中文名稱,圖片,中國大陸譯名,備註,更新日期
2294929,resonance stabilization,共振穩定,,共振稳定化,,2015-05-25
2294930,resonance theory,共振理論,,共振论,,2015-05-25
2294931,resonance-enhanced multiphoton ionization {=  REMPI},共振增強多光子游離,,共振增强多光子电离,,2015-05-25
2294932,resonance-enhanced Raman spectrometry,共振增強拉曼光譜法,,共振增强拉曼光谱法,,2015-05-25
2294933,response factor,感應因子,,响应因子,,2015-05-25
2294934,restricted Hartree-Fock method {= RHF},限制性哈催-佛克法,,限制性的Hartree-Fock方法,,2015-05-25
2294935,restricted rotation,限制旋轉,,受阻旋转,,2015-05-25
2294936,retardation,阻滯[作用],,缓聚作用,,2015-05-25
2294937,retardation spectrum,阻滯[時間]譜,,推迟[时间]谱,,2015-05-25
2294938,retardation time,阻滯時間,,推迟时间,,2015-05-25
2294939,retardation time spectrum,阻滯時間譜,,推迟[时间]谱,,2015-05-25
2294940,retarded deformation,延遲形變,,延迟形变,,2015-05-25
2294941,retarded elasticity,阻滯彈性,,延迟弹性,,2015-05-25
2294942,retarder,阻滯劑,,缓聚剂,,2015-05-25
2294943,retarding agent,阻滯劑,,缓聚剂,,2015-05-25
2294944,retention,保留；滯留[作用],,保留,,2015-05-25
2294945,retention factor,滯留因子,,保留因子,,2015-05-25
2294946,retention gap,滯留間隙；滯留帶,,保留间隙,,2015-05-25
2294947,retention index,滯留指數,,保留指数,,2015-05-25
2294948,retention index qualitative method,滯留指数定性法,,保留指数定性法,,2015-05-25
2294949,retention of configuration,組態保留,,构型保持,,2015-05-25
2294950,retention qualitative method,滯留定性法,,保留值定性法,,2015-05-25
2294951,retention temperature,滯留溫度,,保留温度,,2015-05-25
2294952,retention time,滯留時間,,保留时间,,2015-05-25
2294953,retention volume,滯留體積,,保留体积,,2015-05-25
2294954,retro-Diels-Alder reaction,逆狄[耳士]-阿[德爾]反應,,逆第尔斯-阿尔德反应,,2015-05-25
2294955,retrograde aldol condensation,逆行醛醇縮合,,逆羟醛缩合,,2015-05-25
2294956,retro-pinacol rearrangement,逆【酉品】重排,,逆片呐醇重排,,2015-05-25
2294957,retrosynthesis,逆合成,,逆合成,,2015-05-25
2294958,reverse atom transfer radical polymerization {= RATRP},反向原子轉移自由基聚合,,反向原子转移自由基聚合,,2015-05-25
2294959,reverse double focusing mass spectrometer,反置雙聚焦質譜儀,,反置双聚焦质谱仪,,2015-05-25
2294960,reverse isotope dilution analysis,逆同位素稀釋分析,,逆同位素稀释分析,,2015-05-25
2294961,reverse micelle,逆[相]微胞,,﹡反胶束,,2015-05-25
2294962,reverse microemulsion,逆[相]微乳液,,﹡反相微乳液,,2015-05-25
2294963,reverse osmosis,逆滲透,,﹡反渗透,,2015-05-25
2294964,reverse osmosis membrance,逆滲透膜,,反渗透膜,,2015-05-25
2294965,reversed phase high performance liquid chromatography {= RP-HPLC},逆相高效液相層析法,,反相高效液相色谱法,,2015-05-25
2294966,reversed phase micelle extraction,逆相微胞萃取,,反相胶束萃取,,2015-05-25
2294967,reversed phase suspension polymerization,逆相懸浮聚合,,反相悬浮聚合,,2015-05-25
2294968,reversible addition fragmentation chain transfer polymerization {= RAFTP},可逆加成碎斷鏈轉移聚合,,可逆加成断裂链转移聚合,,2015-05-25
2294969,reversible adsorption,可逆吸附,,可逆吸附,,2015-05-25
2294970,reversible gel,可逆凝膠,,可逆凝胶,,2015-05-25
2294971,reversible process,可逆過程；可逆程序,,可逆过程,,2015-05-25
2294972,reversible reaction,可逆反應,,可逆反应,,2015-05-25
2294973,reversible wave,可逆波,,可逆波,,2015-05-25
2294974,reversible work,可逆功,,可逆功,,2015-05-25
2294975,RF value,RF值,,<p>Rf值</p>,,2015-05-25
2294976,RHEED {reflection high energy electron diffraction},反射式低能電子繞射,,反射式高能电子衍射[法],,2015-05-25
2294977,rhenium-osmium dating,錸-鋨定年法,,铼-锇年代测定,,2015-05-25
2294978,rheology,流變學,,流变学,,2015-05-25
2294980,rhodamine 6G,玫瑰紅6G,,罗丹明6G,,2015-05-25
2294981,rhodamine B,玫瑰紅B,,罗丹明B,,2015-05-25
2294982,rhodochrosite,菱錳礦,,菱锰矿,,2015-05-25
2294983,rhombohedral lattice,菱體晶格；斜方晶格,,R晶格,,2015-05-25
2294984,RIA {radioimmunoassay},放射免疫分析,,放射免疫分析,,2015-05-25
2294985,ribonuclease {= RNase},核糖核酸酶,,核糖核酸酶,,2015-05-25
2294986,ribonucleic acid {= RNA},核糖核酸,,核糖核酸,,2015-05-25
2294987,ribose,核糖,,核糖,,2015-05-25
2294988,Rice-Ramsperger-Kassel theory {= RRK theory},RRK理論,,RRK理论,,2015-05-25
2294989,Rice-Ramsperger-Kassel-Marcus theory {= RRKM theory},RRKM理論,,RRKM理论,,2015-05-25
2294990,rider,游碼,,游码,,2015-05-25
2294991,Rietveld method,裏特沃爾德法,,里特沃尔德法,,2015-05-25
2294992,rigid chain,剛性鏈,,刚性链,,2015-05-25
2294993,rigid chain polymer,剛性鏈聚合物,,刚性链聚合物,,2015-05-25
2294994,rigid rotator,剛性轉子,,刚性转子,,2015-05-25
2294995,RIM {reaction injection molding},反應注塑,,反应注塑,,2015-05-25
2294996,ring closure,閉環[作用],,环合,,2015-05-25
2294997,ring closure metathesis {= RCM},環合置換[反應]；環合歧化[反應],,环合[烯烃]换位反应,,2015-05-25
2294998,ring contraction,縮環[反應],,缩环[反应],,2015-05-25
2294999,ring electrode,環形電極,,环形电极,,2015-05-25
2295000,ring enlargement,擴環[反應],,扩环[反应],,2015-05-25
2295001,ring expansion,擴環[反應],,扩环[反应],,2015-05-25
2295002,ring inversion,環翻轉,,环翻转,,2015-05-25
2295003,ring opening copolymerization,開環共聚合,,开环共聚合,,2015-05-25
2295004,ring opening metathesis polymerization {= ROMP},開環移位聚合,,开环易位聚合,,2015-05-25
2295005,ring opening polymerization,開環聚合[作用],,开环聚合,,2015-05-25
2295006,ring reversal,環翻轉,,环翻转,,2015-05-25
2295007,ring test,環試驗,,环试验,,2015-05-25
2295008,ring-chain tautomerism,環-鏈互變異構性；環-鏈互變異構現象,,环-链互变异构,,2015-05-25
2295009,ringed spherulite,環帶球晶,,环带球晶,,2015-05-25
2295010,ripening,成熟；催熟,,熟化,,2015-05-25
2295011,RM {reference material},基準物質；參考物質,,标准物质,,2015-05-25
2295014,RNase {ribonuclease},核糖核酸酶,,核糖核酸酶,,2015-05-25
2295015,robustness regression,穩健回歸,,稳健回归,,2015-05-25
2295016,rock salt,岩鹽,,岩盐,,2015-05-25
2295017,rodlike chain,桿狀鏈,,棒状链,,2015-05-25
2295018,rodlike polymer,桿狀聚合物,,棒状聚合物,,2015-05-25
2295019,roentgen {= R},侖琴,,伦琴,,2015-05-25
2295020,ROESY {rotating frame Overhauser enhancement spectroscopy},旋轉坐標系奧佛豪瑟增强譜,,旋转坐标系的奥弗豪泽增强谱,,2015-05-25
2295021,Rohrschneider constant,羅爾斯耐德常數,,罗什奈德常数,,2015-05-25
2295022,ROMP {ring opening metathesis polymerization},開環移位聚合,,开环易位聚合,,2015-05-25
2295023,room temperature phosphorimetry,室溫磷光法,,室温磷光法,,2015-05-25
2295024,root-mean-square end-to-end distance,均方根末端距,,均方末端距,,2015-05-25
2295026,rose bengale,玫瑰紅,,玫瑰红,,2015-05-25
2295027,rotamer,旋轉異構體,,旋转异构体,,2015-05-25
2295028,rotating disc reactor,轉盤式反應器,,转盘式反应器,,2015-05-25
2295029,rotating disk electrode,旋轉圓盤電極,,旋转圆盘电极,,2015-05-25
2295030,rotating electrode,旋轉電極；轉動電極,,旋转电极,,2015-05-25
2295031,rotating frame Overhauser enhancement spectroscopy {= ROESY},旋轉坐標系奧佛豪瑟增强譜,,旋转坐标系的奥弗豪泽增强谱,,2015-05-25
2295032,rotating ring-disk electrode,旋轉環盤電極,,旋转环-盘电极,,2015-05-25
2295033,rotating sector method,旋轉光扇法,,旋转光闸法,,2015-05-25
2295034,rotating thin layer chromatograph,旋轉薄層層析儀,,旋转薄层色谱仪,,2015-05-25
2295035,rotating thin layer chromatography,旋轉薄層層析術；旋轉薄層層析法,,旋转薄层色谱法,,2015-05-25
2295036,rotating-disk electrode,旋轉圓盤電極,,旋转圆盘电极,,2015-05-25
2295037,rotating-ring-disk electrode,旋轉環盤電極,,旋转环盘电极,,2015-05-25
2295038,rotation,旋轉,,旋转,,2015-05-25
2295039,rotation axis,[旋]轉軸,,旋转轴,,2015-05-25
2295040,rotational barrier,旋轉能障,,旋转能垒,,2015-05-25
2295041,rotational diffusion,旋轉擴散,,转动扩散,,2015-05-25
2295042,rotational energy of molecule,分子轉動能,,分子转动能,,2015-05-25
2295043,rotational moulding,旋轉模製,,滚塑,,2015-05-25
2295044,rotational partition function,轉動分配函數,,转动配分函数,,2015-05-25
2295045,rotational relaxation time,轉動鬆弛時間,,旋转弛豫时间,,2015-05-25
2295046,rotational spectrum,轉動光譜,,转动光谱,,2015-05-25
2295047,rotaxane,輪烷,,轮烷,,2015-05-25
2295048,rotenoid,類魚藤酮,,鱼藤酮类黄酮,,2015-05-25
2295049,rotoinvertion,旋轉倒反,,旋转倒反,,2015-05-25
2295050,rotoinvertion axis,旋轉反投軸,,反轴,,2015-05-25
2295051,rounding off method,捨入法,,有效数字修约方法,,2015-05-25
2295052,round-off error,化整誤差；捨入誤差,,修约误差,,2015-05-25
2295053,routine analysis,例行分析,,例行分析,,2015-05-25
2295054,rovibronic spectrum,轉動振動光譜,,电子振转光谱,,2015-05-25
2295055,Rowland circle,羅蘭圓,,罗兰圆,,2015-05-25
2295056,RP-HPLC {reversed phase high performance liquid chromatography},逆相高效液相層析法,,反相高效液相色谱法,,2015-05-25
2295057,r-process,r過程,,r过程,,2015-05-25
2295058,RRK theory {Rice-Ramsperger-Kassel theory},RRK理論,,RRK理论,,2015-05-25
2295059,RRKM theory {Rice-Ramsperger-Kassel-Marcus theory},RRKM理論,,RRKM理论,,2015-05-25
2295060,R-S system of nomenclature,R-S命名體系,,R-S命名体系,,2015-05-25
2295061,RTM {resin transfer molding},樹脂轉注成型,,树脂传递模塑,,2015-05-25
2295062,rubber,橡膠,,橡胶,,2015-05-25
2295063,rubber latex,橡膠乳膠,,橡胶胶乳,,2015-05-25
2295064,rubbery state,橡膠態,,橡胶态,,2015-05-25
2295065,rubidium-strontium dating,銣-鍶定年法,,铷-锶年代测定,,2015-05-25
2295066,ruby,紅寶石,,红宝石,,2015-05-25
2295067,ruthenocene,二茂釕,,二茂钌,,2015-05-25
2295068,rutile,金紅石,,金红石,,2015-05-25
2295069,Rydberg state,芮得柏態,,Rydberg态,,2015-05-25
2295070,Rydberg transition,芮得柏躍遷,,里德伯跃迁,,2015-05-25
2295071,S matrix {scattering matrix},散射矩陣,,散射矩阵,,2015-05-25
2295072,saccharide,醣,,糖,,2015-05-25
2295073,saddle point,鞍點,,鞍点,,2015-05-25
2295074,Saha equation,薩哈方程式,,沙哈方程,,2015-05-25
2295075,salicylaldoxime,柳醛肟,,水杨醛肟,,2015-05-25
2295076,salt,鹽,,盐,,2015-05-25
2295077,salt bridge,鹽橋,,盐桥,,2015-05-25
2295078,salt effect,鹽效應,,盐效应,,2015-05-25
2295079,salt-free process,無鹽過程,,无盐过程,,2015-05-25
2295080,salting in effect,鹽溶效應,,盐溶效应,,2015-05-25
2295081,salting out effect,鹽析效應,,盐析效应,,2015-05-25
2295082,saltpeter,硝石,,硝石,,2015-05-25
2295083,SAM {scanning Auger microprobe},掃描歐傑微探針,,扫描俄歇微探针[法],,2015-05-25
2295084,samarium-neodymium dating,釤-釹定年法,,钐-钕年代测定,,2015-05-25
2295085,sample,樣品；試樣,,样本；试样,,2015-05-25
2295086,sample application,點樣,,点样,,2015-05-25
2295087,sample capacity,樣品容量,,样本容量,,2015-05-25
2295088,sample cell,試樣槽；試樣管,,样品池,,2015-05-25
2295089,sample contamination,樣品污染,,样品污染,,2015-05-25
2295090,sample deviation,樣品偏差,,样本偏差,,2015-05-25
2295091,sample holder,試樣架,,样品池,,2015-05-25
2295092,sample injector,試樣注射器,,进样器,,2015-05-25
2295093,sample introduction,樣品導入,,样品导入,,2015-05-25
2295094,sample loop,試樣環[路],,定量环,,2015-05-25
2295095,sample mean,試樣[平]均值,,样本平均值,,2015-05-25
2295096,sample presentation,送樣,,样品预处理,,2015-05-25
2295097,sample size,試樣量；樣本大小,,进样量,,2015-05-25
2295098,sample spotter,點樣器,,点样器,,2015-05-25
2295099,sample value,樣本值,,样本值,,2015-05-25
2295100,sample variance,樣本變異,,样本方差,,2015-05-25
2295101,sampled-current voltammetry,取樣電流伏安法,,取样电流伏安法,,2015-05-25
2295102,sampling,抽樣；取樣,,取样,,2015-05-25
2295103,sampling cone,取樣錐,,采样锥,,2015-05-25
2295104,sampling test,樣品試驗；抽樣試驗,,抽样检验,,2015-05-25
2295105,Sandell index,桑德爾指數,,桑德尔指数,,2015-05-25
2295106,sandwich compound,夾層化合物；三明治化合物,,夹心化合物,,2015-05-25
2295107,sandwich coordination compound,夾心配位化合物,,夹心配合物,,2015-05-25
2295108,saponification,皂化[作用],,皂化,,2015-05-25
2295109,saponification number,皂化值,,皂化值,,2015-05-25
2295110,saponification value,皂化值,,皂化值,,2015-05-25
2295111,saponin,皂素,,皂苷,,2015-05-25
2295112,sapphire,藍寶石；青玉,,蓝宝石,,2015-05-25
2295113,saturated calomel electrode {= SCE},飽和甘汞電極,,饱和甘汞电极,,2015-05-25
2295114,saturated polyester,飽和聚酯,,饱和聚酯,,2015-05-25
2295115,saturated rubber,飽和橡膠,,饱和橡胶,,2015-05-25
2295116,saturated solution,飽和溶液,,饱和溶液,,2015-05-25
2295117,saturation,飽和,,[磁]饱和,,2015-05-25
2295118,saturation effect of atomic fluorescence,原子螢光飽和效應,,原子荧光的饱和效应,,2015-05-25
2295119,saturation transfer,飽和轉移,,饱和转移,,2015-05-25
2295120,sawhorse projection,鋸木架型投影式,,锯木架型投影式,,2015-05-25
2295121,saxitoxin,蛤蚌毒素,,石房蛤毒素,,2015-05-25
2295122,SAXS {small angle X-ray scattering},X射線小角散射,,X射线小角散射,,2015-05-25
2295123,s-block element,s區元素,,s区元素,,2015-05-25
2295124,SBR {styrene-butadiene rubber},苯乙烯-丁二烯橡膠,,丁苯橡胶,,2015-05-25
2295125,SBS {styrene-butadiene-styrene block copolymer},苯乙烯-丁二烯-苯乙烯嵌段共聚物,,苯乙烯-丁二烯-苯乙烯嵌段共聚物,,2015-05-25
2295126,scalar coupling,標量偶合,,标量耦合,,2015-05-25
2295127,scale factor,標度因數,,标度因子,,2015-05-25
2295128,scaler,定標器；示數器；去垢器,,定标器,,2015-05-25
2295129,scaling theory,標度理論,,标度理论,,2015-05-25
2295130,scan range,掃描範圍,,扫描范围,,2015-05-25
2295131,scanning Auger microprobe {= SAM},掃描歐傑微探針,,扫描俄歇微探针[法],,2015-05-25
2295132,scanning electrochemical microscope,掃描電化學顯微鏡,,扫描电化学显微镜,,2015-05-25
2295133,scanning electrochemical microscopy {= SECM},掃描電化學顯微術,,扫描电化学显微术,,2015-05-25
2295134,scanning electron microscopy {= SEM},掃描電子顯微術；掃描電子顯微法；掃描電子顯微學,,扫描电子显微镜,,2015-05-25
2295135,scanning infrared spectrophotometer,掃描紅外分光光譜儀,,扫描红外分光光度计,,2015-05-25
2295136,scanning near field optical microscope,掃描近場光學顯微鏡,,扫描近场光学显微镜,,2015-05-25
2295137,scanning probe microscope {= SPM},掃瞄探針顯微鏡,,扫描探针显微镜,,2015-05-25
2295138,scanning probe microscopy {= SPM},探針掃描顯微術；探針掃描顯微法,,扫描质子微探针,,2015-05-25
2295139,scanning thin layer chromatography,掃描薄層層析法,,扫描薄层色谱法,,2015-05-25
2295140,scanning transmission ion microscopy,掃描穿透式離子顯微鏡,,扫描透射离子显微镜,,2015-05-25
2295141,scanning tunnel microscope,掃描穿隧顯微鏡,,扫描隧道显微镜,,2015-05-25
2295142,scanning tunneling microscopy {= STM},掃描穿隧顯微法；掃描穿隧顯微術,,扫描隧道显微镜,,2015-05-25
2295143,scanning tunneling spectrum,掃描穿隧譜,,扫描隧道谱[法],,2015-05-25
2295144,scanning tunnelling microscopy {= STM},掃描穿隧顯微術,,扫描隧道显微术,,2015-05-25
2295145,scattered radiation,散射輻射,,散射辐射,,2015-05-25
2295146,scattering angle,散射角,,散射角,,2015-05-25
2295147,scattering cross-section,散射截面,,散射截面,,2015-05-25
2295148,scattering efficiency,散射效率,,散射效率,,2015-05-25
2295149,scattering matrix {= S matrix},散射矩陣,,散射矩阵,,2015-05-25
2295150,scavenger,清除劑；捕獲劑,,清除剂,,2015-05-25
2295151,SCE {saturated calomel electrode},飽和甘汞電極,,饱和甘汞电极,,2015-05-25
2295152,scheelite,白鎢礦；鎢酸鈣礦,,白钨矿,,2015-05-25
2295153,Scherrer equation,謝樂方程式,,谢乐公式,,2015-05-25
2295154,Schiff base,希夫鹼,,席夫碱,,2015-05-25
2295155,Schiffs’ reagent,希夫試劑,,席夫试剂,,2015-05-25
2295156,Schöenflies symbol,向夫立符號,,熊夫利记号,,2015-05-25
2295157,Schottky defect,蕭特基缺陷,,肖特基缺陷,,2015-05-25
2295158,Schrödinger equation,薛丁格方程式,,Schrödinger方程,,2015-05-25
2295159,Schulze-Hardy rule,舒爾茨-哈地規則,,舒尔策-哈迪规则,,2015-05-25
2295160,Schulz-Zimm distribution,舒爾茨-齊姆分布,,舒尔茨-齐姆分布,,2015-05-25
2295161,scintillation cocktail,閃爍液,,闪烁液,,2015-05-25
2295162,scintillation detector,閃爍偵檢器,,闪烁探测器,,2015-05-25
2295163,scorch retarder,防焦劑,,防焦剂,,2015-05-25
2295164,scorching,焦化,,焦烧,,2015-05-25
2295165,scorpion toxin,蝎毒素,,蝎毒素,,2015-05-25
2295166,SCOT {support coated open tubular column},載體塗布開管柱,,载体涂渍开管柱,,2015-05-25
2295167,screen printing electrode,網板印刷電極,,丝网印刷电极,,2015-05-25
2295168,screening constant,屏蔽常數；遮蔽常數,,屏蔽常数,,2015-05-25
2295169,screw axis,螺旋軸,,螺旋轴,,2015-05-25
2295170,screw rotation,螺旋旋轉,,螺旋旋转,,2015-05-25
2295171,scrubbing,洗滌,,洗涤,,2015-05-25
2295174,SDCI {singly and doubly excited CI},單雙激發組態相互作用法,,单、双激发组态相互作用法,,2015-05-25
2295176,S-donor ligand,硫予體配位子；S予體配位子,,S-供电子配体,,2015-05-25
2295177,sealed source,密封[放射]源,,密封源,,2015-05-25
2295178,SEC {size exclusion chromatography},粒徑篩析層析法；粒徑排阻層析法,,尺寸排阻色谱法,,2015-05-25
2295179,SECM {scanning electrochemical microscopy},掃描電化學顯微術,,扫描电化学显微术,,2015-05-25
2295180,second field-free region {= 2nd FFR},第二無場區,,第二无场区,,2015-05-25
2295181,second harmonic alternating current voltammetry,二階諧波交流伏安法,,二阶谐波交流伏安法,,2015-05-25
2295182,second order phase transition,二級相變,,二级相变,,2015-05-25
2295183,second order reaction,二級反應,,二级反应,,2015-05-25
2295184,second order reduced density matrix,二階約化密度矩陣,,二阶约化密度矩阵,,2015-05-25
2295185,second order spectrum,二級圖譜,,二级图谱,,2015-05-25
2295186,secondary battery,二次電池[組],,蓄电池,,2015-05-25
2295187,secondary crystallization,二次結晶,,二次结晶,,2015-05-25
2295188,secondary electron,二次電子,,次级电子,,2015-05-25
2295189,secondary extinction,次級消光,,次级消光,,2015-05-25
2295190,secondary fragment,二級碎片,,次级碎片,,2015-05-25
2295191,secondary ion,二次離子；次級離子,,次级离子,,2015-05-25
2295192,secondary ion mass spectrometer {= SIMS},二次離子質譜儀,,二次离子质谱儀,,2015-05-25
2295193,secondary ion mass spectrometry,二次離子質譜法,,二次离子质谱法,,2015-05-25
2295194,secondary isotope effect,次級同位素效應,,二级同位素效应,,2015-05-25
2295195,secondary photochemical process,次級光化學過程,,次级光化学过程,,2015-05-25
2295196,secondary radiation,二次輻射,,次级辐射,,2015-05-25
2295197,secondary relaxation,次級鬆弛,,次级弛豫,,2015-05-25
2295198,secondary standard,二級標準,,二级标准,,2015-05-25
2295199,secondary structure,二級結構,,二级结构,,2015-05-25
2295200,secondary X-ray fluorescence spectrometry,次級X射線螢光光譜法,,次级X射线荧光光谱法,,2015-05-25
2295201,SECSY {spin echo correlated spectroscopy},自旋回波相關譜[法],,自旋回波相关谱,,2015-05-25
2295202,secular equation,特徵方程式,,久期方程,,2015-05-25
2295203,secular equilibrium,長期平衡,,长期平衡,,2015-05-25
2295204,sedimentation,沈降[作用]；沈積[作用],,沉降,,2015-05-25
2295205,sedimentation coefficient,沈降係數,,沉降系数,,2015-05-25
2295206,sedimentation equilibrium,沈積平衡,,沉降平衡,,2015-05-25
2295207,sedimentation equilibrium method,沉降平衡法,,沉降平衡法,,2015-05-25
2295208,sedimentation potential,沈積電位,,沉降电势,,2015-05-25
2295209,sedimentation velocity,沈降速度；沈積速度,,沉降速度,,2015-05-25
2295210,sedimentation velocity method,沉降速度法,,沉降速度法,,2015-05-25
2295211,seeding polymerization,種子聚合,,种子聚合,,2015-05-25
2295212,segmental motion,鏈段運動,,链段运动,,2015-05-25
2295213,segregation,凝析,,分凝,,2015-05-25
2295214,selected ion monitoring {= SIM},選擇離子監測,,选择离子监测,,2015-05-25
2295215,selection rule,選擇法則,,选择定则,,2015-05-25
2295216,selective adsorption,選擇吸附,,选择吸附,,2015-05-25
2295217,selective catalytic reduction,選擇催化還原[反應],,选择催化还原,,2015-05-25
2295218,selective detector,選擇性偵檢器,,选择性检测器,,2015-05-25
2295219,selective hydrogenation,選擇氫化[作用],,选择加氢,,2015-05-25
2295220,selective ion chromatogram,選擇[性]離子層析圖,,选择离子色谱图,,2015-05-25
2295221,selective ion electropherogram,選擇[性]離子電泳圖,,选择离子电泳图,,2015-05-25
2295222,selective oxidation,選擇氧化[作用],,选择氧化,,2015-05-25
2295223,selective pulse,選擇性脈衝,,选择性脉冲,,2015-05-25
2295224,selective reagent,選擇試劑,,选择[性]试剂,,2015-05-25
2295225,selectivity,選擇性,,选择性,,2015-05-25
2295226,selectivity factor,選擇[性]因子；選擇[性]因數,,选择性因子,,2015-05-25
2295227,selenocarbonyl,硒羰基,,硒羰基,,2015-05-25
2295228,selenocysteine,硒[代]半胱胺酸,,硒代半胱氨酸,,2015-05-25
2295229,selenophene,硒吩,,硒吩,,2015-05-25
2295230,selenylation,硒化,,硒化,,2015-05-25
2295231,self crosslinking,自交聯,,自交联,,2015-05-25
2295232,self indicator,自身指示劑,,自身指示剂法,,2015-05-25
2295233,self propagation,自增長；自傳播,,自增长,,2015-05-25
2295234,self quenching,自淬滅,,自猝灭,,2015-05-25
2295235,self termination,自終止,,自终止,,2015-05-25
2295236,self-absorption,自吸收,,自吸收,,2015-05-25
2295237,self-absorption background correction,自吸收背景校正法,,自吸收校正背景法,,2015-05-25
2295238,self-absorption broadening,自吸收增寬,,自吸展宽,,2015-05-25
2295239,self-assembled layer modified electrode,自組裝膜修飾電極,,自组装膜修饰电极,,2015-05-25
2295240,self-assembled membrane,自組裝膜,,自组装膜,,2015-05-25
2295241,self-assembled monolayer membrane,自組裝單層膜,,自组装单层膜,,2015-05-25
2295242,self-assembly,自組裝,,自组装,,2015-05-25
2295243,self-consistent field,自洽[力]場,,自洽场方法,,2015-05-25
2295244,self-diffusion,自擴散,,自扩散,,2015-05-25
2295245,self-discharge,自放電,,自放电,,2015-05-25
2295246,self-ionization spectroscopy,自游離譜法,,自电离谱[法],,2015-05-25
2295247,self-organization phenomenon,自組織現象,,自组织现象,,2015-05-25
2295248,self-radiolysis,自動放射分解,,自辐解,,2015-05-25
2295249,self-redox reaction,自氧[化]還[原]反應,,自氧化还原反应,,2015-05-25
2295250,self-reinforcing polymer,自強化聚合物,,自增强聚合物,,2015-05-25
2295251,self-scattering,自散射,,自散射,,2015-05-25
2295252,SEM {scanning electron microscopy},掃描電子顯微術；掃描電子顯微法；掃描電子顯微學,,扫描电子显微镜,,2015-05-25
2295253,semibridging carbonyl,半橋羰基,,半桥羰基,,2015-05-25
2295254,semibridging group,半橋基,,半桥基,,2015-05-25
2295255,semicarbazone,縮胺脲；半卡腙,,缩氨基脲,,2015-05-25
2295256,semiconducting polymer,半導體聚合物,,高分子半导体,,2015-05-25
2295257,semiconductor,半導體,,半导体,,2015-05-25
2295258,semiconductor detector,半導體偵檢器,,半导体探测器,,2015-05-25
2295259,semiconductor electrode,半導體電極,,半导体电极,,2015-05-25
2295260,semiconductor laser,半導體雷射,,半导体激光器,,2015-05-25
2295261,semiconductor photocatalyst,半導體光觸媒；半導體光催化劑,,半导体光催化剂,,2015-05-25
2295262,semicontinuous polymerization,半連續聚合,,半连续聚合,,2015-05-25
2295263,semi-crystalline polymer,半結晶聚合物,,半结晶聚合物,,2015-05-25
2295264,semi-differential voltammetry,半微分伏安法,,半微分伏安法,,2015-05-25
2295265,semiempirical molecular orbital method,半經驗分子軌域法,,半经验分子轨道法,,2015-05-25
2295266,semi-flexible chain polymer,半柔韌性鏈聚合物,,半柔性链聚合物,,2015-05-25
2295267,semi-fusion method,半融熔法,,半熔法,,2015-05-25
2295268,semi-integral voltammetry,半積分伏安法,,半积分伏安法,,2015-05-25
2295269,semi-interpenetrating polymer network {= SIPN},半互穿網狀聚合物,,半互穿［聚合物］网络,,2015-05-25
2295270,semimicro analysis,半微量分析,,半微量分析,,2015-05-25
2295271,semimicro analytical balance,半微量分析天平,,半微量天平,,2015-05-25
2295272,semimicro balance,半微量天平,,半微量天平,,2015-05-25
2295273,semipermeable membrane,半透膜,,半透膜,,2015-05-25
2295274,semi-pinacol rearrangement,半【酉品】重排,,半片呐醇重排,,2015-05-25
2295275,semiquantitative analysis,半定量分析,,半定量分析,,2015-05-25
2295276,semiquantitative spectral analysis,半定量光譜分析,,光谱半定量分析,,2015-05-25
2295277,semiquinone,半醌,,半醌,,2015-05-25
2295278,semi-regular polyhedra,半正多面體,,半正多面体,,2015-05-25
2295279,semi-synthetic fiber,半合成纖維,,半合成纤维,,2015-05-25
2295280,sensibility,敏感度,,灵敏度,,2015-05-25
2295281,sensitivity,靈敏度,,灵敏度,,2015-05-25
2295282,sensitization,敏化[作用],,﹡敏化,,2015-05-25
2295283,sensitized atomic fluorescence,敏化原子螢光,,敏化原子荧光,,2015-05-25
2295284,sensitized room temperature phosphorimetry {= S-RTP},敏化室溫磷光法,,敏化室温磷光法,,2015-05-25
2295285,sensitizer,敏化劑；增感劑,,敏化剂,,2015-05-25
2295286,sensor,感測器；感測元件,,传感器,,2015-05-25
2295287,separant,隔離劑,,隔离剂,,2015-05-25
2295288,separate impregnation,分步浸漬,,分步浸渍,,2015-05-25
2295289,separating unit,分離裝置,,分离单元,,2015-05-25
2295290,separation number,分離數,,分离数,,2015-05-25
2295291,separation potential,分離電位,,分离势,,2015-05-25
2295292,separative work,分離功,,分离功,,2015-05-25
2295293,separatory funnel,分液漏斗,,分液漏斗,,2015-05-25
2295294,sequence length distribution,序列長度分布,,序列长度分布,,2015-05-25
2295295,sequential analysis,順序分析,,序贯分析,,2015-05-25
2295296,sequential copolymer,序列共聚物,,序列共聚物,,2015-05-25
2295297,sequential fission,繼發分裂,,继发裂变,,2015-05-25
2295298,sequential polymerization,序列聚合,,序列聚合,,2015-05-25
2295299,sequential programmable synthesis,逐次合成,,序贯合成,,2015-05-25
2295300,sequential pyrolysis,連續熱解[分析],,连续热解分析,,2015-05-25
2295301,sequential scanning inductively coupled plasma spectrometer,順序掃描感應耦合電漿光譜儀,,顺序扫描电感耦合等离子体光谱仪,,2015-05-25
2295302,sequential search,順序搜尋,,序贯寻优,,2015-05-25
2295303,sequestering agent,螯合劑；鉗合劑,,螯合剂,,2015-05-25
2295304,serine,絲胺酸,,丝氨酸,,2015-05-25
