ID,英文名稱,中文名稱,圖片,機關名稱中文,機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,備註,更新日期
1498067,Section,股,,都市發展局,Urban Development Bureau,科,Division,,2012-11-26
1498068,Section,課,,都市發展局,Urban Development Bureau,都市開發處,Department of Special Projects,,2012-11-26
1498069,Section,股,,都市發展局,Urban Development Bureau,資訊室,Information Management Office,,2012-11-26
1498070,Section,課,,工務局,Public Works Bureau,建築管理處,Department of Buidling Affairs,,2012-11-26
1498071,Section,股,,工務局,Public Works Bureau,秘書室,Secretariat,,2012-11-26
1498072,Unions Section,工會股,,勞工局,Labor Affairs Bureau,第一科,First Division,,2012-11-26
1498073,Education Section,勞教股,,勞工局,Labor Affairs Bureau,第一科,First Division,,2012-11-26
1498074,Labor Relations Section,勞資股,,勞工局,Labor Affairs Bureau,第二科,Second Division,,2012-11-26
1498075,Labor Standards Section,條件股,,勞工局,Labor Affairs Bureau,第二科,Second Division,,2012-11-26
1498076,Safety and Health Section,安衛股,,勞工局,Labor Affairs Bureau,第二科,Second Division,,2012-11-26
1498077,Training Section,職訓股,,勞工局,Labor Affairs Bureau,第三科,Third Division,,2012-11-26
1498078,Welfare Section,福利股,,勞工局,Labor Affairs Bureau,第三科,Third Division,,2012-11-26
1498079,Disabled Affairs Section,身心障礙股,,勞工局,Labor Affairs Bureau,第三科,Third Division,,2012-11-26
1498080,General Affairs Section,事務股,,勞工局,Labor Affairs Bureau,第四科,Fourth Division,,2012-11-26
1498081,Planning Section,綜規股,,勞工局,Labor Affairs Bureau,第四科,Fourth Division,,2012-11-26
1498082,,營業衛生股,,衛生局,Public Health Bureau,職場衛生科,Occupational Health Division,,2012-11-26
1498083,,職業衛生股,,衛生局,Public Health Bureau,職場衛生科,Occupational Health Division,,2012-11-26
1498084,Medical Administration Section,醫政股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498085,Municipal Hospital Management Section,市醫管理股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498086,Medical Care Section,醫護股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498087,Mental Health Section,精神衛生股,,衛生局,Public Health Bureau,醫政科,Medical Affairs Division,,2012-11-26
1498088,Pharmaceutical Management Section,藥物股,,衛生局,Public Health Bureau,藥政科,Pharmaceutical Affairs Division,,2012-11-26
1498089,Pharmaceutical Administration Section,藥政股,,衛生局,Public Health Bureau,藥政科,Pharmaceutical Affairs Division,,2012-11-26
1498090,Cosmetics Management Section,化妝品管理股,,衛生局,Public Health Bureau,藥政科,Pharmaceutical Affairs Division,,2012-11-26
1498091,Community Health Section,社區保健股,,衛生局,Public Health Bureau,保健科,Health Promotion Division,,2012-11-26
1498092,Clinical Nursing Section,臨床護理股,,衛生局,Public Health Bureau,保健科,Health Promotion Division,,2012-11-26
1498093,Education Section,衛生教育股,,衛生局,Public Health Bureau,衛生教育科,Health Education Division,,2012-11-26
1498094,Training Section,衛生訓練股,,衛生局,Public Health Bureau,衛生教育科,Health Education Division,,2012-11-26
1498095,First Section,食品衛生安全   一股,,衛生局,Public Health Bureau,食品衛生科,Food Safety Division,,2012-11-26
1498096,Second Section,食品衛生安全   二股,,衛生局,Public Health Bureau,食品衛生科,Food Safety Division,,2012-11-26
1498097,Third Section,食品衛生安全   三股,,衛生局,Public Health Bureau,食品衛生科,Food Safety Division,,2012-11-26
1498098,Chemical Examination Section,化學檢驗股,,衛生局,Public Health Bureau,檢驗室,Laboratory Office,,2012-11-26
1498099,Clinical Examination Section,臨床檢驗股,,衛生局,Public Health Bureau,檢驗室,Laboratory Office,,2012-11-26
1498100,Research and Evaluation Section,研考股,,衛生局,Public Health Bureau,企劃室,Planning Office,,2012-11-26
1498101,Information Management Section,資訊股,,衛生局,Public Health Bureau,企劃室,Planning Office,,2012-11-26
1498102,First Section,第一股,,衛生局,Public Health Bureau,人事室,Personnel Office,,2012-11-26
1498103,Second Section,第二股,,衛生局,Public Health Bureau,人事室,Personnel Office,,2012-11-26
1498104,Public Budget Section,公務股,,衛生局,Public Health Bureau,會計室,Accounting Office,,2012-11-26
1498105,Endowments Section,基金股,,衛生局,Public Health Bureau,會計室,Accounting Office,,2012-11-26
1498106,Documentation Section,文書股,,衛生局,Public Health Bureau,秘書室,Secretariat,,2012-11-26
1498107,General Affairs Section,事務股,,衛生局,Public Health Bureau,秘書室,Secretariat,,2012-11-26
1498108,Planning Section,綜合規劃股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",綜合規劃科,Planning Division,,2012-11-26
1498109,Joint-development Section,聯合開發股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",綜合規劃科,Planning Division,,2012-11-26
1498110,Finance Section,財務計畫股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",綜合規劃科,Planning Division,,2012-11-26
1498111,Operations Section,營運規劃股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",綜合規劃科,Planning Division,,2012-11-26
1498112,Civil Engineering Section,一般土木股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",設施工程科,Facilities Division,,2012-11-26
1498113,Architecture Section,建築工程股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",設施工程科,Facilities Division,,2012-11-26
1498114,Structure Section,結構工程股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",設施工程科,Facilities Division,,2012-11-26
1498115,Electromechanical Section,機電工程股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",設施工程科,Facilities Division,,2012-11-26
1498116,Vehicles Section,車輛股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",系統工程科,Systems  Division,,2012-11-26
1498117,Signaling and Communication  Section,通訊號誌股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",系統工程科,Systems  Division,,2012-11-26
1498118,Power Supply Section,供電股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",系統工程科,Systems  Division,,2012-11-26
1498119,Depot and Station Equipment Section,機廠設備股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",系統工程科,Systems  Division,,2012-11-26
1498120,Land Acquisition Section,用地路權股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",路權科,Land Rights Division,,2012-11-26
1498121,Demolition and Compensation Section,拆遷補償股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",路權科,Land Rights Division,,2012-11-26
1498122,General Affairs Section,事務股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",秘書室,Secretariat,,2012-11-26
1498123,Documentation Section,文書股,,捷運工程局,"Mass Rapid Transit Bureau, ____ City",秘書室,Secretariat,,2012-11-26
1498124,Activities  Section,活動課,,文化局,Cultural Affairs Bureau,____文化中心管理處,____ Cultural Center,,2012-11-26
1498125,Exhibition Section,展覽課,,文化局,Cultural Affairs Bureau,____文化中心管理處,____ Cultural Center,,2012-11-26
1498126,Library Section,圖書課,,文化局,Cultural Affairs Bureau,____文化中心管理處,____ Cultural Center,,2012-11-26
1498127,Technical Support Section,技術課,,文化局,Cultural Affairs Bureau,____文化中心管理處,____ Cultural Center,,2012-11-26
1498128,Parking Lot Operations Section,營運管理股,,交通局,Transportation Bureau,科,Division,,2012-11-26
1498129,Parking Planning and Violations Section,規劃與違規股,,交通局,Transportation Bureau,科,Division,,2012-11-26
1498130,_____ Transmission Station,_____發射站,,_____廣播電台,_____ Radio Station,工程組,Engineering Section,,2012-11-26
1498131,Curriculum Section ,課務組,,_____市立空中大學,_____ Municipal Open University,教務處,Academic Affairs Division,,2012-11-26
1498132,Registration Section,註冊組,,_____市立空中大學,_____ Municipal Open University,教務處,Academic Affairs Division,,2012-11-26
1498133,Guidance and Counseling Section,生活輔導組,,_____市立空中大學,_____ Municipal Open University,輔導處,Student Affairs Division,,2012-11-26
1498134,Extracurricular Activities Section,課外活動組,,_____市立空中大學,_____ Municipal Open University,輔導處,Student Affairs Division,,2012-11-26
1498135,Production Section,製作組,,_____市立空中大學,_____ Municipal Open University,教學媒體處,Media Production Division,,2012-11-26
1498136,Media Section,媒體組,,_____市立空中大學,_____ Municipal Open University,教學媒體處,Media Production Division,,2012-11-26
1498137,Documentation Section,文書組,,_____市立空中大學,_____ Municipal Open University,秘書處,Secretariat,,2012-11-26
1498138,Cashier Section,出納組,,_____市立空中大學,_____ Municipal Open University,秘書處,Secretariat,,2012-11-26
1498139,Maintenance Section,營繕保管組,,_____市立空中大學,_____ Municipal Open University,秘書處,Secretariat,,2012-11-26
1498140,General Affairs Section,事務組,,_____市立空中大學,_____ Municipal Open University,秘書處,Secretariat,,2012-11-26
1498141,Circulation Section,閱覽服務組,,_____市立空中大學,_____ Municipal Open University,圖書館,Library,,2012-11-26
1498142,Instructional Materials Section,教學資料組,,_____市立空中大學,_____ Municipal Open University,圖書館,Library,,2012-11-26
1498143,Mail Room,收發室,,_____市議會,_____ City Council,總務組,General Affairs Division,,2012-11-26
1498144,Typing Room,打字室,,_____市議會,_____ City Council,總務組,General Affairs Division,,2012-11-26
1498145,Cashier,出納,,_____市議會,_____ City Council,總務組,General Affairs Division,,2012-11-26
1498146,Archives,檔案室,,_____市議會,_____ City Council,總務組,General Affairs Division,,2012-11-26
1498147,Security Room,警衛室,,____市議會,_____ City Council,總務組,General Affairs Division,,2012-11-26
1498148,Library,圖書室,,_____市議會,_____ City Council,資訊室,Information Management Office,,2012-11-26
1498149,Fines Section,違章審理股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",法務科,Legal Affairs Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498150,Administrative Remedies Section,行政救濟股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",法務科,Legal Affairs Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498151,Arrears Settlement Subsection,欠稅執行股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",法務科,Legal Affairs Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498152,Software Application Subsection,系統執行股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",電子作業科,Data Processing Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498153,Operation Control Subsection,作業管制股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",電子作業科,Data Processing Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498154,Hardware Operation Subsection,機器操作股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",電子作業科,Data Processing Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498155,Research and Evaluation Subsection,研考股,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",稽核科,Auditing Section,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498156,Services Subsection,服務股,,_____市政府地方稅務局,"Local Tax Bureau, _____ City ",岡山分處,Gangshan Branch,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498157,Land Tax Subsection,土地稅股,,_____市政府地方稅務局,"Local Tax Bureau, _____ City",,,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498158,House Tax Subsection,房屋稅股,,_____市政府地方稅務局,"Local Tax Bureau, _____ City",,,因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,2012-11-26
1498159,Neighborhood,鄰,,"___縣___鄉(鎮,市)公所","___ Township (Town,Borough) Office, ___ County",村(里),Village,,2012-11-26
1498160,Tongpan Public Health Office,桶盤衛生室,,,,,,,2012-11-26
1498161,Securities Underwriting Section,證券承銷科,,,,,,,2012-11-26
1498162,Food and Drug Section  ,食品藥政科,,,,,,,2012-11-26
1498163,Long-Term Care Section,長期照顧科,,,,,,,2012-11-26
1498164,Long-Term Care Section,長期照顧科,,,,,,,2012-11-26
1498165, Performance Division  ,演出活動組,,,,,,,2012-11-26
1498166,1. Mayor 2. Mayor's Office,市長室,,直轄市政府,______ City Government,,,,2012-11-26
1498167,1. Deputy Mayor  2. Deputy Mayor's Office,副市長室,,直轄市政府,______ City Government,,,,2012-11-26
1498168,Counselor(s),參事室,,直轄市政府,________ City Government,,,,2012-11-26
1498169,Advisor(s),顧問室,,直轄市政府,________ City Government,,,,2012-11-26
1498170,Consumer Ombudsman Office,消費者保護官,,直轄市政府,______ City Government,,,,2012-11-26
1498171,Joint Service Center,市府聯合服務中心,,直轄市政府,_____ City Government,,,,2012-11-26
1498172,Government Documents Library,市政資料圖書館,,直轄市政府,______ City Government,,,,2012-11-26
1498173,International Exchange Exhibition ,國際交流展示中心,,直轄市政府,_______ City Government,,,,2012-11-26
1498174,1.Secretary-general  2.Secretary-general's Office,秘書長室,,秘書處,Secretariat,,,,2012-11-26
1498175,1.Deputy Secretary-general 2.Deputy Secretary-general's Office,副秘書長室,,秘書處,Secretariat,,,,2012-11-26
1498176,First Division,第一科,,秘書處,Secretariat,,,,2012-11-26
1498177,Second Division,第二科,,秘書處,Secretariat,,,,2012-11-26
1498178,Third Division,第三科,,秘書處,Secretariat,,,,2012-11-26
1498179,Fourth Division,第四科,,秘書處,Secretariat,,,,2012-11-26
1498180,Personnel Office,人事室,,秘書處,Secretariat,,,,2012-11-26
1498181,Accounting Office,會計室,,秘書處,Secretariat,,,,2012-11-26
1498182,Civil Service Ethics Office,政風室,,秘書處,Secretariat,,,,2012-11-26
1498183,Inspection Office,視察室,,秘書處,Secretariat,,,,2012-11-26
1498184,Division,科,,民政局,Civil Affairs Bureau,,,,2012-11-26
1498185,Secretariat,秘書室,,民政局,Civil Affairs Bureau,,,,2012-11-26
1498186,Office,室,,民政局,Civil Affairs Bureau,,,,2012-11-26
1498187,First Section,第一課,,___市___區戶政事務所,"___ District Household Registration Office, ____ City",,,,2012-11-26
1498188,Second Section,第二課,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",,,,2012-11-26
1498189,Third Section,第三課,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",,,,2012-11-26
1498190,Accounting Officer,會計員,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",,,,2012-11-26
1498191,Personnel Officer,人事管理員,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",,,,2012-11-26
1498192,"___ District First Household Registration Office, ___ City",___市___區第一戶政事務所,,___市___區第一戶政事務所,"___ District First Household Registration Office, ___ City",,,,2012-12-14
1498193,"___ District Second Household Registration Office, ___ City",___市___區第二戶政事務所,,___市___區第二戶政事務所,"___ District Second Household Registration Office, ___ City",,,,2012-12-14
1498194,First Section,第一組,,殯葬管理所,Mortuary Services Office,,,,2012-11-26
1498195,Second Section,第二組,,殯葬管理所,Mortuary Services Office,,,,2012-11-26
1498196,Third Section,第三組,,殯葬管理所,Mortuary Services Office,,,,2012-11-26
1498197,Accounting Office,會計,,殯葬管理所,Mortuary Services Office,,,,2012-11-26
1498198,Personnel Office,人事,,殯葬管理所,Mortuary Services Office,,,,2012-11-26
1498199,Division,科,,財政局,Finance Bureau,,,,2012-11-26
1498200,Office,室,,財政局,Finance Bureau,,,,2012-11-26
1498201,Finance Bureau Main Office,財政局局本部,,財政局,Finance Bureau,,,,2012-11-26
1498202,Finance Bureau ___ Office,財政局___辦公室,,財政局,Finance Bureau,,,,2012-11-26
1498203,Public Services Section,服務科,,稅捐稽徵處,"Revenue Service Office, ___ City",,,,2012-11-26
1498204,Property Tax Section,財產稅科,,稅捐稽徵處,"Revenue Service Office, ___ City",,,,2012-11-26
1498205,Opportunity Tax / Miscellaneous Tax Section,機會稅科,,稅捐稽徵處,"Revenue Service Office, ___ City",,,,2012-11-26
1498206,Data Processing Section,電子作業科,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498207,Auditing Section,稽核科,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498208,Enforcement and Refund Section,稅務管理科,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498209,General Affairs Office,總務室,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498210,Civil Service Ethics Office,政風室,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498211,Legal Affairs Office,法務室,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498212,Personnel Office,人事室,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498213,Accounting Office,會計室,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498214,___ Branch,___分處,,稅捐稽徵處,"Revenue Service Office, ____ City",,,,2012-11-26
1498215,Section,課,,集中支付處,Disbursement Office,,,,2012-11-26
1498216,Accounting Office,會計室,,集中支付處,Disbursement Office,,,,2012-11-26
1498217,Personnel Officer,人事,,集中支付處,Disbursement Office,,,,2012-11-26
1498218,Operations Section,業務組,,動產質借所,"Collateral Office, Finance Bureau, ____ City",,,,2012-11-26
1498219,General Affairs Section,總務組,,動產質借所,"Collateral Office, Finance Bureau, ____ City",,,,2012-11-26
1498220,First Division  (Senior High and Vocational Schools),第一科,,教育局,Eudcation Bureau,,,,2012-11-26
1498221,Second Division (Junior High Schools),第二科,,教育局,Eudcation Bureau,,,,2012-11-26
1498222,Third Division (Elementary Schools and Kindergartens),第三科,,教育局,Eudcation Bureau,,,,2012-11-26
1498223,Fourth Division (Social and Special Education),第四科,,教育局,Eudcation Bureau,,,,2012-11-26
1498224,Fifth Division (Health and Physical Education),第五科,,教育局,Eudcation Bureau,,,,2012-11-26
1498225,Sixth Division (General Affairs),第六科,,教育局,Eudcation Bureau,,,,2012-11-26
1498226,Military Education Office,軍訓室,,教育局,Eudcation Bureau,,,,2012-11-26
1498227,Civil Service Ethics Office,政風室,,教育局,Eudcation Bureau,,,,2012-11-26
1498228,Personnel Office,人事室,,教育局,Eudcation Bureau,,,,2012-11-26
1498229,Accounting Office,會計室,,教育局,Eudcation Bureau,,,,2012-11-26
1498230,General Affairs Section,總務組,,體育場,____ Municipal Stadium,,,,2012-11-26
1498231,Events Section,活動組,,體育場,____ Municipal Stadium,,,,2012-11-26
1498232,Promotion Section,推廣組,,體育場,____ Municipal Stadium,,,,2012-11-26
1498233,Facilities Section,場地組,,體育場,___ Municipal Stadium,,,,2012-11-26
1498234,Division,科,,建設局,Economic Affairs Bureau,,,,2012-11-26
1498235,Office,室,,建設局,Economic Affairs Bureau,,,,2012-11-26
1498236,Section,科,,市場管理處,Market Administration Office,,,,2012-11-26
1498237,Office,室,,市場管理處,Market Administration Office,,,,2012-11-26
1498238,Engineering Section,工務組,,風景區管理所,Scenic Area Administration Office,,,,2012-11-26
1498239,General Affairs Section,總務組,,風景區管理所,Scenic Area Administration Office,,,,2012-11-26
1498240,___ Zoo,___動物園,,風景區管理所,Scenic Area Administration Office,,,,2012-11-26
1498241,Section,課,,家畜衛生檢驗所,Animal Health and Inspection Institute,,,,2012-11-26
1498242,Division,科,,海洋局,Marine Bureau,,,,2012-11-26
1498243,Secretariat,秘書室,,海洋局,Marine Bureau,,,,2012-11-26
1498244,Office,室,,海洋局,Marine Bureau,,,,2012-11-26
1498245,Department of Housing Development,住宅開發處,,都市發展局,Urban Development Bureau,,,,2012-11-26
1498246,Department of Planning,工程企劃處,,工務局,Public Works Bureau,,,,2012-11-26
1498247,Section,科,,新建工程處,Construction Office,,,,2012-11-26
1498248,Office,室,,新建工程處,Construction Office,,,,2012-11-26
1498249,Northern Branch,北區工務所,,新建工程處,Construction Office,,,,2012-11-26
1498250,Southern  Branch ,南區工務所,,新建工程處,Construction Office,,,,2012-11-26
1498251,Section,科,,下水道工程處,Sewage Systems Office,,,,2012-11-26
1498252,Central District Sewage Treatment Plant,中區污水處理廠,,下水道工程處,Sewage Systems Office,,,,2012-11-26
1498253,Equipment Maintenance Brigade,維護工程隊,,下水道工程處,Sewage Systems Office,,,,2012-11-26
1498254,Office,室,,下水道工程處,Sewage Systems Office,,,,2012-11-26
1498255,Section,科,,養護工程處,Maintenance Office,,,,2012-11-26
1498256,Maintenance Corps,養護工程大隊,,養護工程處,Maintenance Office,,,,2012-11-26
1498257,Equipment Maintenance Works,機械車輛聯合保養廠,,養護工程處,Maintenance Office,,,,2012-11-26
1498258,Office,室,,養護工程處,Maintenance Office,,,,2012-11-26
1498259,Section,組,,違章建築處理大隊,Building Violations Enforcement Corps,,,,2012-11-26
1498260,Division,科,,社會局,Social Affairs Bureau,,,,2012-11-26
1498261,Social Work Office,社工室,,社會局,Social Affairs Bureau,,,,2012-11-26
1498262,Office,室,,社會局,Social Affairs Bureau,,,,2012-11-26
1498263,General Affairs Section,總務組,,仁愛之家,Ren'ai Senior Citizens' Home,,,,2012-11-26
1498264,Social Work Section,社工組,,仁愛之家,Ren'ai Senior Citizens' Home,,,,2012-11-26
1498265,Health Division,保健組,,仁愛之家,Ren'ai Senior Citizens' Home,,,,2012-11-26
1498266,General Affairs Section,行政課,,無障礙之家,Home for the Disabled,,,,2012-11-26
1498267,Education and Health Section,教保課,,無障礙之家,Home for the Disabled,,,,2012-11-26
1498268,ActivitiesSection,活動課,,無障礙之家,Home for the Disabled,,,,2012-11-26
1498269,Health Section,保健課,,無障礙之家,Home for the Disabled,,,,2012-11-26
1498270,General Affairs Section,行政課,,兒童福利服務中心,Children's Service Center,,,,2012-11-26
1498271,Counseling Section,輔導課,,兒童福利服務中心,Children's Service Center,,,,2012-11-26
1498272,Activities Section,活動課,,兒童福利服務中心,Children's Service Center,,,,2012-11-26
1498273,General Affairs Section,行政課,,長青綜合服務中心,Senior Citizens' Service Center,,,,2012-11-26
1498274,Services Section,服務課,,長青綜合服務中心,Senior Citizens' Service Center,,,,2012-11-26
1498275,Education and Health Section,教保課,,長青綜合服務中心,Senior Citizens' Service Center,,,,2012-11-26
1498276,General Affairs Section,綜合行政組,,家庭暴力及性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,,,,2012-11-26
1498277,Protection and Support Section,保護扶助組,,家庭暴力及性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,,,,2012-11-26
1498278,Hotline and Rescue Section,專線救援組,,家庭暴力及性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,,,,2012-11-26
1498279,Medical Services Section,醫療服務組,,家庭暴力及性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,,,,2012-11-26
1498280,Violence Prevention Section,暴力防治組,,家庭暴力及性侵害防治中心,Domestic Violence and Sexual Assault Prevention Center,,,,2012-11-26
1498281,Office,室,,勞工局,Labor Affairs Bureau,,,,2012-11-26
1498282,Section,組,,勞工檢查所,Occupational Safety Office,,,,2012-11-26
1498283,Section,組,,訓練就業中心,Training and Employment Center,,,,2012-11-26
1498284,General Affairs Section,行政組,,訓練就業中心,Training and Employment Center,,,,2012-11-26
1498285,Office,室,,訓練就業中心,Training and Employment Center,,,,2012-11-26
1498286,Counseling Section,輔導科,,___職業技能訓練中心,___ Vocational Training Center,,,,2012-11-26
1498287,Educational Section,教務科,,___職業技能訓練中心,___ Vocational Training Center,,,,2012-11-26
1498288,General Affairs Section,行政科,,___職業技能訓練中心,___ Vocational Training Center,,,,2012-11-26
1498289,Section,科,,勞工育樂中心,Labor Recreation Center,,,,2012-11-26
1498290,Duty Dispatch Division,行政科,,警察局,Police Bureau,,,,2012-11-26
1498291,Mainland Affairs Division,陸務科,,警察局,Police Bureau,,,,2012-11-26
1498292,Household Registration Division,戶口科,,警察局,Police Bureau,,,,2012-11-26
1498293,Foreign Affairs Division,外事科,,警察局,Police Bureau,,,,2012-11-26
1498294,Logistics Division,後勤科,,警察局,Police Bureau,,,,2012-11-26
1498295,Public Order Division,保安科,,警察局,Police Bureau,,,,2012-11-26
1498296,Civil Defense Division,民防科,,警察局,Police Bureau,,,,2012-11-26
1498297,Training Division,訓練科,,警察局,Police Bureau,,,,2012-11-26
1498298,Personnel Office,人事室,,警察局,Police Bureau,,,,2012-11-26
1498299,Civil Service Ethics Office,政風室,,警察局,Police Bureau,,,,2012-11-26
1498300,Secretariat ,秘書室,,警察局,Police Bureau,,,,2012-11-26
1498301,Public Security Office,保防室,,警察局,Police Bureau,,,,2012-11-26
1498302,Legal Affairs Office,法規室,,警察局,Police Bureau,,,,2012-11-26
1498303,Accounting Office,會計室,,警察局,Police Bureau,,,,2012-11-26
1498304,Public Relations Office,公共關係室,,警察局,Police Bureau,,,,2012-11-26
1498305,Information Management Office,資訊室,,警察局,Police Bureau,,,,2012-11-26
1498306,Duty Command Center,勤務指揮中心,,警察局,Police Bureau,,,,2012-11-26
1498307,Forensic Science Center,刑事鑑識中心,,警察局,Police Bureau,,,,2012-11-26
1498308,Civil Defense Operations Center,民防管制中心,,警察局,Police Bureau,,,,2012-11-26
1498309,Vessel Administration Corps,船舶大隊,,警察局,Police Bureau,,,,2012-11-26
1498310,Juvenile Delinquency Prevention Brigade,少年警察隊,,警察局,Police Bureau,,,,2012-11-26
1498311,Women and Children Protection Brigade,女子警察隊,,警察局,Police Bureau,,,,2012-11-26
1498312,Communications Brigade,通信隊,,警察局,Police Bureau,,,,2012-11-26
1498313,Section,組,,分局,___ Precinct,,,,2012-11-26
1498314,Section,組,,保安警察大隊,Special Police Corps,,,,2012-11-26
1498315,Section,組,,刑事警察大隊,Criminal Investigation Corps,,,,2012-11-26
1498316,Section,組,,交通警察大隊,Traffic Police Corps,,,,2012-11-26
