ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539592,La Fanciulla del West,西部姑娘,,西部女郎,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539593,"La gazzetta, ossia Il matrimonio per concorso",徵婚啟事，或競爭的婚姻,,征婚启事,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539594,La Gioconda,喬空達,,歌女  焦康达,"Ponchielli, Amilcare",龐吉耶利,彭基耶利,歌劇,歌剧,2018-05-30
3539595,La jolie fille de Perth,貝城佳麗,,珀斯城的少女,"Bizet, Georges",比才,比才,歌劇,歌剧,2018-05-30
3539596,La pietra del paragone,試金石,,试金石,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539597,La scala di seta,絹絲樓梯,,软梯,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539598,La Serva Padrona,管家女僕,,管家女仆,"Pergolesi, Giovanni Battista",裴哥雷西,佩尔戈莱西,歌劇,歌剧,2018-05-30
3539599,La straniera,異國人,,陌生人,"Bellini, Vincenzo",貝利尼,贝里尼,歌劇,歌剧,2018-05-30
3539600,La Wally,瓦莉姑娘,,瓦蕾小姐,"Catalani, Alfredo","卡他拉尼,阿弗列多",卡塔拉尼,歌劇,歌剧,2018-05-30
3539601,La zingara,吉普賽女郎,,吉普赛女郎,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539602,Lachrymae,眼淚,,眼泪,"Britten, Benjamin",布瑞頓,布里顿,室內樂曲,室内乐曲,2018-05-30
3539603,Lady in the Dark,黑暗中的女人,,黑暗中的女人,"Weill,Kurt",懷爾,魏尔作曲，格什温编剧,音樂劇,音乐剧,2018-05-30
3539604,"Lady Macbeth of the Mtsensk District, The",慕真斯克郡的馬克白夫人,,姆钦斯克县的麦克白夫人,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,歌劇,歌剧,2018-05-30
3539605,Lady Radnor‘s Suite,拉德納夫人組曲,,拉德纳夫人组曲,"Parry,Hubert",帕里,帕里,室內樂曲,室内乐曲,2018-05-30
3539606,Lakmé,拉克美,,拉克美,"Delibes, Léo",德利伯,德利伯,歌劇,歌剧,2018-05-30
3539607,Lamento d’ Arianna,阿里安娜的哀歌,,阿里阿德涅的哀歌,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第,聲樂曲,声乐曲,2018-05-30
3539608,L'amour fugitif,曇花一現的愛情,,飞逝的爱情,"Cherubini, Maria Luigi",凱魯碧尼,凯鲁比尼,歌劇,歌剧,2018-05-30
3539609,"Land of Lost Content, The",荒涼的土地,,荒凉的土地,"Ireland, John",艾爾蘭,艾尔兰,聲樂曲,声乐曲,2018-05-30
3539610,"Land of Smiles, The",微笑王國,,微笑的大地,"Lehár, Franz",雷哈爾,列哈尔,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539611,"Lark Ascending, The",雲雀高飛,,云雀高飞,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,器樂曲,器乐曲,2018-05-30
3539612,L'Arlesiana,阿萊城姑娘,,阿莱城姑娘,"Cilèa, Francesco",齊雷亞,奇莱亚,歌劇,歌剧,2018-05-30
3539613,L'assedio di Corinto (Le siège de Corinthe),哥林多被圍,,科林斯之围,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539614,Late Swallows,遲來的燕子,,迟来的燕子,"Delius, Frederick",戴里厄斯,德留斯,室內樂曲,室内乐曲,2018-05-30
3539615,Le comte Ory,奧里伯爵,,奥里伯爵,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539616,Le maschere,面具,,假戏真做（假面具）,"Mascagni, Pietro",馬斯卡尼,马斯卡尼,歌劇,歌剧,2018-05-30
3539617,Le nozze di Figaro,費加洛婚禮,,费加罗的婚礼,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539618,Le porteur d'eau,挑水伕,,运水夫（二日记）,"Cherubini, Maria Luigi",凱魯碧尼,凯鲁比尼,歌劇,歌剧,2018-05-30
3539619,Legend of the Invisible City of Kitezh,隐城基捷日的故事,,隐城基捷日的故事,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539620,"Legend of Tsar Saltan, The",沙皇薩爾坦的傳說,,沙皇萨尔坦的传,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539621,"Legende von der Heiligen Elisabeth, Die",聖伊莉莎白傳奇,,圣伊丽莎白逸事,"Liszt, Franz(Ferenc)",李斯特,李斯特,聲樂曲,声乐曲,2018-05-30
3539622,"Lélio, ou le retour à la vie",萊利奧，或生命重生,,"莱利奥,或生命复归","Berlioz, Hector",白遼士,柏辽兹,聲樂曲,声乐曲,2018-05-30
3539623,Lemminkäinen Legends,雷明凱能傳說,,莱明凯宁传奇曲,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539624,L'Enfant Prodigue,浪子,,浪子,"Debussy, Claude",德布西,德彪西,聲樂曲,声乐曲,2018-05-30
3539625,L'Enfant Prodigue,浪子,,浪子,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫/布里顿/德彪西/萨利文,管絃樂曲,管弦乐曲,2018-05-30
3539626,Leningrad Symphony,列寧格勒交響曲,,列宁格勒交响曲,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,交響曲,交响曲,2018-05-30
3539627,L'enlèvement au serail,後宮誘逃,,后宫诱逃,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539628,Leonora,雷奧諾拉,,雷奥诺拉,Ferdinando Paer,帕埃爾,弗赖依,歌劇,歌剧,2018-05-30
3539629,l'étoile du nord,北方之星,,北方之星,"Meyerbeer, Giacomo",梅耶貝爾,梅耶贝尔,歌劇,歌剧,2018-05-30
3539630,"Let's Make an Opera ""The Little Sweep""",讓我們來作歌劇「小煙囪工」,,让我们来演一部歌剧,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539631,L'heure espagnole,西班牙時間,,西班牙时光,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,歌劇,歌剧,2018-05-30
3539632,Licht: Diesieben Tageder Woche,光：一週中的七天,,光：一周中的七天,"Stockhausen, Karlheinz","史托克豪森,卡爾海因茲",斯托克豪森,聲樂曲,声乐曲,2018-05-30
3539633,Liebesliederwalzer,愛之歌圓舞曲,,情歌圆舞曲,"Brahms, Johannes",布拉姆斯,布拉姆斯,聲樂曲,声乐曲,2018-05-30
3539634,"Liebesmahl der Apostel,Das",使徒的愛之宴,,使徒的爱之宴,"Wagner, Richard","華格納,理查",瓦格纳,管弦樂曲,管弦乐曲,2018-05-30
3539635,Liebestod,愛之死,,爱之死,"Wagner, Richard","華格納,理查",瓦格纳,聲樂曲,声乐曲,2018-05-30
3539636,Liebesträume,愛之夢,,爱之梦,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539637,"Lied von der Erde, Das",大地之歌,,大地之歌,"Mahler, Gustav","馬勒,古斯塔夫",马勒,交響曲,交响曲,2018-05-30
3539638,Lieder eines fahrenden Gesellen,旅人之歌,,旅行者之歌,"Mahler, Gustav","馬勒,古斯塔夫",马勒,聲樂曲,声乐曲,2018-05-30
3539639,Lieutenant Kijé,基傑中尉,,基日中尉,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,管絃樂曲,管弦乐曲,2018-05-30
3539640,"Life for the Tsar, A（Ivan Susanin）",為沙皇效命,,为沙皇献身（伊万·苏萨宁）,"Glinka, Mikhail (Ivanovich)",葛令卡,格林卡,歌劇,歌剧,2018-05-30
3539641,Light Cavalry,輕騎兵,,轻骑兵,"Suppé, Franz von",蘇佩,苏佩,歌劇,歌剧,2018-05-30
3539642,"Lighthouse, The",燈塔,,灯塔,"Maxwell, Davis Peter","馬克斯威爾,戴維斯",马克斯韦尔·戴维斯,聲樂曲,声乐曲,2018-05-30
3539643,"Lincoln Portrait, A",林肯肖像,,林肯肖像,"Copland, Aaron",柯普蘭,科普兰,管絃樂曲,管弦乐曲,2018-05-30
3539644,Linda di Chamounix,夏摩尼的琳達,,夏莫尼的琳达,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539645,L'Infedeltá delusa,不忠實的謊言,,爱情的妙策,"Haydn, Franz Joseph",海頓,海顿,歌劇,歌剧,2018-05-30
3539646,L'inganno felice,幸福的欺騙,,快乐的计谋,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539647,"Little Night Music, A",小夜曲,,小夜曲,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,器樂曲,器乐曲,2018-05-30
3539648,"Little Night Music, A",小夜曲,,小夜曲,"Stephen, Sondheim",斯蒂芬·桑德海姆,,音樂劇,音乐剧,2018-05-30
3539649,Lo frate 'nnamorato (The brother in love）,兄弟之愛,,兄弟之爱,"Pergolesi,  Giovanni Battista",裴哥雷西,佩尔戈莱西,歌劇,歌剧,2018-05-30
3539650,Lo Speziale,藥劑師,,药剂师,"Haydn, Franz Joseph",海頓,海顿,歌劇,歌剧,2018-05-30
3539651,Lodoïska,洛多伊斯卡,,洛多伊斯卡,"Cherubini, Luigi",凱魯碧尼,凯鲁比尼,歌劇,歌剧,2018-05-30
3539652,Lohengrin,羅恩格林,,罗恩格林,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539653,London Symphonies,倫敦交響曲集,,伦敦交响曲集,"ydn, Franz Joseph",海頓,约瑟夫·海顿,交響曲,交响曲,2018-05-30
3539654,"LondonSymphony, A",倫敦交響曲集,,伦敦交响曲,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,交響曲,交响曲,2018-05-30
3539655,Louise,露伊絲,,露易丝,"Charpentier, Gustave",夏邦提耶,夏庞蒂埃,歌劇,歌剧,2018-05-30
3539656,Lucia di Lammermoor,拉梅默的露琪亞,,拉美莫尔的露契亚,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539657,Lucrezia Borgia,路克蕾琪亞˙波吉亞,,卢克雷齐亚·博尔贾,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539658,Luisa Miller,露易莎˙米勒,,露易莎·米勒,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539659,Lulu,露露,,璐璐,"Berg, Alban",貝爾格,贝尔格,歌劇,歌剧,2018-05-30
3539660,Luonnotar,隆諾塔爾,,隆诺塔尔,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539661,"Lustigen Weiber von Windsor, Die",溫莎的俏娘兒們,,温莎的风流娘儿们,"Nicolai, Otto",尼可萊,尼古拉,歌劇,歌剧,2018-05-30
3539662,Lyke-Wake Dirge,守靈輓歌,,守灵悼歌,"Britten, Benjamin",布瑞頓,布里顿/斯特拉文斯基,聲樂曲,声乐曲,2018-05-30
3539663,Lyric Suite,抒情組曲,,抒情组曲,"Berg, Alban",貝爾格,贝尔格,室內樂曲,室内乐曲,2018-05-30
3539664,Lyric Suite,抒情組曲,,抒情组曲,"Grieg, Edvard",葛利格,格里格,管絃樂曲,管弦乐曲,2018-05-30
3539665,Lyrische Symphonie,抒情交響曲,,抒情交响曲,"Zemlinsky, Alexander von",澤姆林斯基,策姆林斯基,交響曲,交响曲,2018-05-30
3539666,Má Vlast,我的祖國,,我的祖国,"Smetana, Bedrich",斯梅塔納,斯美塔那,管絃樂曲,管弦乐曲,2018-05-30
3539667,Macbeth,馬克白,,麦克白,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539668,Madama Butterfly,蝴蝶夫人,,蝴蝶夫人,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539669,Madame Sans-Gêne,桑珍夫人,,桑珍妮夫人,"Giordano, Umberto",喬大諾,乔尔达诺,歌劇,歌剧,2018-05-30
3539670,Maddalena,瑪達雷娜,,玛达莱娜,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,歌劇,歌剧,2018-05-30
3539671,"Maestro di Musica, Il",音樂大師,,音乐大师,"Honegger, Arthur",歐內格,奥莱塔,歌劇,歌剧,2018-05-30
3539672,"Magelone, Die schöne",美麗的瑪格羅內,,美丽的梅格罗尼,"Brahms, Johannes",布拉姆斯,布拉姆斯,聲樂曲,声乐曲,2018-05-30
3539673,"Magic Fountain, The",魔泉,,魔泉,"Delius, Frederick",戴里厄斯,戴留斯,歌劇,歌剧,2018-05-30
3539674,"Maid of Pskov, The",普斯科夫的女郎,,普斯科夫女郎,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539675,"Maja y el Ruisenor, La",女人與夜鶯,,恋人与夜莺,"Granados, Enrique",葛拉納多斯,格拉纳多斯,鍵盤樂曲,键盘乐曲,2018-05-30
3539676,"Makropulos Affair, The",馬克羅普洛斯事件,,马克罗普洛斯事件,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3539677,"Mamelles de Tirésias, Les",提雷西亞斯的乳房,,蒂蕾西阿斯的乳房,"Poulenc, Francis",浦朗克,普朗克,歌劇,歌剧,2018-05-30
3539678,Manfred,曼弗雷德,,曼弗雷德,"Schumann, Robert","舒曼,羅伯特",舒曼,管絃樂曲,管弦乐曲,2018-05-30
3539679,Manfred,曼弗雷德,,曼弗雷德,"Tchaikovsky, Pyotr Il'yich {Tschaikowsky}","柴科夫斯基,彼得",柴可夫斯基,交響曲,交响曲,2018-05-30
3539680,Manon,瑪儂,,曼侬,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539681,Manon Lescaut,瑪儂˙雷斯可,,曼侬·莱斯科,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539682,Mantra,曼特拉,,曼怛罗,"Stockhausen, Karlheinz","史托克豪森,卡爾海因茲",斯托克豪森,鍵盤樂曲,键盘乐曲,2018-05-30
3539683,March of Pomp and Circumstance,威風凜凜進行曲,,威风凛然进行曲集,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539684,Margot la Rouge,紅喜鵲,,红喜鹊,"Delius, Frederick",戴里厄斯,戴留斯,歌劇,歌剧,2018-05-30
3539685,Maria Golovin (1958),瑪莉亞葛洛文,,玛丽亚·高洛文,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539686,Maria Stuarda,瑪莉亞司徒阿達,,玛丽亚·斯图亚特,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539687,Maritana,瑪麗塔娜,,玛丽塔娜,William Vincent Wallace,"華萊斯,威廉",华莱士,歌劇,歌剧,2018-05-30
3539688,"Marteau sans maître, Le",無主之槌,,无主之槌,"Boulez, Pierre",布雷茲,布莱兹,室內樂曲,室内乐曲,2018-05-30
3539689,Martha,瑪塔,,玛尔塔,"Flotow, Friedrich von",弗洛妥,弗洛托,歌劇,歌剧,2018-05-30
3539690,Mass in D,D大調莊嚴彌撒,,D大调庄严弥撒,"Beethoven, Ludwig van",貝多芬,贝多芬,聲樂曲,声乐曲,2018-05-30
3539691,Mathis der Maler,畫家馬蒂斯,,画家马蒂斯,"Hindemith, Paul",辛德密特,欣德米特,歌劇,歌剧,2018-05-30
3539692,Matthauspassion,馬太受難曲,,马太受难曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),聲樂曲,声乐曲,2018-05-30
3539693,May Night,五月之夜,,五月之夜,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539694,Mazeppa,馬采巴,,马捷帕,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲；管絃樂曲,键盘乐曲/管弦乐曲,2018-05-30
3539695,Mazeppa,馬采巴,,马捷帕,"Tchaikovsky,","柴科夫斯基,彼得",柴科夫斯基,歌劇,歌剧,2018-05-30
3539696,Meeresstille und glückliche Fahrt,平靜的大海和幸福的航行,,平静的海和幸福的航行,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,管絃樂曲,管弦乐曲,2018-05-30
3539697,Mefistofele,梅菲斯特,,梅菲斯托菲勒,"Boito, Arrigo",玻伊多,博伊托,歌劇,歌剧,2018-05-30
3539698,"Melusina, The Fair",美麗的梅露西娜,,美丽的梅露西娜,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,管絃樂曲,管弦乐曲,2018-05-30
3539699,Mephisto Waltzes,梅菲斯托圓舞曲,,梅菲斯托圆舞曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539700,"Mer, La",海,,大海,"Debussy, Claude",德布西,德彪西,管絃樂曲,管弦乐曲,2018-05-30
3539701,Messiah,彌賽亞,,弥赛亚,Handel George Friedrich,韓德爾,亨德尔,聲樂曲,声乐曲,2018-05-30
3539702,"Metamorphoses after Ovid, Six",六首變形記,,仿照奥维德的六首变形,"Britten, Benjamin",布瑞頓,布里顿,器樂曲,器乐曲,2018-05-30
3539703,"Michelangelo Buonarroti, Suite on Verses of",米開朗基羅詩的組曲,,米开朗琪罗诗的组曲,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,聲樂曲,声乐曲,2018-05-30
3539704,"Midsummer Marriage, The",仲夏結婚,,仲夏结婚,"Tippet, Michael",提佩特,蒂皮特,歌劇,歌剧,2018-05-30
3539705,"Midsummer Night’s Dream, A",仲夏夜之夢,,仲夏夜之梦,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",珀塞尔/门德尔松/奥尔夫/布里顿,管弦樂曲,管弦乐曲,2018-05-30
3539706,Mignon,迷孃,,迷娘,"Thomas, Ambroise",托瑪,托马,歌劇,歌剧,2018-05-30
3539707,"Mikado, The",日本天皇,,日本天皇,"Sullivan, Arthur",薩利文,萨利文,歌劇,歌剧,2018-05-30
3539708,Mikrokosmos,小宇宙,,小宇宙,"Bartók, Béla",巴爾托克,巴托克,鍵盤樂曲,键盘乐曲,2018-05-30
3539709,"Miserly Knight, The",吝嗇騎士,,吝啬骑士,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,歌劇,歌剧,2018-05-30
3539710,Missa solemmis D-Dur,莊嚴彌撒,,庄严弥撒,"Beethoven, Ludwig van",貝多芬,贝多芬,聲樂曲,声乐曲,2018-05-30
3539711,Mosè in Egitto,在埃及的摩西,,摩西出埃及,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539712,Mosè in Egitto,在埃及的摩西,,摩西在埃及,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539713,Mozart and Salieri,莫札特與薩里耶利,,莫扎特和萨利耶里,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539714,Mozartiana,莫札特風格曲,,莫扎特风格曲,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,管弦樂曲,管弦乐曲,2018-05-30
3539715,Mulliner Book,馬利納曲集,,马利纳曲集,"Mulliner,Thomas","馬利納,托馬斯",托马斯·马利纳,鍵盤樂曲,键盘乐曲,2018-05-30
3539716,My Fair Lady,窈窕淑女,,窈窕淑女,"Loewe,Frederick",勒韋,弗雷德里克·勒韦作曲，艾伦·杰伊·勒纳作词,音樂劇,音乐剧,2018-05-30
3539717,My Ladye Nevells  Booke,內維爾夫人曲集,,内维尔夫人曲,"Byrd, William",拜爾德,伯德,鍵盤樂曲,键盘乐曲,2018-05-30
3539718,"Mystic Trumpeter, The",神秘的號手,,神秘的号手,"Horst, Louis",霍斯特,霍尔斯特/哈蒂,管絃樂曲,管弦乐曲,2018-05-30
3539719,Nabucco,納布果,,纳布科,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539720,Nacht und Träume,夜與夢,,夜与梦,"Schubert, Franz",舒伯特,舒伯特,聲樂曲,声乐曲,2018-05-30
3539721,"Nachtin Venedig, Eine",威尼斯之夜,,威尼斯之夜,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,歌劇,歌剧,2018-05-30
3539722,Nänie,悲歌,,悲歌,"Brahms, Johannes",布拉姆斯,布拉姆斯,聲樂曲,声乐合唱曲,2018-05-30
3539723,"Nativité du Seigneur, La",救世主的誕生,,救世主的诞生,"Messiaen, Olivier",梅湘,梅西安,器樂曲,器乐曲,2018-05-30
3539724,"Nature, Life and Love",自然、生活與愛情,,自然界，生命与爱情,"Dvořák, Antonín",德沃札克,德沃夏克,管絃樂曲,管弦乐曲,2018-05-30
3539725,"Navarraise, La",納瓦拉姑娘,,纳瓦拉少妇,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539726,Nerone,尼祿,,尼禄,"Boito,Arrigo",玻伊多,博伊托,歌劇,歌剧,2018-05-30
3539727,Neues vom Tage,當日新聞,,当日新闻,"Hindemith, Paul",辛德密特,欣德米特,歌劇,歌剧,2018-05-30
3539728,New Year,新年,,新年,"Tippet, Michael",提佩特,蒂皮特,歌劇,歌剧,2018-05-30
3539729,Night on the Bare Mountain,荒山之夜,,荒山之夜,"Mussorgsky, Modest",穆梭斯基,穆索尔斯基,管絃樂曲,管弦乐曲,2018-05-30
3539730,Night Ride and Sunrise,夜騎與日出,,夜骑与日出,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539731,"Nightingale, The",夜鶯,,夜莺,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,歌劇,歌剧,2018-05-30
3539732,Nights in the gardens of Spain,西班牙花園之夜,,西班牙花园之夜,"Falla, Manuel de",法雅,法雅,協奏曲,协奏曲,2018-05-30
3539733,Nimphes des Bois,林中仙女,,林中仙女,"Sibelius, Jean",西貝流士,西贝柳斯,歌劇,歌剧,2018-05-30
3539734,Nixon in China,尼克森在中國,,尼克松在中国,"Adams, John",亞當斯,亚当斯,歌劇,歌剧,2018-05-30
3539735,Nobilissima Visione,最尊貴的顯聖,,最尊贵的显圣,"Hindemith, Paul",辛德密特,欣德米特,管絃樂曲,管弦乐曲,2018-05-30
3539736,"Noces, Les",婚禮,,婚礼,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,管弦樂曲,管弦乐曲,2018-05-30
3539737,Noches en los jardines de España,西班牙花園之夜,,西班牙花园之夜,"Falla, Manuel de",法雅,德-法雅,協奏曲,协奏曲,2018-05-30
3539738,"Noonday Witch, The",正午的女巫,,正午的女巫,"Dvořák, Antonín",德沃札克,德沃夏克,管絃樂曲,管弦乐曲,2018-05-30
3539739,Norma,諾瑪,,诺尔玛,"Bellini, Vincenzo",貝利尼,贝利尼,歌劇,歌剧,2018-05-30
3539740,North Country Sketches,北國素描,,北国素描,"Delius, Frederick",戴里厄斯,德留斯,管絃樂曲,管弦乐曲,2018-05-30
3539741,"Nose, The",鼻子,,鼻子,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,歌劇,歌剧,2018-05-30
3539742,Notre Dame,巴黎聖母院（鐘樓怪人）,,巴黎圣母院,"Schmidt, Franz","施密特,弗朗茲",施米特,歌劇,歌剧,2018-05-30
3539743,Noye's Fludde,諾亞方舟,,诺亚的方舟,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539744,"Nuits d'été, Les",夏夜,,夏夜,"Berlioz, Hector",白遼士,柏辽兹,聲樂曲,声乐曲,2018-05-30
3539745,Nursery Suite,兒歌組曲,,儿童室组曲,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539746,"Nussbaum, Der",胡桃樹,,胡桃树,"Schumann, Robert",舒曼,舒曼,聲樂曲,声乐曲,2018-05-30
3539747,Nutcracker,胡桃鉗,,胡桃夹子,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539748,Nymphs and Shepherds,仙女與牧羊人,,仙女与牧羊人,"Purcell, Henry",珀瑟爾,珀塞尔,聲樂曲,声乐曲,2018-05-30
3539749,O magnum mysterium,啊，偉大的神跡,,啊，伟大的奇迹,"Maxwell, Davis Peter","馬克斯威爾,戴維斯",马克斯韦尔·戴维斯,聲樂曲,声乐曲,2018-05-30
3539750,"Oberon, or The Elf-King's Oath",歐伯龍,,奥伯龙，或妖王的誓约,"Weber, Carl Maria von","韋伯,卡爾",韦伯,歌劇,歌剧,2018-05-30
3539751,"Oca del Cairo, L'",開羅的鵝,,开罗的鹅,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539752,Octandre,八蕊枝,,八蕊枝,"Varése, Edgard",瓦列茲,瓦雷兹,室內樂曲,室内乐曲,2018-05-30
3539753,Ode to Death,死之頌歌,,死之颂歌,"Horst, Louis",霍斯特,霍尔斯特,聲樂曲,声乐曲,2018-05-30
3539754,Ode to Napoleon Buonaparte,拿破崙頌,,拿破仑颂,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,聲樂曲,声乐曲,2018-05-30
3539755,Oedipus Rex,伊底帕斯王,,俄狄浦斯王,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,歌劇,歌剧,2018-05-30
3539756,Oiseaux exotiques,異國的鳥,,异国鸟,"Messiaen, Olivier",梅湘,梅西安,管絃樂曲,管弦乐曲,2018-05-30
3539757,"Olympians, The",奧林匹亞眾神,,奥林匹亚众神,"Bliss,  Arthur",布利斯,布利斯,歌劇,歌剧,2018-05-30
3539758,On Hearing the first Cuckoo in Spring,孟春初聞杜鵑啼,,孟春初闻杜鹃啼,"Delius, Frederick",戴里厄斯,德留斯,管絃樂曲,管弦乐曲,2018-05-30
3539759,On this Island,在島上,,在岛上,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539760,Ondine,水妖,,水妖,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539761,Orfeo,奧菲歐,,奥菲欧,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第,歌劇,歌剧,2018-05-30
3539762,Orfeo ed Euridice,奧菲歐和尤麗蒂切,,奥菲欧和尤丽狄茜,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539763,Organ Solo Mass,管風琴獨奏彌撒曲,,管风琴独奏弥撒曲,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,聲樂曲,声乐曲,2018-05-30
3539764,Orlando,歐蘭多,,奥兰多,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539765,Orphée aux enfers,天堂與地獄,,地狱中的奥尔菲斯,"Offenbach, Jacques",歐芬巴赫,奥芬巴赫,歌劇,歌剧,2018-05-30
